subject_id,dataset,window_id,label,anomaly_level,max_zscore,n_deviating,is_outlier,hr_mean,eda_mean,temp_mean,acc_mag_mean,hr_mean_zscore,eda_mean_zscore,temp_mean_zscore,acc_mag_mean_zscore
S2,WESAD,0,Baseline,0,0.5501172709792047,0,0,77.56558237145856,0.8630721875,35.43983333333333,62.9092203375784,-0.12996869827843693,-0.5501172709792047,-0.07517885792184074,-0.29304758419603444
S2,WESAD,1,Baseline,0,0.5706561587129224,0,0,78.45051737861502,0.6983517583333333,35.45233333333333,63.117711875564005,-0.030982035358115164,-0.5706561587129224,-0.07478235674440915,-0.2553034441006358
S2,WESAD,2,Baseline,0,0.5836113725406213,0,0,77.04329461457233,0.5944518583333332,35.557166666666674,62.87975815768159,-0.18839052781418222,-0.5836113725406213,-0.07145703353634808,-0.298381252201388
S2,WESAD,3,Baseline,0,0.5912015760136956,0,0,76.57832589871425,0.5335789625,35.76450000000001,62.71947806271563,-0.2404007897802353,-0.5912015760136956,-0.06488040067334717,-0.32739746272652054
S2,WESAD,4,Baseline,0,0.5957453062770243,0,0,79.51154765065039,0.4971385666666667,35.86000000000001,62.72623116289612,0.08770221267915702,-0.5957453062770243,-0.06185113167776903,-0.3261749192998024
S2,WESAD,5,Baseline,0,0.6000215528882687,0,0,78.67612293144208,0.4628433708333333,35.88633333333333,62.69091165421143,-0.0057463506693559326,-0.6000215528882687,-0.06101583586397976,-0.3325689652969473
S2,WESAD,6,Baseline,0,0.5966138316929007,0,0,75.63025210084034,0.4901730541666666,35.91716666666666,62.77791188523711,-0.3464500032194122,-0.5966138316929007,-0.06003779962631507,-0.3168189308356357
S2,WESAD,7,Baseline,0,0.5508980805354177,0,0,77.12473572938688,0.8568101500000002,35.895,62.87644580741145,-0.17928072413955143,-0.5508980805354177,-0.060740928380960325,-0.29898090153895457
S2,WESAD,8,Baseline,0,0.5028910379010638,0,0,77.2063492063492,1.2418232416666668,35.81233333333333,62.79042542381611,-0.17015164045714257,-0.5028910379010638,-0.0633631228343757,-0.3145535499104513
S2,WESAD,9,Baseline,0,0.49986694123914444,0,0,79.45521215295967,1.2660762833333332,35.764333333333326,62.74953272959782,0.08140066185874403,-0.49986694123914444,-0.06488568735571355,-0.32195653419636555
S2,WESAD,10,Baseline,0,0.5149059426384016,0,0,76.67892800840778,1.1454645541666666,35.76566666666666,62.74048004281191,-0.22914768413883352,-0.5149059426384016,-0.06484339389678745,-0.32359538190015397
S2,WESAD,11,Baseline,0,0.5115383771374389,0,0,74.296315928969,1.1724721916666667,35.77766666666666,62.657573508934775,-0.49566083693537116,-0.5115383771374389,-0.06446275276645298,-0.3386043163620338
S2,WESAD,12,Baseline,0,0.48289989189821414,0,0,77.00263852242743,1.402150820833333,35.735,62.59982699990448,-0.19293821872510722,-0.48289989189821414,-0.06581614345208643,-0.3490584208687122
S2,WESAD,13,Baseline,0,0.46824425734102615,0,0,77.70827858081472,1.519687975,35.6665,62.6778090489772,-0.11400704972649017,-0.46824425734102615,-0.06798896990441226,-0.33494098754952256
S2,WESAD,14,Baseline,0,0.4685158676919583,0,0,77.95412602161876,1.517509679166667,35.63966666666666,62.82446020913038,-0.08650715701584857,-0.4685158676919583,-0.06884012576529909,-0.3083920830354396
S2,WESAD,15,Baseline,0,0.47856330549962134,0,0,78.45051737861502,1.4369299375,35.60850000000001,62.88274836505202,-0.030982035358115164,-0.47856330549962134,-0.0698287353676952,-0.29783992180978547
S2,WESAD,16,Baseline,0,0.4740771417240753,0,0,78.3878565820466,1.4729086541666665,35.573,63.08140722189466,-0.03799111862194486,-0.4740771417240753,-0.07095479871160147,-0.2618758352271542
S2,WESAD,17,Baseline,0,0.46291864882961364,0,0,76.67892800840778,1.5623989791666666,35.57566666666666,63.26053266595338,-0.22914768413883352,-0.46291864882961364,-0.07087021179374949,-0.2294479682713764
S2,WESAD,18,Baseline,0,0.4734034486555482,0,0,75.47410358565737,1.478311625,35.515166666666666,63.291824881286026,-0.36391639375987817,-0.4734034486555482,-0.07278927749251893,-0.22378300090232958
S2,WESAD,19,Baseline,0,0.46988722899856294,0,0,77.43167949058106,1.5065114583333332,35.40933333333333,63.12917205229862,-0.14494674663938018,-0.46988722899856294,-0.07614632079477425,-0.25322875790296756
S2,WESAD,20,Baseline,0,0.44229379764152205,0,0,79.95782814971007,1.727808829166667,35.35766666666667,63.075263650163066,0.13762205647681958,-0.44229379764152205,-0.07778519232815855,-0.26298803303798013
S2,WESAD,21,Baseline,0,0.4377070033040636,0,0,79.74763406940063,1.7645945958333331,35.32366666666667,63.208262817939,0.1141102613651154,-0.4377070033040636,-0.07886367553077278,-0.2389106087472502
S2,WESAD,22,Baseline,0,0.4613742732189838,0,0,77.26156258165665,1.5747847625,35.30316666666667,63.10389798543858,-0.16397560749873,-0.4613742732189838,-0.07951393746176075,-0.25780423338539105
S2,WESAD,23,Baseline,0,0.4744866922962894,0,0,76.4737121614445,1.4696240875000002,35.32450000000001,62.82481192841851,-0.25210262625886143,-0.4744866922962894,-0.0788372421189438,-0.3083284097458
S2,WESAD,24,Baseline,0,0.4801430108062178,0,0,76.6773162939297,1.4242608124999998,35.34916666666666,62.67125858404904,-0.22932796657367302,-0.4801430108062178,-0.07805481312881227,-0.3361268470252945
S2,WESAD,25,Baseline,0,0.4958682147357749,0,0,74.61272291722118,1.2981457875,35.341833333333334,62.59529481844729,-0.46026832602952156,-0.4958682147357749,-0.07828742715290538,-0.34987890161105106
S2,WESAD,26,Baseline,0,0.5077156933313446,0,0,76.57832589871425,1.2031298458333337,35.357,66.33981623195204,-0.2404007897802353,-0.5077156933313446,-0.07780633905762159,0.3280082787852063
S2,WESAD,27,Baseline,0,0.5095955446723968,0,1,80.927291886196,1.1880535708333333,35.37199999999999,67.15926536491733,0.24606389607063095,-0.5095955446723968,-0.07733053764470374,0.4763567593735636
S2,WESAD,28,Baseline,0,0.5160909920384359,0,0,75.57071634741537,1.1359605416666667,35.31333333333334,63.98848771969012,-0.35310952680964885,-0.5160909920384359,-0.0791914498374495,-0.09766306324904579
