subject_id,dataset,empatica_folder_exists,ACC,BVP,EDA,HR,IBI,TEMP
1,EPM-E4,True,True,True,True,True,True,True
2,EPM-E4,True,True,True,True,True,True,True
4,EPM-E4,True,True,True,True,True,True,True
12,EPM-E4,True,True,True,True,True,True,True
14,EPM-E4,True,True,True,True,True,True,True
15,EPM-E4,True,True,True,True,True,True,True
16,EPM-E4,True,True,True,True,True,True,True
24,EPM-E4,True,True,True,True,True,True,True
25,EPM-E4,True,True,True,True,True,True,True
34,EPM-E4,True,True,True,True,True,True,True
35,EPM-E4,True,True,True,True,True,True,True
36,EPM-E4,True,True,True,True,True,True,True
39,EPM-E4,True,True,True,True,True,True,True
40,EPM-E4,True,True,True,True,True,True,True
45,EPM-E4,True,True,True,True,True,True,True
47,EPM-E4,True,True,True,True,True,True,True
49,EPM-E4,True,True,True,True,True,True,True
55,EPM-E4,True,True,True,True,True,True,True
56,EPM-E4,True,True,True,True,True,True,True
61,EPM-E4,True,True,True,True,True,True,True
66,EPM-E4,True,True,True,True,True,True,True
68,EPM-E4,True,True,True,True,True,True,True
72,EPM-E4,True,True,True,True,True,True,True
76,EPM-E4,True,True,True,True,True,True,True
77,EPM-E4,True,True,True,True,True,True,True
78,EPM-E4,True,True,True,True,True,True,True
79,EPM-E4,True,True,True,True,True,True,True
81,EPM-E4,True,True,True,True,True,True,True
86,EPM-E4,True,True,True,True,True,True,True
91,EPM-E4,True,True,True,True,True,True,True
92,EPM-E4,True,True,True,True,True,True,True
103,EPM-E4,True,True,True,True,True,True,True
106,EPM-E4,True,True,True,True,True,True,True
107,EPM-E4,True,True,True,True,True,True,True
117,EPM-E4,True,True,True,True,True,True,True
121,EPM-E4,True,True,True,True,True,True,True
122,EPM-E4,True,True,True,True,True,True,True
124,EPM-E4,True,True,True,True,True,True,True
126,EPM-E4,True,True,True,True,True,True,True
128,EPM-E4,True,True,True,True,True,True,True
129,EPM-E4,True,True,True,True,True,True,True
131,EPM-E4,True,True,True,True,True,True,True
137,EPM-E4,True,True,True,True,True,True,True
138,EPM-E4,True,True,True,True,True,True,True
141,EPM-E4,True,True,True,True,True,True,True
159,EPM-E4,True,True,True,True,True,True,True
160,EPM-E4,True,True,True,True,True,True,True
