model,subject_id,dataset,n_samples,accuracy,precision,recall,f1
XGBoost,S2,WESAD,89,0.3258426966292135,0.4279026217228465,0.3258426966292135,0.20494101624306513
XGBoost,S3,WESAD,81,0.38271604938271603,0.6831275720164608,0.38271604938271603,0.4301404853128991
XGBoost,S4,WESAD,86,0.13953488372093023,0.37984496124031003,0.13953488372093023,0.1385856668248695
XGBoost,S5,WESAD,86,0.4883720930232558,0.6988064940763493,0.4883720930232558,0.47412542238123634
XGBoost,S6,WESAD,82,0.4878048780487805,0.6838649155722327,0.4878048780487805,0.47273722090111325
XGBoost,S7,WESAD,87,0.6896551724137931,0.7697318007662836,0.6896551724137931,0.7081304231353994
XGBoost,S8,WESAD,86,0.3488372093023256,0.4604591070248183,0.3488372093023256,0.3503644253454668
XGBoost,S9,WESAD,84,0.5595238095238095,0.5856092436974789,0.5595238095238095,0.537924297924298
XGBoost,S10,WESAD,248,0.7096774193548387,0.6992872981658844,0.7096774193548387,0.6871312807497941
XGBoost,S11,WESAD,170,0.5470588235294118,0.8437384543876307,0.5470588235294118,0.6092355782892868
XGBoost,S13,WESAD,245,0.43673469387755104,0.3346224952459007,0.43673469387755104,0.334297052154195
XGBoost,S14,WESAD,252,0.6666666666666666,0.6464604213366353,0.6666666666666666,0.6269403056863512
XGBoost,S15,WESAD,246,0.6747967479674797,0.6334815581577566,0.6747967479674797,0.6511842612949723
XGBoost,S16,WESAD,211,0.7156398104265402,0.6846416618119312,0.7156398104265402,0.6973124999511449
XGBoost,S17,WESAD,245,0.363265306122449,0.6061057747740557,0.363265306122449,0.43181948168927087
XGBoost,1,EPM-E4,49,0.0,0.0,0.0,0.0
XGBoost,2,EPM-E4,46,1.0,1.0,1.0,1.0
XGBoost,4,EPM-E4,52,0.4807692307692308,1.0,0.4807692307692308,0.6493506493506493
XGBoost,12,EPM-E4,60,0.9666666666666667,1.0,0.9666666666666667,0.9830508474576273
XGBoost,14,EPM-E4,47,1.0,1.0,1.0,1.0
XGBoost,15,EPM-E4,49,1.0,1.0,1.0,1.0
XGBoost,16,EPM-E4,47,0.8723404255319149,1.0,0.8723404255319149,0.9318181818181817
XGBoost,24,EPM-E4,54,1.0,1.0,1.0,1.0
XGBoost,25,EPM-E4,62,0.7741935483870968,1.0,0.7741935483870968,0.8727272727272727
XGBoost,34,EPM-E4,52,0.7115384615384616,1.0,0.7115384615384616,0.8314606741573034
XGBoost,35,EPM-E4,66,0.9696969696969697,1.0,0.9696969696969697,0.9846153846153846
XGBoost,36,EPM-E4,47,0.9361702127659575,1.0,0.9361702127659575,0.967032967032967
XGBoost,39,EPM-E4,62,0.7741935483870968,1.0,0.7741935483870968,0.8727272727272727
XGBoost,40,EPM-E4,49,0.2653061224489796,1.0,0.2653061224489796,0.4193548387096775
XGBoost,45,EPM-E4,51,0.9411764705882353,1.0,0.9411764705882353,0.9696969696969697
XGBoost,47,EPM-E4,55,0.9636363636363636,1.0,0.9636363636363636,0.9814814814814815
XGBoost,49,EPM-E4,49,1.0,1.0,1.0,1.0
XGBoost,55,EPM-E4,50,0.98,1.0,0.98,0.98989898989899
XGBoost,56,EPM-E4,50,0.84,1.0,0.84,0.9130434782608695
XGBoost,61,EPM-E4,49,0.8979591836734694,1.0,0.8979591836734694,0.946236559139785
XGBoost,66,EPM-E4,49,0.46938775510204084,1.0,0.46938775510204084,0.6388888888888888
XGBoost,68,EPM-E4,51,0.5490196078431373,1.0,0.5490196078431373,0.7088607594936709
XGBoost,72,EPM-E4,68,0.9705882352941176,1.0,0.9705882352941176,0.9850746268656716
XGBoost,76,EPM-E4,55,0.8545454545454545,1.0,0.8545454545454545,0.9215686274509803
XGBoost,77,EPM-E4,53,1.0,1.0,1.0,1.0
XGBoost,78,EPM-E4,70,0.8714285714285714,1.0,0.8714285714285714,0.9312977099236641
XGBoost,79,EPM-E4,53,0.9811320754716981,1.0,0.9811320754716981,0.9904761904761904
XGBoost,81,EPM-E4,45,1.0,1.0,1.0,1.0
XGBoost,86,EPM-E4,50,0.96,1.0,0.96,0.9795918367346939
XGBoost,91,EPM-E4,52,0.6730769230769231,1.0,0.6730769230769231,0.8045977011494253
XGBoost,92,EPM-E4,52,0.7692307692307693,1.0,0.7692307692307693,0.8695652173913044
XGBoost,103,EPM-E4,50,0.92,1.0,0.92,0.9583333333333335
XGBoost,106,EPM-E4,72,0.875,1.0,0.875,0.9333333333333333
XGBoost,107,EPM-E4,59,0.9830508474576272,1.0,0.9830508474576272,0.9914529914529916
XGBoost,117,EPM-E4,48,0.9583333333333334,1.0,0.9583333333333334,0.9787234042553191
XGBoost,121,EPM-E4,52,0.9807692307692307,1.0,0.9807692307692307,0.9902912621359223
XGBoost,122,EPM-E4,48,0.9583333333333334,1.0,0.9583333333333334,0.9787234042553191
XGBoost,124,EPM-E4,49,0.8979591836734694,1.0,0.8979591836734694,0.946236559139785
XGBoost,126,EPM-E4,62,0.9838709677419355,1.0,0.9838709677419355,0.991869918699187
XGBoost,128,EPM-E4,55,0.8909090909090909,1.0,0.8909090909090909,0.9423076923076923
XGBoost,129,EPM-E4,65,0.9538461538461539,1.0,0.9538461538461539,0.9763779527559056
XGBoost,131,EPM-E4,56,0.8928571428571429,1.0,0.8928571428571429,0.9433962264150944
XGBoost,137,EPM-E4,48,0.8958333333333334,1.0,0.8958333333333334,0.9450549450549449
XGBoost,138,EPM-E4,53,0.6981132075471698,1.0,0.6981132075471698,0.8222222222222222
XGBoost,141,EPM-E4,49,0.9591836734693877,1.0,0.9591836734693877,0.9791666666666666
XGBoost,159,EPM-E4,47,0.3617021276595745,1.0,0.3617021276595745,0.53125
XGBoost,160,EPM-E4,53,1.0,1.0,1.0,1.0
XGBoost,S01,PhysioNet,177,0.384180790960452,0.4773194790143943,0.384180790960452,0.42474873478404407
XGBoost,S02,PhysioNet,204,0.7598039215686274,0.796392896781354,0.7598039215686274,0.7710488342751906
XGBoost,S03,PhysioNet,137,0.5474452554744526,0.5288698716335263,0.5474452554744526,0.5348119034250421
XGBoost,S04,PhysioNet,160,0.78125,0.8469580170777988,0.78125,0.7684870987098711
XGBoost,S05,PhysioNet,151,0.5960264900662252,0.7637969094922737,0.5960264900662252,0.6436265762906722
XGBoost,S06,PhysioNet,141,0.49645390070921985,0.6345333915683949,0.49645390070921985,0.5248357247800878
XGBoost,S07,PhysioNet,139,0.9280575539568345,0.934412470023981,0.9280575539568345,0.9268150477218611
XGBoost,S08,PhysioNet,150,0.8333333333333334,0.8362148337595908,0.8333333333333334,0.834074074074074
XGBoost,S09,PhysioNet,150,0.74,0.8129560975609756,0.74,0.7702706711160549
XGBoost,S12,PhysioNet,88,0.8636363636363636,1.0,0.8636363636363636,0.9224311425449945
XGBoost,S18,PhysioNet,157,0.5923566878980892,0.6682553627644776,0.5923566878980892,0.6072079245695253
XGBoost,f01,PhysioNet,281,0.6832740213523132,0.7527623931514238,0.6832740213523132,0.7122692701291302
XGBoost,f02,PhysioNet,233,0.5236051502145923,0.48516514275051315,0.5236051502145923,0.4737287126281665
XGBoost,f03,PhysioNet,303,0.48514851485148514,0.6039282444654624,0.48514851485148514,0.5214844526830925
XGBoost,f04,PhysioNet,249,0.7429718875502008,0.7727324274525738,0.7429718875502008,0.7388909675970964
XGBoost,f05,PhysioNet,330,0.6272727272727273,0.6049859827498019,0.6272727272727273,0.5961168608646316
XGBoost,f06,PhysioNet,251,0.6294820717131474,0.8038117224027788,0.6294820717131474,0.6560969179510442
XGBoost,f08,PhysioNet,251,0.6055776892430279,0.6686845690829755,0.6055776892430279,0.5765495277298638
XGBoost,f09,PhysioNet,249,0.6867469879518072,0.8077790614512845,0.6867469879518072,0.6820247514628089
XGBoost,f10,PhysioNet,221,0.7420814479638009,0.7787774860903303,0.7420814479638009,0.7530722956062323
XGBoost,f11,PhysioNet,255,0.23137254901960785,0.3079253563773688,0.23137254901960785,0.20950989302577644
XGBoost,f12,PhysioNet,314,0.767515923566879,0.7799053647632046,0.767515923566879,0.7712677118554806
XGBoost,f13,PhysioNet,305,0.3770491803278688,0.42280104569467897,0.3770491803278688,0.39851371221942666
XGBoost,f14_a,PhysioNet,22,0.3181818181818182,1.0,0.3181818181818182,0.4827586206896552
XGBoost,f14_b,PhysioNet,71,0.5492957746478874,1.0,0.5492957746478874,0.7090909090909091
XGBoost,f15,PhysioNet,139,0.920863309352518,1.0,0.920863309352518,0.958801498127341
XGBoost,f16,PhysioNet,106,0.8679245283018868,1.0,0.8679245283018868,0.9292929292929293
XGBoost,f17,PhysioNet,113,0.584070796460177,1.0,0.584070796460177,0.7374301675977654
XGBoost,f18,PhysioNet,103,0.9611650485436893,1.0,0.9611650485436893,0.9801980198019802
XGBoost,S11_a,PhysioNet,52,0.9230769230769231,1.0,0.9230769230769231,0.9600000000000001
