,Aerobic,Amusement,Anaerobic,Baseline,Emotion,Stress,Overall
acc_x_mean,0.21299778,0.26281404,0.32098195,0.7037171,1.6386791,0.35362938,0.5821366
acc_y_mean,0.5127846,0.19171822,0.90567285,0.26369992,0.44131574,1.0222408,0.55623865
acc_z_mean,0.2596491,0.3966801,0.20421843,1.4472244,0.38640663,0.21564591,0.48497072
acc_mag_std,1.038382,0.2551034,0.47021037,0.07868921,0.23242292,0.3604696,0.4058796
acc_mag_mean,0.23828901,0.3108139,0.21943916,0.5029076,0.8723635,0.286421,0.40503904
acc_sma,0.49277937,0.3658411,0.5819573,0.15193878,0.32037342,0.3773764,0.38171104
acc_y_std,0.42989823,0.14583223,0.51002777,0.61784846,0.1961505,0.13325493,0.33883536
eda_min,0.219706,0.68048155,0.19482066,0.51285964,0.14369006,0.1647765,0.3193891
eda_std,0.071690455,1.1020274,0.19904394,0.044051584,0.09649294,0.20920005,0.28708437
temp_min,0.30120158,0.25174072,0.22084053,0.18652935,0.38042012,0.23136723,0.26201656
hr_mean,0.19388841,0.20378849,0.083687335,0.47155434,0.15657039,0.24720624,0.22611587
eda_range,0.02379739,0.7556461,0.18555653,0.25242043,0.039003335,0.07640288,0.2221378
temp_max,0.23376578,0.31180075,0.124174476,0.20577656,0.239589,0.17951784,0.21577074
eda_max,0.1464241,0.3496475,0.14174056,0.42373785,0.07481652,0.15111984,0.21458106
acc_energy,0.057043754,0.42666227,0.0786887,0.037434448,0.12841752,0.27334312,0.16693163
acc_entropy,0.37010607,0.033848304,0.16294703,0.050864674,0.13329212,0.10440183,0.14257668
eda_phasic_mean,0.13046557,0.17215526,0.04359931,0.17993502,0.17321251,0.14793359,0.14121689
acc_x_std,0.12618731,0.06097813,0.18020867,0.07771372,0.3258882,0.062342066,0.13888635
hr_std,0.16787162,0.034977447,0.19843593,0.15592374,0.22092184,0.054305334,0.1387393
eda_scr_count,0.12795018,0.047579713,0.101034395,0.0911326,0.23769565,0.2071389,0.13542192
bvp_std,0.18500315,0.091944195,0.13796511,0.08013216,0.21589287,0.09687259,0.13463502
temp_mean,0.12512551,0.13757926,0.2444279,0.11173317,0.10653866,0.07447066,0.13331252
eda_slope,0.025767233,0.04161654,0.09922786,0.30262464,0.18116587,0.1447425,0.13252412
eda_scr_amp_mean,0.10157464,0.08537788,0.15347357,0.15992656,0.09283829,0.14305818,0.12270818
eda_mean,0.07801521,0.13478242,0.12754741,0.13732786,0.124145724,0.11289314,0.11911863
acc_z_std,0.0856131,0.19719987,0.11090479,0.06603909,0.10774838,0.09996379,0.11124483
acc_mag_max,0.16892445,0.06573981,0.18135117,0.026763266,0.09111716,0.095995866,0.10498195
temp_std,0.12492117,0.13862333,0.09398374,0.04231632,0.08858815,0.12639925,0.102471985
temp_slope,0.09528671,0.04897704,0.036413837,0.30311188,0.032483295,0.07245626,0.098121494
temp_range,0.13992095,0.023107275,0.08783019,0.063322745,0.07158993,0.18482667,0.09509963
bvp_max,0.0593287,0.12988031,0.076866105,0.074903846,0.106712356,0.08473579,0.08873785
bvp_min,0.04414721,0.17113706,0.09501232,0.05482674,0.09562299,0.039103936,0.08330838
hrv_pnn50,0.04872232,0.07838748,0.12719145,0.09377831,0.04025678,0.105770096,0.082351066
acc_mag_min,0.07008395,0.028882232,0.045415726,0.10518625,0.13290513,0.04882296,0.07188271
hrv_sdnn,0.032479342,0.070711404,0.11404913,0.0432038,0.08637959,0.07936442,0.07103128
bvp_range,0.12806556,0.011912927,0.050147314,0.060609523,0.039030652,0.044731412,0.05574956
eda_tonic_mean,0.033751015,0.13203888,0.036097217,0.024523033,0.015284703,0.036838256,0.046422184
hrv_rmssd,0.0466787,0.0482717,0.020550298,0.03607449,0.03816807,0.06717583,0.042819846
bvp_mean,0.006457489,0.010124781,0.020728117,0.03573657,0.007450768,0.020687895,0.016864268
