feature,shap_importance
acc_sma,0.6193055
temp_max,0.48367536
acc_z_mean,0.45533398
acc_x_mean,0.4547276
bvp_std,0.3423756
acc_y_std,0.34234253
acc_y_mean,0.32178771
eda_min,0.30969897
acc_mag_std,0.30752555
eda_range,0.30622575
eda_scr_count,0.3044878
acc_x_std,0.28865954
hr_mean,0.28643844
temp_range,0.2513594
hr_std,0.24964416
temp_min,0.24208392
eda_max,0.23545544
acc_entropy,0.22036448
eda_std,0.21486297
acc_energy,0.16802238
hrv_pnn50,0.16723663
acc_mag_max,0.16411339
acc_mag_mean,0.16134274
acc_z_std,0.15344857
temp_std,0.14822857
bvp_max,0.14409377
bvp_range,0.14313455
temp_mean,0.12992835
eda_phasic_mean,0.11933701
acc_mag_min,0.114201516
eda_mean,0.11179839
temp_slope,0.098838866
bvp_min,0.09730458
hrv_sdnn,0.09398915
eda_scr_amp_mean,0.082069546
eda_slope,0.081769794
hrv_rmssd,0.058519874
eda_tonic_mean,0.05762884
bvp_mean,0.038222782
