feature,importance,percentile,signal_type
acc_y_mean,0.1288804516181025,100.0,ACC
acc_sma,0.07758435419881371,97.5,ACC
acc_z_mean,0.05547296126741234,95.0,ACC
acc_mag_std,0.04670359453087774,92.5,ACC
acc_y_std,0.041104661063509185,90.0,ACC
acc_x_mean,0.03672930730296313,87.5,ACC
temp_min,0.03262282071719088,85.0,TEMP
acc_mag_mean,0.03229320121553748,82.5,ACC
temp_mean,0.03075339473347586,80.0,TEMP
acc_energy,0.029543927814607435,77.5,ACC
temp_max,0.02853283688141257,75.0,TEMP
acc_z_std,0.026263924096531794,72.5,ACC
eda_phasic_mean,0.02416101606361402,70.0,EDA
acc_entropy,0.021777124713356126,67.5,ACC
temp_std,0.021681888681323577,65.0,TEMP
eda_max,0.01991823154232195,62.5,EDA
acc_x_std,0.019764839282923496,60.0,ACC
eda_mean,0.01971664237913603,57.49999999999999,EDA
eda_range,0.019458424578895787,55.00000000000001,EDA
temp_range,0.01936586712536236,52.5,TEMP
bvp_std,0.019356048282888956,50.0,BVP/HR
eda_tonic_mean,0.018866586654904614,47.5,EDA
eda_min,0.018635905221935093,45.0,EDA
hr_mean,0.017957768042908776,42.5,BVP/HR
hr_std,0.017344254558595795,40.0,BVP/HR
eda_scr_amp_mean,0.017246504426696223,37.5,EDA
acc_mag_max,0.016774043741070874,35.0,ACC
eda_std,0.015058293367414466,32.5,EDA
eda_scr_count,0.013670467755704921,30.0,EDA
acc_mag_min,0.013485645783010035,27.500000000000004,ACC
bvp_range,0.012914922668136979,25.0,BVP/HR
bvp_min,0.012620059336646136,22.5,BVP/HR
hrv_sdnn,0.012596837446416511,20.0,BVP/HR
bvp_max,0.012548049613083086,17.5,BVP/HR
hrv_pnn50,0.012206303677586528,15.0,BVP/HR
temp_slope,0.010622325895236723,12.5,TEMP
hrv_rmssd,0.01030668931779765,10.0,BVP/HR
eda_slope,0.009973272026692693,7.5,EDA
bvp_mean,0.005486552375906035,5.0,BVP/HR
hrv_lf_hf_ratio,0.0,2.5,BVP/HR
