train,test,normalisation,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,auroc_mean,auroc_std
WESAD,PhysioNet,none,source_only,0.5365,0.0125,0.5335,0.0117,0.5409,0.0177
WESAD,PhysioNet,none,finetune_k5 (uses target labels),0.901,0.0969,0.7683,0.0599,0.9463,0.0535
WESAD,PhysioNet,none,coral,0.5446,0.0123,0.5423,0.0117,0.5486,0.0166
WESAD,PhysioNet,none,mmd,0.5291,0.0158,0.5073,0.016,0.5397,0.013
WESAD,PhysioNet,none,dann,0.5479,0.0211,0.534,0.0267,0.5635,0.0141
WESAD,PhysioNet,none,subject_dann,0.5234,0.0374,0.5013,0.0469,0.541,0.0495
PhysioNet,WESAD,none,source_only,0.5424,0.0217,0.5396,0.0248,0.5748,0.0331
PhysioNet,WESAD,none,finetune_k5 (uses target labels),0.7586,0.0195,0.7393,0.019,0.8295,0.0174
PhysioNet,WESAD,none,coral,0.5447,0.0226,0.5426,0.0247,0.5758,0.034
PhysioNet,WESAD,none,mmd,0.5028,0.028,0.4797,0.0258,0.506,0.0385
PhysioNet,WESAD,none,dann,0.5087,0.0236,0.4829,0.0326,0.514,0.0417
PhysioNet,WESAD,none,subject_dann,0.5188,0.0276,0.4952,0.044,0.5282,0.0391
WESAD,PhysioNet,subject_zscore,source_only,0.5824,0.0159,0.5509,0.0189,0.6099,0.015
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),0.9389,0.0401,0.784,0.0391,0.9847,0.0104
WESAD,PhysioNet,subject_zscore,coral,0.5888,0.0158,0.5587,0.0178,0.6125,0.0131
WESAD,PhysioNet,subject_zscore,mmd,0.5711,0.0161,0.5428,0.0138,0.5883,0.0163
WESAD,PhysioNet,subject_zscore,dann,0.5937,0.0188,0.565,0.0263,0.6054,0.0201
WESAD,PhysioNet,subject_zscore,subject_dann,0.5802,0.035,0.54,0.0617,0.6225,0.0294
PhysioNet,WESAD,subject_zscore,source_only,0.4878,0.0081,0.4608,0.0132,0.5023,0.0115
PhysioNet,WESAD,subject_zscore,finetune_k5 (uses target labels),0.8447,0.0205,0.8216,0.0173,0.9099,0.0218
PhysioNet,WESAD,subject_zscore,coral,0.4905,0.0079,0.4655,0.0137,0.506,0.0111
PhysioNet,WESAD,subject_zscore,mmd,0.4808,0.018,0.4562,0.0217,0.4925,0.0108
PhysioNet,WESAD,subject_zscore,dann,0.4987,0.0319,0.4777,0.039,0.512,0.0321
PhysioNet,WESAD,subject_zscore,subject_dann,0.4868,0.0254,0.4589,0.0335,0.4945,0.0227
