labels,normalisation,train,test,modality,n_train,n_test,accuracy,balanced_accuracy,macro_f1,auroc
Baseline_vs_Stress,none,WESAD,PhysioNet,all_modalities,1096,419,0.5346062052505967,0.5378584229390682,0.5315214586737765,0.5838285229202038
Baseline_vs_Stress,none,WESAD,PhysioNet,acc_only,1096,419,0.6062052505966588,0.5665676287492926,0.5613400590082802,0.6422608941709111
Baseline_vs_Stress,none,WESAD,PhysioNet,all_except_acc,1096,419,0.48448687350835323,0.5372807017543859,0.4654854712969525,0.5970335785700811
Baseline_vs_Stress,none,WESAD,PhysioNet,physiology_only,1096,419,0.5059665871121718,0.5527023203169213,0.4941649899396378,0.6106159215242407
Baseline_vs_Stress,none,PhysioNet,WESAD,all_modalities,419,1096,0.583941605839416,0.5456961781378284,0.5456961781378284,0.5735738465510158
Baseline_vs_Stress,none,PhysioNet,WESAD,acc_only,419,1096,0.4762773722627737,0.5246833901164629,0.4761657340794031,0.5245888525686944
Baseline_vs_Stress,none,PhysioNet,WESAD,all_except_acc,419,1096,0.5364963503649635,0.5470778807590637,0.5294626709260856,0.5616584794726258
Baseline_vs_Stress,none,PhysioNet,WESAD,physiology_only,419,1096,0.5602189781021898,0.5903251728037291,0.558204960944687,0.6073055708068054
Baseline+Rest_vs_Stress,none,WESAD,PhysioNet,all_modalities,1096,1632,0.5894607843137255,0.5610199515196719,0.4956010864430799,0.6006258157747529
Baseline+Rest_vs_Stress,none,WESAD,PhysioNet,acc_only,1096,1632,0.35355392156862747,0.5294960842811859,0.34476613224553915,0.5825607752190938
Baseline+Rest_vs_Stress,none,WESAD,PhysioNet,all_except_acc,1096,1632,0.7389705882352942,0.5382947976878613,0.5342453272593287,0.6082270883833676
Baseline+Rest_vs_Stress,none,WESAD,PhysioNet,physiology_only,1096,1632,0.7365196078431373,0.5567079992541488,0.5479830055626123,0.6274065355211635
Baseline+Rest_vs_Stress,none,PhysioNet,WESAD,all_modalities,1632,1096,0.6487226277372263,0.5167040574788291,0.4459900715160698,0.6255113208713452
Baseline+Rest_vs_Stress,none,PhysioNet,WESAD,acc_only,1632,1096,0.6532846715328468,0.5179275915105283,0.4403955713210792,0.5656399646575014
Baseline+Rest_vs_Stress,none,PhysioNet,WESAD,all_except_acc,1632,1096,0.6478102189781022,0.5235125789479426,0.46900291193894966,0.609672645560553
Baseline+Rest_vs_Stress,none,PhysioNet,WESAD,physiology_only,1632,1096,0.6551094890510949,0.5366860226235624,0.49433413239724056,0.6628281998232874
Baseline_vs_Stress,subject_zscore,WESAD,PhysioNet,all_modalities,1096,419,0.4510739856801909,0.5117784380305602,0.418617277992278,0.5665440482927749
Baseline_vs_Stress,subject_zscore,WESAD,PhysioNet,acc_only,1096,419,0.6276849642004774,0.6173953027730616,0.6166783954961295,0.6486276174306735
Baseline_vs_Stress,subject_zscore,WESAD,PhysioNet,all_except_acc,1096,419,0.42720763723150357,0.49343284285983774,0.3822792274804659,0.5321401622335409
Baseline_vs_Stress,subject_zscore,WESAD,PhysioNet,physiology_only,1096,419,0.431980906921241,0.5001886436521411,0.3839453395275279,0.5558385210337672
Baseline_vs_Stress,subject_zscore,PhysioNet,WESAD,all_modalities,419,1096,0.458029197080292,0.49088258072961166,0.4575667893137098,0.46863353246819356
Baseline_vs_Stress,subject_zscore,PhysioNet,WESAD,acc_only,419,1096,0.48266423357664234,0.5036178792319188,0.47982304514692525,0.5274467953589336
Baseline_vs_Stress,subject_zscore,PhysioNet,WESAD,all_except_acc,419,1096,0.3704379562043796,0.39813033818989685,0.37018418764553623,0.3571046785177967
Baseline_vs_Stress,subject_zscore,PhysioNet,WESAD,physiology_only,419,1096,0.4032846715328467,0.43226202899393873,0.4028949578151865,0.40199728749959096
Baseline+Rest_vs_Stress,subject_zscore,WESAD,PhysioNet,all_modalities,1096,1632,0.7230392156862745,0.500769159052769,0.4999986443655766,0.5823378939026664
Baseline+Rest_vs_Stress,subject_zscore,WESAD,PhysioNet,acc_only,1096,1632,0.5520833333333334,0.601866958791721,0.4905955972304953,0.6508571461868358
Baseline+Rest_vs_Stress,subject_zscore,WESAD,PhysioNet,all_except_acc,1096,1632,0.7310049019607843,0.48560740257318663,0.4857887238524505,0.5569672990863322
Baseline+Rest_vs_Stress,subject_zscore,WESAD,PhysioNet,physiology_only,1096,1632,0.7328431372549019,0.4850363602461309,0.4851287988422576,0.5819314632668283
Baseline+Rest_vs_Stress,subject_zscore,PhysioNet,WESAD,all_modalities,1632,1096,0.6322992700729927,0.5230526174174523,0.48995294321429605,0.5704722877722954
Baseline+Rest_vs_Stress,subject_zscore,PhysioNet,WESAD,acc_only,1632,1096,0.6304744525547445,0.5123880548172335,0.4654205832585643,0.5863364154997945
Baseline+Rest_vs_Stress,subject_zscore,PhysioNet,WESAD,all_except_acc,1632,1096,0.5885036496350365,0.47927809674099986,0.43956797745101706,0.4851303345538373
Baseline+Rest_vs_Stress,subject_zscore,PhysioNet,WESAD,physiology_only,1632,1096,0.6076642335766423,0.4947077153547158,0.45210193452380953,0.5290648418495908
