train,test,normalisation,method,seed,balanced_accuracy,macro_f1,auroc
WESAD,PhysioNet,none,source_only,0,0.5357361818524806,0.533732090694116,0.5522778720996038
WESAD,PhysioNet,none,finetune_k5 (uses target labels),0,0.7520547945205479,0.6680851063829787,0.8547945205479451
WESAD,PhysioNet,none,coral,0,0.5449089794378419,0.5437085437085437,0.5539285040558385
WESAD,PhysioNet,none,mmd,0,0.5317157140162233,0.5154689680708651,0.5429400113186191
WESAD,PhysioNet,none,dann,0,0.5887686285606489,0.5842678480778993,0.5929305791360121
WESAD,PhysioNet,none,subject_dann,0,0.5143840784757593,0.4786674693959462,0.500848896434635
WESAD,PhysioNet,none,source_only,1,0.5481395019807583,0.5438963282937366,0.5559092624033202
WESAD,PhysioNet,none,finetune_k5 (uses target labels),1,0.9657534246575342,0.8156028368794326,0.9808219178082191
WESAD,PhysioNet,none,coral,1,0.543399830220713,0.5402517902517903,0.557748538011696
WESAD,PhysioNet,none,mmd,1,0.5508748349368043,0.5271203830369358,0.5534333144689682
WESAD,PhysioNet,none,dann,1,0.5620519713261649,0.5579174954596557,0.5682418411620449
WESAD,PhysioNet,none,subject_dann,1,0.49210054706659123,0.46377805201334615,0.5181333710620638
WESAD,PhysioNet,none,source_only,2,0.5245472552348613,0.521424615810605,0.538129598189021
WESAD,PhysioNet,none,finetune_k5 (uses target labels),2,0.7589041095890411,0.6861167002012072,0.8986301369863012
WESAD,PhysioNet,none,coral,2,0.5463238068289002,0.5429275584824855,0.5488822863610641
WESAD,PhysioNet,none,mmd,2,0.5338379551028107,0.5075425624172714,0.5508158837955103
WESAD,PhysioNet,none,dann,2,0.5600476325221656,0.5393374918112165,0.5782399547255235
WESAD,PhysioNet,none,subject_dann,2,0.6052042067534428,0.5981265470918979,0.6467883418222977
WESAD,PhysioNet,none,source_only,3,0.5141600641388417,0.5130172013017201,0.4994576495000943
WESAD,PhysioNet,none,finetune_k5 (uses target labels),3,0.952054794520548,0.7689377909437156,0.9753424657534245
WESAD,PhysioNet,none,coral,3,0.5150679117147707,0.5136728724639027,0.5073335219769856
WESAD,PhysioNet,none,mmd,3,0.5342388228636107,0.5129905647477095,0.537280701754386
WESAD,PhysioNet,none,dann,3,0.5153862478777589,0.49379986323227715,0.5467600452744765
WESAD,PhysioNet,none,subject_dann,3,0.5253607809847198,0.5146173467932,0.5683361629881154
WESAD,PhysioNet,none,source_only,4,0.5428928504055839,0.541596834264432,0.5439539709488775
WESAD,PhysioNet,none,finetune_k5 (uses target labels),4,0.9589041095890412,0.7910714285714286,0.9616438356164383
WESAD,PhysioNet,none,coral,4,0.5410771552537257,0.5402484008031003,0.5480805508394643
WESAD,PhysioNet,none,mmd,4,0.5014737785323524,0.4793547651618787,0.5167185436710054
WESAD,PhysioNet,none,dann,4,0.5328239954725523,0.5177651670541046,0.5512874929258631
WESAD,PhysioNet,none,subject_dann,4,0.519418505942275,0.49866675782852454,0.5456753442746651
WESAD,PhysioNet,none,source_only,5,0.53604272778721,0.5307465669635935,0.5436238445576307
WESAD,PhysioNet,none,finetune_k5 (uses target labels),5,0.952054794520548,0.7689377909437156,0.9643835616438355
WESAD,PhysioNet,none,coral,5,0.5510634785889454,0.5465367965367965,0.5534568949254859
WESAD,PhysioNet,none,mmd,5,0.5181097906055461,0.4933841310398321,0.5520656479909452
WESAD,PhysioNet,none,dann,5,0.5458286172420298,0.5318969448244415,0.5643982267496699
WESAD,PhysioNet,none,subject_dann,5,0.48231465761177134,0.4677319205901621,0.4836351631767592
WESAD,PhysioNet,none,source_only,6,0.5545887568383324,0.5525790426667905,0.5630541407281645
WESAD,PhysioNet,none,finetune_k5 (uses target labels),6,0.9726027397260274,0.8430583501006037,0.9945205479452055
WESAD,PhysioNet,none,coral,6,0.5480333899264289,0.5472386904588067,0.56739294472741
WESAD,PhysioNet,none,mmd,6,0.5434116204489718,0.5250596658711217,0.5509337860780985
WESAD,PhysioNet,none,dann,6,0.5322226938313526,0.5105614340985887,0.5477032635351821
WESAD,PhysioNet,none,subject_dann,6,0.5171783625730995,0.5171205208630358,0.5512874929258631
WESAD,PhysioNet,none,source_only,7,0.5335196189398226,0.5305728805728807,0.5359366157328807
WESAD,PhysioNet,none,finetune_k5 (uses target labels),7,0.9726027397260274,0.8430583501006037,0.9972602739726028
WESAD,PhysioNet,none,coral,7,0.5566048858705905,0.5547134967508145,0.5483163554046406
WESAD,PhysioNet,none,mmd,7,0.5373632333521977,0.5178750455705432,0.5358894548198453
WESAD,PhysioNet,none,dann,7,0.5304069986794945,0.5106952633227947,0.5628419166195058
WESAD,PhysioNet,none,subject_dann,7,0.48978966232786264,0.4386602870813397,0.48264478400301825
WESAD,PhysioNet,none,source_only,8,0.5486464817958876,0.5414783111890316,0.5478211658177703
WESAD,PhysioNet,none,finetune_k5 (uses target labels),8,0.952054794520548,0.7689377909437156,0.9726027397260274
WESAD,PhysioNet,none,coral,8,0.5600358422939069,0.5557348331182003,0.5618751179022826
WESAD,PhysioNet,none,mmd,8,0.5338379551028107,0.5075425624172714,0.5366676098849273
WESAD,PhysioNet,none,dann,8,0.5588332390115073,0.545957475931925,0.5630541407281645
WESAD,PhysioNet,none,subject_dann,8,0.5676051688360686,0.5533329152818712,0.574750047160913
WESAD,PhysioNet,none,source_only,9,0.52645727221279,0.5261541887132971,0.5285087719298246
WESAD,PhysioNet,none,finetune_k5 (uses target labels),9,0.7726027397260273,0.7291666666666667,0.863013698630137
WESAD,PhysioNet,none,coral,9,0.5390610262214677,0.538150642988365,0.5387544802867383
WESAD,PhysioNet,none,mmd,9,0.5057064704772685,0.48682673958244327,0.5206093189964157
WESAD,PhysioNet,none,dann,9,0.5528791737408036,0.5473914042748793,0.5599886813808715
WESAD,PhysioNet,none,subject_dann,9,0.5211398792680626,0.4826180097290902,0.5376579890586681
PhysioNet,WESAD,none,source_only,0,0.5768299378597427,0.5755745123421958,0.6424044534457118
PhysioNet,WESAD,none,finetune_k5 (uses target labels),0,0.778778319761348,0.7470941045192486,0.8268866403289526
PhysioNet,WESAD,none,coral,0,0.5803660057522462,0.5791498924835492,0.645229671700185
PhysioNet,WESAD,none,mmd,0,0.5398093977594601,0.5175537634408602,0.5449689662319152
PhysioNet,WESAD,none,dann,0,0.5020689178723234,0.4708232466721315,0.4905553353719508
PhysioNet,WESAD,none,subject_dann,0,0.537704119291841,0.5290396878598806,0.557135221417845
PhysioNet,WESAD,none,source_only,1,0.5535482486919276,0.5539780962281664,0.5874126891205463
PhysioNet,WESAD,none,finetune_k5 (uses target labels),1,0.734963315326937,0.7148834323198298,0.8166421430299121
PhysioNet,WESAD,none,coral,1,0.550977554604524,0.5512677587877928,0.5868236474767564
PhysioNet,WESAD,none,mmd,1,0.4993073306596175,0.4711466859010963,0.5037651396428663
PhysioNet,WESAD,none,dann,1,0.5118862786021533,0.45410995190282116,0.5155859691734873
PhysioNet,WESAD,none,subject_dann,1,0.5021198227057373,0.45120328596839837,0.5313301069365108
PhysioNet,WESAD,none,source_only,2,0.5531610083520287,0.5536990332072299,0.5793842696792632
PhysioNet,WESAD,none,finetune_k5 (uses target labels),2,0.774600903007337,0.7583687389600998,0.848842014028864
PhysioNet,WESAD,none,coral,2,0.5511684477298262,0.5516423467243139,0.5814095548372318
PhysioNet,WESAD,none,mmd,2,0.5112736025714213,0.49393334771354613,0.5197056246204863
PhysioNet,WESAD,none,dann,2,0.4957658086778197,0.45963628853066296,0.5089574326510873
PhysioNet,WESAD,none,subject_dann,2,0.4969220756082218,0.4597082835092581,0.5046250677216086
PhysioNet,WESAD,none,source_only,3,0.5180857601000644,0.5071369401353194,0.5599277151365523
PhysioNet,WESAD,none,finetune_k5 (uses target labels),3,0.7601689107473998,0.7533549783549784,0.8307113198419738
PhysioNet,WESAD,none,coral,3,0.5279812961097798,0.5206667125611983,0.5652618144664264
PhysioNet,WESAD,none,mmd,3,0.4941150376513964,0.48082004987429916,0.4863956832701265
PhysioNet,WESAD,none,dann,3,0.5585060158604916,0.5259515570934257,0.5974954821960344
PhysioNet,WESAD,none,subject_dann,3,0.5038142264465153,0.483754612662309,0.49628940125007726
PhysioNet,WESAD,none,source_only,4,0.5591895950520502,0.5580455073336488,0.5849292604618522
PhysioNet,WESAD,none,finetune_k5 (uses target labels),4,0.782602999274369,0.7618192528408012,0.8677638474562605
PhysioNet,WESAD,none,coral,4,0.5642019031135578,0.5625750564067034,0.5846638281161939
PhysioNet,WESAD,none,mmd,4,0.5122280681979325,0.4845007188859398,0.5433800082174944
PhysioNet,WESAD,none,dann,4,0.47037338695309117,0.4315650841195564,0.4354181286656025
PhysioNet,WESAD,none,subject_dann,4,0.5517465811950273,0.5522590559001556,0.560818549721296
PhysioNet,WESAD,none,source_only,5,0.5311083073052072,0.5312886588477139,0.5429182286572396
PhysioNet,WESAD,none,finetune_k5 (uses target labels),5,0.7365355156010642,0.7174914675767918,0.8212881964040958
PhysioNet,WESAD,none,coral,5,0.5263487053810045,0.5263165540785938,0.5436890732775077
PhysioNet,WESAD,none,mmd,5,0.5174985364860394,0.48913392141138734,0.5374823196605375
PhysioNet,WESAD,none,dann,5,0.5105045759809179,0.49530513456811714,0.5240107191034932
PhysioNet,WESAD,none,subject_dann,5,0.5623893274380689,0.5544992873649106,0.5789806670714813
PhysioNet,WESAD,none,source_only,6,0.5547772368129211,0.5536687907419615,0.5965755591350541
PhysioNet,WESAD,none,finetune_k5 (uses target labels),6,0.7637466741917278,0.7283198793117169,0.8181488349592841
PhysioNet,WESAD,none,coral,6,0.5585041978307269,0.5579747539094122,0.598415405257015
PhysioNet,WESAD,none,mmd,6,0.5367787421415663,0.5035697751529635,0.5394603360446217
PhysioNet,WESAD,none,dann,6,0.5282685448126156,0.526428379163302,0.5472960443308379
PhysioNet,WESAD,none,subject_dann,6,0.4857248302869215,0.42819793867443756,0.4797344222119604
PhysioNet,WESAD,none,source_only,7,0.5473178606880151,0.5466770295071623,0.584285677925119
PhysioNet,WESAD,none,finetune_k5 (uses target labels),7,0.7561829799242119,0.7503206646144132,0.8241604853664436
PhysioNet,WESAD,none,coral,7,0.5574715569243299,0.5577673167451245,0.5858091868680073
PhysioNet,WESAD,none,mmd,7,0.44564272806274385,0.4284545320401894,0.4270588278071289
PhysioNet,WESAD,none,dann,7,0.5012944371925258,0.46591674878611766,0.5088738032819073
PhysioNet,WESAD,none,subject_dann,7,0.5442544805343553,0.5309364882859198,0.5786425135352317
PhysioNet,WESAD,none,source_only,8,0.5241252549786745,0.5159752728705136,0.5370023598026347
PhysioNet,WESAD,none,finetune_k5 (uses target labels),8,0.7707157542530033,0.7484265579292616,0.8332258324598889
PhysioNet,WESAD,none,coral,8,0.5233507742988768,0.5173430982607472,0.5338389880119117
PhysioNet,WESAD,none,mmd,8,0.47468938961468676,0.4483253712330974,0.47670922068336097
PhysioNet,WESAD,none,dann,8,0.49058442384818723,0.48108181756250423,0.48899182977423705
PhysioNet,WESAD,none,subject_dann,8,0.4918643168025947,0.4778271858569749,0.4766619519094767
PhysioNet,WESAD,none,source_only,9,0.5063158354028572,0.499868843955983,0.5329954222010522
PhysioNet,WESAD,none,finetune_k5 (uses target labels),9,0.7277422800935258,0.7126999158249159,0.8074105055228573
PhysioNet,WESAD,none,coral,9,0.5067648887547587,0.5009304232637355,0.5329117928318722
PhysioNet,WESAD,none,mmd,9,0.4970675179894045,0.4797731059904731,0.48118157390472793
PhysioNet,WESAD,none,dann,9,0.5180584896535927,0.5181055243377363,0.5223854004937769
PhysioNet,WESAD,none,subject_dann,9,0.5117990131734437,0.48477409245233744,0.5173458219857975
WESAD,PhysioNet,subject_zscore,source_only,0,0.5676169590643274,0.5285432166804446,0.6098613469156763
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),0,0.9657534246575342,0.8156028368794326,0.9863013698630136
WESAD,PhysioNet,subject_zscore,coral,0,0.5817298622901339,0.5466017027269969,0.6182795698924731
WESAD,PhysioNet,subject_zscore,mmd,0,0.6002758913412564,0.5748860009119927,0.6129032258064516
WESAD,PhysioNet,subject_zscore,dann,0,0.6158036219581211,0.5863487733754857,0.627216562912658
WESAD,PhysioNet,subject_zscore,subject_dann,0,0.5662021316732692,0.5355934914758445,0.5790652707036409
WESAD,PhysioNet,subject_zscore,source_only,1,0.5741723259762309,0.5289284787684857,0.6008536125259385
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),1,0.9452054794520548,0.748792270531401,0.9643835616438357
WESAD,PhysioNet,subject_zscore,coral,1,0.5683243727598566,0.5245903527717783,0.6027636295038672
WESAD,PhysioNet,subject_zscore,mmd,1,0.5758819090737597,0.5421079432648461,0.5877428787021317
WESAD,PhysioNet,subject_zscore,dann,1,0.5814233163554047,0.5556581828133552,0.5895349933974721
WESAD,PhysioNet,subject_zscore,subject_dann,1,0.5835455574419921,0.5459361830222758,0.6220760233918129
WESAD,PhysioNet,subject_zscore,source_only,2,0.5876721373325787,0.5655705952055419,0.6039190718732315
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),2,0.8726027397260274,0.7902097902097902,0.9808219178082193
WESAD,PhysioNet,subject_zscore,coral,2,0.592612242973024,0.5703445447087776,0.6065836634597246
WESAD,PhysioNet,subject_zscore,mmd,2,0.5686191284663271,0.5437785391381679,0.5744670816827013
WESAD,PhysioNet,subject_zscore,dann,2,0.6008771929824561,0.5823008345438492,0.5825551782682513
WESAD,PhysioNet,subject_zscore,subject_dann,2,0.6314256744010565,0.610969656578775,0.646505376344086
WESAD,PhysioNet,subject_zscore,source_only,3,0.5839464252027919,0.5522301911592422,0.6245519713261649
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),3,0.8589041095890411,0.7418439716312057,0.9726027397260274
WESAD,PhysioNet,subject_zscore,coral,3,0.5890869647236371,0.5599543378995434,0.6284427466515752
WESAD,PhysioNet,subject_zscore,mmd,3,0.5576306357291078,0.5316192909613542,0.575669684965101
WESAD,PhysioNet,subject_zscore,dann,3,0.5699396340313149,0.5197624340094471,0.5962082625919638
WESAD,PhysioNet,subject_zscore,subject_dann,3,0.5203499339747217,0.4178853465925709,0.5957366534616111
WESAD,PhysioNet,subject_zscore,source_only,4,0.5877782493869081,0.554234922668619,0.6205197132616487
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),4,0.9452054794520548,0.748792270531401,1.0
WESAD,PhysioNet,subject_zscore,coral,4,0.5967506130918695,0.5640805780399689,0.6180201848707791
WESAD,PhysioNet,subject_zscore,mmd,4,0.5776976042256178,0.5414783111890316,0.5963261648745519
WESAD,PhysioNet,subject_zscore,dann,4,0.6191284663271082,0.5940847959881468,0.6124551971326164
WESAD,PhysioNet,subject_zscore,subject_dann,4,0.5737714582154311,0.5212817166884153,0.6223118279569892
WESAD,PhysioNet,subject_zscore,source_only,5,0.5716492171288436,0.5337394456681351,0.5994859460479155
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),5,0.9452054794520548,0.748792270531401,0.9917808219178081
WESAD,PhysioNet,subject_zscore,coral,5,0.5925179211469535,0.5558821338741928,0.6067015657423127
WESAD,PhysioNet,subject_zscore,mmd,5,0.5709418034333145,0.5373132620424885,0.5973401245048103
WESAD,PhysioNet,subject_zscore,dann,5,0.572863610639502,0.5218917431724057,0.6024806640256556
WESAD,PhysioNet,subject_zscore,subject_dann,5,0.60772731560083,0.5973734785393978,0.6289615166949633
WESAD,PhysioNet,subject_zscore,source_only,6,0.5836398792680626,0.5607365878116596,0.6088709677419355
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),6,0.9726027397260274,0.8430583501006037,0.9945205479452055
WESAD,PhysioNet,subject_zscore,coral,6,0.5885799849085078,0.5655111901180546,0.6108281456328994
WESAD,PhysioNet,subject_zscore,mmd,6,0.5771906244104886,0.54789593573912,0.5918930390492361
WESAD,PhysioNet,subject_zscore,dann,6,0.6031998679494435,0.5772188556411294,0.6203546500660253
WESAD,PhysioNet,subject_zscore,subject_dann,6,0.5294166195057537,0.4585636989089965,0.5811403508771931
WESAD,PhysioNet,subject_zscore,source_only,7,0.6146953405017921,0.5836797624486066,0.6351160158460668
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),7,0.952054794520548,0.7689377909437156,0.9835616438356164
WESAD,PhysioNet,subject_zscore,coral,7,0.6097552348613469,0.578894472361809,0.631248820977174
WESAD,PhysioNet,subject_zscore,mmd,7,0.5598471986417657,0.53677912012765,0.5945340501792115
WESAD,PhysioNet,subject_zscore,dann,7,0.5962436332767402,0.569991789819376,0.6214157706093191
WESAD,PhysioNet,subject_zscore,subject_dann,7,0.6131744010564044,0.5985308208240179,0.6677985285795134
WESAD,PhysioNet,subject_zscore,source_only,8,0.5951353518204112,0.5673882661646844,0.6144123750235804
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),8,0.9726027397260274,0.8430583501006037,0.9835616438356164
WESAD,PhysioNet,subject_zscore,coral,8,0.6090478211658178,0.5818720953439969,0.6165110356536503
WESAD,PhysioNet,subject_zscore,mmd,8,0.5819302961705338,0.5497096080852426,0.5980003772873044
WESAD,PhysioNet,subject_zscore,dann,8,0.6074325598943595,0.5846663932184851,0.6298811544991512
WESAD,PhysioNet,subject_zscore,subject_dann,8,0.5879786832673081,0.5572519519982636,0.633606866628938
WESAD,PhysioNet,subject_zscore,source_only,9,0.5578310696095077,0.5343409646588131,0.5812582531597812
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),9,0.9589041095890412,0.7910714285714286,0.989041095890411
WESAD,PhysioNet,subject_zscore,coral,9,0.5600476325221656,0.5393374918112165,0.5859743444633089
WESAD,PhysioNet,subject_zscore,mmd,9,0.5404876438407847,0.5226703121439964,0.5544236936427089
WESAD,PhysioNet,subject_zscore,dann,9,0.5698217317487266,0.5576562027425715,0.5714252027919261
WESAD,PhysioNet,subject_zscore,subject_dann,9,0.5888865308432372,0.5570191730719776,0.6481324278438031
