bin,temp,tonic,dataset,n
0,0.0048,-0.5521,EPM-E4,33
1,-0.0261,-0.0472,EPM-E4,33
2,-0.0385,-0.0989,EPM-E4,33
3,-0.023,-0.2174,EPM-E4,33
4,0.0143,-0.3225,EPM-E4,33
5,0.0584,-0.5232,EPM-E4,33
6,0.0683,-0.6228,EPM-E4,33
7,0.0574,-0.6411,EPM-E4,33
8,0.0653,-0.3332,EPM-E4,33
9,0.0332,-0.1114,EPM-E4,33
10,0.0022,-0.0374,EPM-E4,33
11,0.0054,-0.0133,EPM-E4,33
12,0.0008,-0.0747,EPM-E4,33
13,-0.0052,0.0892,EPM-E4,33
14,-0.0143,0.3469,EPM-E4,33
15,-0.0264,0.4252,EPM-E4,33
16,-0.0324,0.4716,EPM-E4,33
17,-0.0302,0.5469,EPM-E4,33
18,-0.046,0.6566,EPM-E4,33
19,-0.0705,0.5069,EPM-E4,33
0,-0.8094,-1.345,WESAD,15
1,-0.6644,-0.8528,WESAD,15
2,-0.5246,-0.4228,WESAD,15
3,-0.4832,-0.1921,WESAD,15
4,-0.4034,-0.205,WESAD,15
5,-0.3083,-0.1078,WESAD,15
6,-0.1714,-0.0296,WESAD,15
7,-0.1176,0.0975,WESAD,15
8,-0.0564,0.0857,WESAD,15
9,-0.0232,0.0445,WESAD,15
10,0.0708,0.1922,WESAD,15
11,0.1596,0.3114,WESAD,15
12,0.2183,0.3167,WESAD,15
13,0.2489,0.32,WESAD,15
14,0.2838,0.3144,WESAD,15
15,0.2793,0.2144,WESAD,15
16,0.3151,0.0934,WESAD,15
17,0.3386,-0.0302,WESAD,15
18,0.3761,-0.0809,WESAD,15
19,0.462,-0.069,WESAD,15
0,-0.55,-1.3248,PhysioNet,36
1,-0.3982,-0.8649,PhysioNet,36
2,-0.33,-0.6343,PhysioNet,36
3,-0.1705,-0.4018,PhysioNet,36
4,-0.0983,-0.2576,PhysioNet,36
5,-0.0638,-0.1384,PhysioNet,36
6,-0.0388,-0.0592,PhysioNet,36
7,-0.0259,0.1224,PhysioNet,36
8,-0.043,0.3539,PhysioNet,36
9,-0.0395,0.4477,PhysioNet,36
10,-0.0102,0.4245,PhysioNet,36
11,0.0092,0.3092,PhysioNet,36
12,0.07,0.2247,PhysioNet,36
13,0.1138,0.1832,PhysioNet,36
14,0.153,0.0516,PhysioNet,36
15,0.1753,-0.0004,PhysioNet,36
16,0.1665,0.0538,PhysioNet,36
17,0.1795,0.0866,PhysioNet,36
18,0.1798,0.0866,PhysioNet,36
19,0.1708,0.0126,PhysioNet,36
0,-0.4065,-0.2808,Stress-Predict,35
1,-0.3655,-0.2746,Stress-Predict,35
2,-0.3051,-0.2414,Stress-Predict,35
3,-0.2244,-0.2066,Stress-Predict,35
4,-0.1757,-0.1258,Stress-Predict,35
5,-0.1346,-0.0592,Stress-Predict,35
6,-0.1216,-0.0015,Stress-Predict,35
7,-0.0157,-0.0315,Stress-Predict,35
8,0.0424,-0.0788,Stress-Predict,35
9,0.0729,-0.1231,Stress-Predict,35
10,0.083,-0.0889,Stress-Predict,35
11,0.1064,-0.0209,Stress-Predict,35
12,0.1286,0.0228,Stress-Predict,35
13,0.1413,0.0703,Stress-Predict,35
14,0.1395,0.1316,Stress-Predict,35
15,0.1306,0.1755,Stress-Predict,35
16,0.1105,0.2218,Stress-Predict,35
17,0.0913,0.2336,Stress-Predict,35
18,0.129,0.2202,Stress-Predict,35
19,0.1669,0.1765,Stress-Predict,35
0,-0.2549,-0.3004,Campanella2024,29
1,-0.2863,-0.2859,Campanella2024,29
2,-0.3253,-0.2747,Campanella2024,29
3,-0.3212,-0.1918,Campanella2024,29
4,-0.29,-0.1275,Campanella2024,29
5,-0.3065,-0.1009,Campanella2024,29
6,-0.2856,-0.0459,Campanella2024,29
7,-0.2265,0.0087,Campanella2024,29
8,-0.1853,0.0453,Campanella2024,29
9,-0.131,0.0568,Campanella2024,29
10,-0.0171,0.0771,Campanella2024,29
11,0.036,0.0571,Campanella2024,29
12,0.1114,0.0752,Campanella2024,29
13,0.1773,0.101,Campanella2024,29
14,0.211,0.0755,Campanella2024,29
15,0.253,0.0473,Campanella2024,29
16,0.2895,0.0668,Campanella2024,29
17,0.3477,0.088,Campanella2024,29
18,0.4256,0.1229,Campanella2024,29
19,0.5233,0.2051,Campanella2024,29
