dataset,score,term,estimate,lo,hi,n_boot_valid
PhysioNet,within_LOSO,ba_all,0.7763,0.7185,0.8291,1000
PhysioNet,within_LOSO,F1_recovery_shap4,0.0025,-0.0061,0.0096,1000
PhysioNet,within_LOSO,F2_sensor_shap4,0.007,-0.0062,0.0213,1000
PhysioNet,within_LOSO,F3_onset_shap4,0.0196,-0.0227,0.0552,1000
PhysioNet,within_LOSO,F4_responder_shap4,0.0199,0.0,0.0465,1000
PhysioNet,within_LOSO,resid4,0.1746,0.1081,0.252,1000
PhysioNet,within_LOSO,F1_recovery_shap3,0.0031,-0.0056,0.011,1000
PhysioNet,within_LOSO,F2_sensor_shap3,0.0043,-0.0106,0.0188,1000
PhysioNet,within_LOSO,F3_onset_shap3,0.0199,-0.0219,0.0546,1000
PhysioNet,within_LOSO,F1_F3_total,0.0273,-0.0224,0.0652,1000
PhysioNet,within_LOSO,resid3,0.1964,0.1302,0.2745,1000
PhysioNet,within_LOSO,F4_single,0.0186,0.0,0.0456,1000
PhysioNet,within_LOSO,F4_after_F1_F3,0.0218,0.0,0.0516,1000
PhysioNet,external,ba_all,0.7461,0.6809,0.8015,1000
PhysioNet,external,F1_recovery_shap4,0.0146,-0.0014,0.0311,1000
PhysioNet,external,F2_sensor_shap4,0.0056,-0.0039,0.0145,1000
PhysioNet,external,F3_onset_shap4,0.0359,0.0032,0.0651,1000
PhysioNet,external,F4_responder_shap4,0.0077,-0.0088,0.0275,1000
PhysioNet,external,resid4,0.1901,0.1222,0.2716,1000
PhysioNet,external,F1_recovery_shap3,0.0147,-0.0017,0.0303,1000
PhysioNet,external,F2_sensor_shap3,0.0041,-0.0065,0.0135,1000
PhysioNet,external,F3_onset_shap3,0.0376,0.0052,0.067,1000
PhysioNet,external,F1_F3_total,0.0564,0.0187,0.0915,1000
PhysioNet,external,resid3,0.1975,0.1322,0.2758,1000
PhysioNet,external,F4_single,0.0081,-0.0086,0.0266,1000
PhysioNet,external,F4_after_F1_F3,0.0074,-0.0099,0.0311,1000
Stress-Predict,within_LOSO,ba_all,0.7104,0.6765,0.7436,1000
Stress-Predict,within_LOSO,F1_recovery_shap4,0.0189,0.0093,0.0284,1000
Stress-Predict,within_LOSO,F2_sensor_shap4,0.0113,-0.0121,0.0363,1000
Stress-Predict,within_LOSO,F3_onset_shap4,0.0185,0.0103,0.0268,1000
Stress-Predict,within_LOSO,F4_responder_shap4,0.0118,0.0,0.0309,1000
Stress-Predict,within_LOSO,resid4,0.2291,0.1915,0.2635,1000
Stress-Predict,within_LOSO,F1_recovery_shap3,0.0171,0.0072,0.0268,1000
Stress-Predict,within_LOSO,F2_sensor_shap3,0.0138,-0.0118,0.0419,1000
Stress-Predict,within_LOSO,F3_onset_shap3,0.0179,0.0095,0.0267,1000
Stress-Predict,within_LOSO,F1_F3_total,0.0489,0.0233,0.0754,1000
Stress-Predict,within_LOSO,resid3,0.2407,0.2037,0.2759,1000
Stress-Predict,within_LOSO,F4_single,0.0115,0.0,0.0327,1000
Stress-Predict,within_LOSO,F4_after_F1_F3,0.0117,0.0,0.031,1000
Stress-Predict,external,ba_all,0.6535,0.6184,0.6864,1000
Stress-Predict,external,F1_recovery_shap4,0.0153,0.0071,0.0241,1000
Stress-Predict,external,F2_sensor_shap4,-0.0149,-0.0421,0.0108,1000
Stress-Predict,external,F3_onset_shap4,0.0122,0.0028,0.0217,1000
Stress-Predict,external,F4_responder_shap4,0.0045,-0.0019,0.0177,1000
Stress-Predict,external,resid4,0.3294,0.2808,0.377,1000
Stress-Predict,external,F1_recovery_shap3,0.015,0.0071,0.0235,1000
Stress-Predict,external,F2_sensor_shap3,-0.0135,-0.041,0.0125,1000
Stress-Predict,external,F3_onset_shap3,0.0125,0.003,0.0218,1000
Stress-Predict,external,F1_F3_total,0.0139,-0.0203,0.0474,1000
Stress-Predict,external,resid3,0.3326,0.2861,0.379,1000
Stress-Predict,external,F4_single,0.0051,-0.0035,0.021,1000
Stress-Predict,external,F4_after_F1_F3,0.0032,-0.0006,0.0123,1000
WESAD,external,ba_all,0.8871,0.8439,0.9252,1000
WESAD,external,F1_recovery_shap4,0.0,0.0,0.0,1000
WESAD,external,F2_sensor_shap4,0.0452,0.0146,0.0853,1000
WESAD,external,F3_onset_shap4,0.0004,-0.0036,0.0044,1000
WESAD,external,F4_responder_shap4,0.0015,-0.0004,0.0069,1000
WESAD,external,resid4,0.0658,0.0415,0.0963,1000
WESAD,external,F1_recovery_shap3,0.0,0.0,0.0,1000
WESAD,external,F2_sensor_shap3,0.044,0.0146,0.0824,1000
WESAD,external,F3_onset_shap3,0.0004,-0.0036,0.0044,1000
WESAD,external,F1_F3_total,0.0443,0.0143,0.0816,1000
WESAD,external,resid3,0.0685,0.0437,0.0974,1000
WESAD,external,F4_single,0.0002,-0.0047,0.0052,1000
WESAD,external,F4_after_F1_F3,0.0027,0.0,0.0093,1000
