dataset,score,filter,n_windows,frac_windows_removed,frac_stress_removed,frac_nonstress_removed,n_subjects,frac_subjects_fully_removed,err_removed,err_kept,err_all
PhysioNet,within_LOSO,F1_recovery,1599,0.3064,0.0,0.3584,35,0.0,0.1184,0.1551,0.1438
PhysioNet,within_LOSO,F2_sensor,1599,0.0763,0.0948,0.0732,35,0.0286,0.1967,0.1395,0.1438
PhysioNet,within_LOSO,F3_onset,1599,0.0669,0.4612,0.0,35,0.0,0.3738,0.1273,0.1438
PhysioNet,within_LOSO,F4_responder,1599,0.075,0.0819,0.0739,35,0.0857,0.2667,0.1339,0.1438
PhysioNet,within_LOSO,F1-F3,1599,0.4328,0.5043,0.4206,35,0.0286,0.172,0.1224,0.1438
PhysioNet,within_LOSO,F1-F4,1599,0.4715,0.5302,0.4616,35,0.1143,0.1777,0.1136,0.1438
PhysioNet,external,F1_recovery,1599,0.3064,0.0,0.3584,35,0.0,0.3265,0.2435,0.2689
PhysioNet,external,F2_sensor,1599,0.0763,0.0948,0.0732,35,0.0286,0.4098,0.2573,0.2689
PhysioNet,external,F3_onset,1599,0.0669,0.4612,0.0,35,0.0,0.3178,0.2654,0.2689
PhysioNet,external,F4_responder,1599,0.075,0.0819,0.0739,35,0.0857,0.3333,0.2637,0.2689
PhysioNet,external,F1-F3,1599,0.4328,0.5043,0.4206,35,0.0286,0.3309,0.2216,0.2689
PhysioNet,external,F1-F4,1599,0.4715,0.5302,0.4616,35,0.1143,0.3289,0.2154,0.2689
Stress-Predict,within_LOSO,F1_recovery,2546,0.1929,0.0,0.2897,34,0.0,0.3279,0.2637,0.2761
Stress-Predict,within_LOSO,F2_sensor,2546,0.3967,0.3901,0.4,34,0.0294,0.2822,0.2721,0.2761
Stress-Predict,within_LOSO,F3_onset,2546,0.0495,0.1481,0.0,34,0.0,0.5317,0.2628,0.2761
Stress-Predict,within_LOSO,F4_responder,2546,0.0452,0.0317,0.0519,34,0.0588,0.5304,0.2641,0.2761
Stress-Predict,within_LOSO,F1-F3,2546,0.5495,0.4818,0.5835,34,0.0882,0.3081,0.2371,0.2761
Stress-Predict,within_LOSO,F1-F4,2546,0.5727,0.4959,0.6112,34,0.1471,0.3148,0.2243,0.2761
Stress-Predict,external,F1_recovery,2546,0.1929,0.0,0.2897,34,0.0,0.3259,0.3002,0.3052
Stress-Predict,external,F2_sensor,2546,0.3967,0.3901,0.4,34,0.0294,0.3515,0.2747,0.3052
Stress-Predict,external,F3_onset,2546,0.0495,0.1481,0.0,34,0.0,0.6587,0.2868,0.3052
Stress-Predict,external,F4_responder,2546,0.0452,0.0317,0.0519,34,0.0588,0.3304,0.304,0.3052
Stress-Predict,external,F1-F3,2546,0.5495,0.4818,0.5835,34,0.0882,0.3267,0.279,0.3052
Stress-Predict,external,F1-F4,2546,0.5727,0.4959,0.6112,34,0.1471,0.323,0.2812,0.3052
WESAD,external,F1_recovery,1398,0.0,0.0,0.0,15,0.0,,0.1237,0.1237
WESAD,external,F2_sensor,1398,0.269,0.6334,0.1647,15,0.0,0.1915,0.0988,0.1237
WESAD,external,F3_onset,1398,0.0215,0.0965,0.0,15,0.0,0.1333,0.1235,0.1237
WESAD,external,F4_responder,1398,0.0672,0.0675,0.0672,15,0.0667,0.1809,0.1196,0.1237
WESAD,external,F1-F3,1398,0.2768,0.6688,0.1647,15,0.0,0.186,0.0999,0.1237
WESAD,external,F1-F4,1398,0.3183,0.672,0.2171,15,0.0667,0.1865,0.0944,0.1237
