dataset,model,split,ba_unmatched,ba_dataset_range,ba_subject_range
Campanella2024,time_only_within,0,1.0,,
Campanella2024,phys_within,0,1.0,,
Campanella2024,phys_external,0,0.95,,
Campanella2024,time_only_within,1,1.0,,
Campanella2024,phys_within,1,1.0,,
Campanella2024,phys_external,1,0.8465909090909092,,
Campanella2024,time_only_within,2,1.0,,
Campanella2024,phys_within,2,1.0,,
Campanella2024,phys_external,2,0.8541666666666667,,
Campanella2024,time_only_within,3,1.0,,
Campanella2024,phys_within,3,1.0,,
Campanella2024,phys_external,3,0.9318181818181819,,
Campanella2024,time_only_within,4,1.0,,
Campanella2024,phys_within,4,0.9791666666666667,,
Campanella2024,phys_external,4,0.8333333333333333,,
Campanella2024,time_only_within,5,1.0,,
Campanella2024,phys_within,5,0.9736842105263157,,
Campanella2024,phys_external,5,0.8585526315789473,,
Campanella2024,time_only_within,6,1.0,,
Campanella2024,phys_within,6,0.9736842105263157,,
Campanella2024,phys_external,6,0.9210526315789473,,
Campanella2024,time_only_within,7,1.0,,
Campanella2024,phys_within,7,0.9761904761904762,,
Campanella2024,phys_external,7,0.9285714285714286,,
Campanella2024,time_only_within,8,1.0,,
Campanella2024,phys_within,8,1.0,,
Campanella2024,phys_external,8,0.8713768115942029,,
Campanella2024,time_only_within,9,1.0,,
Campanella2024,phys_within,9,1.0,,
Campanella2024,phys_external,9,0.8958333333333333,,
Campanella2024,time_only_within,10,1.0,,
Campanella2024,phys_within,10,1.0,,
Campanella2024,phys_external,10,0.8035714285714286,,
Campanella2024,time_only_within,11,1.0,,
Campanella2024,phys_within,11,1.0,,
Campanella2024,phys_external,11,0.9305555555555556,,
Campanella2024,time_only_within,12,1.0,,
Campanella2024,phys_within,12,1.0,,
Campanella2024,phys_external,12,0.8630952380952381,,
Campanella2024,time_only_within,13,1.0,,
Campanella2024,phys_within,13,1.0,,
Campanella2024,phys_external,13,0.8913043478260869,,
Campanella2024,time_only_within,14,1.0,,
Campanella2024,phys_within,14,1.0,,
Campanella2024,phys_external,14,0.8898809523809523,,
Campanella2024,time_only_within,15,1.0,,
Campanella2024,phys_within,15,1.0,,
Campanella2024,phys_external,15,0.9107142857142857,,
Campanella2024,time_only_within,16,1.0,,
Campanella2024,phys_within,16,1.0,,
Campanella2024,phys_external,16,0.9523809523809523,,
Campanella2024,time_only_within,17,1.0,,
Campanella2024,phys_within,17,1.0,,
Campanella2024,phys_external,17,0.9565217391304348,,
Campanella2024,time_only_within,18,1.0,,
Campanella2024,phys_within,18,1.0,,
Campanella2024,phys_external,18,0.95,,
Campanella2024,time_only_within,19,1.0,,
Campanella2024,phys_within,19,1.0,,
Campanella2024,phys_external,19,0.9523809523809523,,
PhysioNet,time_only_within,0,0.760207336523126,0.5670995670995671,0.5016233766233766
PhysioNet,phys_within,0,0.7602870813397129,0.7288961038961039,0.7646103896103896
PhysioNet,phys_external,0,0.6656299840510367,0.6942640692640694,0.724025974025974
PhysioNet,time_only_within,1,0.8059085841694538,0.6047008547008547,0.5867269984917044
PhysioNet,phys_within,1,0.7579152731326644,0.7601495726495726,0.7654600301659125
PhysioNet,phys_external,1,0.8209030100334448,0.7911324786324787,0.8250377073906485
PhysioNet,time_only_within,2,0.8759512937595129,0.6690821256038647,0.6666666666666666
PhysioNet,phys_within,2,0.8417808219178082,0.8347826086956522,0.8629629629629629
PhysioNet,phys_external,2,0.8390791476407915,0.8038647342995169,0.9037037037037037
PhysioNet,time_only_within,3,0.8852385238523852,0.6737235367372354,0.6642228739002932
