n,auc_pooled,auc_binned,lo,hi,bins,b_arousal,b_class,b_class_lo,b_class_hi,probe,stress_scope,score,index,n_stress,n_probe,arousal_stress_med,arousal_stress_iqr,arousal_probe_med,arousal_probe_iqr
3817,0.604,0.759,0.671,0.824,0.81 0.64 0.83 na na,0.005,0.945,0.486,1.498,exercise,same_dataset,external,hr+eda,232,3763,0.794,1.107,4.781,18.956
3817,0.604,0.538,0.468,0.637,0.42 0.55 0.64 na na,0.003,0.956,0.384,1.448,exercise,same_dataset,external,eda_only,232,3763,0.419,1.581,3.721,28.423
2765,0.585,0.654,0.521,0.749,0.68 0.75 0.53 na na,0.103,1.126,0.497,1.689,exercise,same_dataset,external,hr_only,232,3763,1.227,1.504,3.887,5.126
3817,0.947,0.892,0.844,0.934,0.86 0.83 0.98 na na,-0.008,4.995,4.345,5.585,exercise,same_dataset,cond3_added_negative,hr+eda,232,3763,0.794,1.107,4.781,18.956
3817,0.947,0.818,0.738,0.921,0.66 0.85 0.95 na na,-0.007,4.947,4.193,5.49,exercise,same_dataset,cond3_added_negative,eda_only,232,3763,0.419,1.581,3.721,28.423
2765,0.96,0.912,0.852,0.961,0.94 0.94 0.85 na na,-0.157,4.98,4.283,5.604,exercise,same_dataset,cond3_added_negative,hr_only,232,3763,1.227,1.504,3.887,5.126
3817,0.539,0.561,0.451,0.649,0.35 0.55 0.78 na na,-0.002,0.172,-0.39,0.716,exercise,same_dataset,within_LOSO,hr+eda,232,3763,0.794,1.107,4.781,18.956
3817,0.539,0.427,0.355,0.509,0.23 0.52 0.53 na na,-0.0,0.21,-0.422,0.789,exercise,same_dataset,within_LOSO,eda_only,232,3763,0.419,1.581,3.721,28.423
2765,0.468,0.605,0.52,0.683,0.54 0.72 0.55 na na,0.176,0.337,-0.246,0.856,exercise,same_dataset,within_LOSO,hr_only,232,3763,1.227,1.504,3.887,5.126
5191,0.544,0.65,0.588,0.714,0.71 0.60 0.64 na na,0.005,0.521,0.009,1.01,exercise,pooled_stress,external,hr+eda,1606,3763,0.714,1.297,4.781,18.956
5191,0.544,0.493,0.428,0.559,0.67 0.27 0.35 0.68 na,0.004,0.531,0.045,1.058,exercise,pooled_stress,external,eda_only,1606,3763,0.683,1.776,3.721,28.423
3522,0.471,0.611,0.537,0.683,0.49 0.66 0.74 0.56 na,0.117,0.376,-0.15,0.949,exercise,pooled_stress,external,hr_only,1606,3763,0.672,1.432,3.887,5.126
5191,0.956,0.888,0.855,0.918,0.89 0.85 0.93 na na,-0.008,5.122,4.614,5.641,exercise,pooled_stress,cond3_added_negative,hr+eda,1606,3763,0.714,1.297,4.781,18.956
5191,0.956,0.871,0.833,0.906,0.85 0.77 0.87 0.99 na,-0.007,5.077,4.585,5.541,exercise,pooled_stress,cond3_added_negative,eda_only,1606,3763,0.683,1.776,3.721,28.423
3522,0.961,0.926,0.875,0.963,0.93 0.97 0.94 0.87 na,-0.147,4.901,4.252,5.515,exercise,pooled_stress,cond3_added_negative,hr_only,1606,3763,0.672,1.432,3.887,5.126
5191,0.635,0.664,0.6,0.723,0.56 0.66 0.77 na na,-0.002,1.225,0.627,1.841,exercise,pooled_stress,within_LOSO,hr+eda,1606,3763,0.714,1.297,4.781,18.956
5191,0.635,0.56,0.483,0.637,0.31 0.48 0.70 0.75 na,-0.0,1.263,0.573,1.903,exercise,pooled_stress,within_LOSO,eda_only,1606,3763,0.683,1.776,3.721,28.423
3522,0.534,0.733,0.654,0.819,0.76 0.83 0.73 0.61 na,0.181,1.152,0.604,1.725,exercise,pooled_stress,within_LOSO,hr_only,1606,3763,0.672,1.432,3.887,5.126
904,0.551,0.523,0.434,0.616,0.43 0.49 0.47 0.60 0.63,2.275,0.119,-0.301,0.591,Hyperventilation,same_dataset,external,hr+eda,851,53,0.448,1.07,0.295,0.967
904,0.551,0.56,0.496,0.65,0.29 0.54 0.69 0.65 0.62,1.776,0.496,0.021,1.02,Hyperventilation,same_dataset,external,eda_only,851,53,0.295,1.381,0.178,1.096
552,0.518,0.466,0.307,0.618,0.47 0.21 0.52 0.46 0.66,1.031,-0.179,-1.188,0.62,Hyperventilation,same_dataset,external,hr_only,851,53,0.454,1.188,0.204,1.454
904,0.568,0.56,0.451,0.657,0.46 0.47 0.61 0.61 0.64,1.577,0.14,-0.142,0.438,Hyperventilation,same_dataset,cond3_added_negative,hr+eda,851,53,0.448,1.07,0.295,0.967
