dataset,score,n_windows,n_subjects,n_responders,ba_all,ba_all_filters,F1_recovery_single,F1_recovery_gain,F1_recovery_gain_lo,F1_recovery_gain_hi,F1_recovery_shapley,F2_sensor_single,F2_sensor_gain,F2_sensor_gain_lo,F2_sensor_gain_hi,F2_sensor_shapley,F3_onset_single,F3_onset_gain,F3_onset_gain_lo,F3_onset_gain_hi,F3_onset_shapley,F4_responder_single,F4_responder_gain,F4_responder_gain_lo,F4_responder_gain_hi,F4_responder_shapley,n_after_all_filters,F1b_second_half_rest_single,F1b_gain
WESAD,within_LOSO,1398,15,14,0.94,0.934,0.94,0.0,0.0,0.0,0.0,0.931,-0.009,-0.038,0.017,-0.009,0.942,0.002,-0.002,0.007,0.0,0.94,0.0,-0.006,0.007,0.003,953,,
WESAD,external,1398,15,14,0.887,0.934,0.887,0.0,0.0,0.0,0.0,0.933,0.046,0.018,0.081,0.045,0.889,0.002,-0.004,0.01,0.0,0.887,0.0,-0.003,0.005,0.002,953,,
PhysioNet,within_LOSO,1599,35,32,0.776,0.825,0.778,0.002,-0.006,0.01,0.003,0.776,-0.001,-0.012,0.013,0.007,0.792,0.016,-0.024,0.051,0.02,0.795,0.019,0.0,0.043,0.02,845,0.775,-0.001
PhysioNet,external,1599,35,32,0.746,0.81,0.76,0.014,-0.003,0.031,0.015,0.749,0.003,-0.009,0.013,0.006,0.782,0.036,0.001,0.063,0.036,0.754,0.008,-0.008,0.028,0.008,845,0.775,0.029
Stress-Predict,within_LOSO,2546,34,32,0.71,0.771,0.727,0.016,0.005,0.028,0.019,0.723,0.012,-0.011,0.037,0.011,0.728,0.018,0.01,0.024,0.018,0.722,0.011,0.0,0.029,0.012,1088,,
Stress-Predict,external,2546,34,32,0.653,0.671,0.675,0.021,0.011,0.032,0.015,0.65,-0.003,-0.032,0.022,-0.015,0.67,0.016,0.009,0.023,0.012,0.659,0.005,-0.004,0.02,0.005,1088,,
UBFC-Phys,within_LOSO,205,19,11,0.91,,0.91,0.0,0.0,0.0,0.0,0.941,0.03,-0.011,0.086,0.013,,,,,0.0,0.932,0.022,-0.019,0.073,0.009,49,,
UBFC-Phys,external,205,19,11,0.808,,0.808,0.0,0.0,0.0,0.0,0.805,-0.003,-0.061,0.057,-0.005,,,,,0.0,0.823,0.015,-0.02,0.07,0.004,49,,
Campanella2024,within_LOSO,218,29,29,0.859,0.955,0.859,0.0,0.0,0.0,0.0,0.929,0.07,0.005,0.143,0.079,0.867,0.008,-0.009,0.026,0.017,0.859,0.0,0.0,0.0,0.0,93,,
Campanella2024,external,218,29,29,0.867,0.794,0.867,0.0,0.0,0.0,0.0,0.834,-0.033,-0.096,0.036,-0.037,0.835,-0.031,-0.069,0.005,-0.036,0.867,0.0,0.0,0.0,0.0,93,,
