dataset,score,curve,bin,n,n_subj,rate
WESAD,within_LOSO,stress_recall_vs_min_since_onset,0-1,30,15,0.867
WESAD,within_LOSO,stress_recall_vs_min_since_onset,1-2,30,15,0.933
WESAD,within_LOSO,stress_recall_vs_min_since_onset,2-3,31,15,0.935
WESAD,within_LOSO,stress_recall_vs_min_since_onset,3-inf,220,15,0.9
WESAD,within_LOSO,false_stress_vs_min_since_offset,0-1,0,0,
WESAD,within_LOSO,false_stress_vs_min_since_offset,1-2,0,0,
WESAD,within_LOSO,false_stress_vs_min_since_offset,2-5,0,0,
WESAD,within_LOSO,false_stress_vs_min_since_offset,5-10,0,0,
WESAD,within_LOSO,false_stress_vs_min_since_offset,10-inf,339,15,0.021
WESAD,within_LOSO,false_stress_vs_min_since_offset,no prior stressor,748,15,0.025
WESAD,external,stress_recall_vs_min_since_onset,0-1,30,15,0.867
WESAD,external,stress_recall_vs_min_since_onset,1-2,30,15,0.967
WESAD,external,stress_recall_vs_min_since_onset,2-3,31,15,0.935
WESAD,external,stress_recall_vs_min_since_onset,3-inf,220,15,0.9
WESAD,external,false_stress_vs_min_since_offset,0-1,0,0,
WESAD,external,false_stress_vs_min_since_offset,1-2,0,0,
WESAD,external,false_stress_vs_min_since_offset,2-5,0,0,
WESAD,external,false_stress_vs_min_since_offset,5-10,0,0,
WESAD,external,false_stress_vs_min_since_offset,10-inf,339,15,0.204
WESAD,external,false_stress_vs_min_since_offset,no prior stressor,748,15,0.1
PhysioNet,within_LOSO,stress_recall_vs_min_since_onset,0-1,107,35,0.626
PhysioNet,within_LOSO,stress_recall_vs_min_since_onset,1-2,62,35,0.71
PhysioNet,within_LOSO,stress_recall_vs_min_since_onset,2-3,34,17,0.765
PhysioNet,within_LOSO,stress_recall_vs_min_since_onset,3-inf,29,16,0.586
PhysioNet,within_LOSO,false_stress_vs_min_since_offset,0-1,107,35,0.262
PhysioNet,within_LOSO,false_stress_vs_min_since_offset,1-2,108,35,0.056
PhysioNet,within_LOSO,false_stress_vs_min_since_offset,2-5,275,35,0.087
PhysioNet,within_LOSO,false_stress_vs_min_since_offset,5-10,177,21,0.073
PhysioNet,within_LOSO,false_stress_vs_min_since_offset,10-inf,531,17,0.094
