n,auc,lo,hi,p_raw,variant,index,score,probe,p_holm,diff_vs_exercise,diff_lo,diff_hi
3817,0.7352,0.6216,0.8171,0.0005,disjoint_hr+eda,hr+eda,external,exercise,0.0035,,,
904,0.5217,0.4185,0.6228,0.6377,disjoint_hr+eda,hr+eda,external,Hyperventilation,1.0,0.3587,0.2483,0.4722
190,0.515,0.4274,0.6176,0.7596,disjoint_hr+eda,hr+eda,external,UBFC Control task,1.0,0.3607,0.253,0.4556
769,0.4396,0.3709,0.6373,0.3608,disjoint_hr+eda,hr+eda,external,Campanella Manual task,1.0,0.3966,0.2365,0.5175
2000,0.6461,0.591,0.7093,0.0005,disjoint_hr+eda,hr+eda,external,EPM Fear,0.0035,0.2301,0.1529,0.3045
1639,0.4119,0.3356,0.5453,0.2384,disjoint_hr+eda,hr+eda,external,EPM Anger,0.9535,0.4501,0.325,0.5541
5445,0.5668,0.5199,0.6216,0.001,disjoint_hr+eda,hr+eda,external,Baseline/Rest (ref),0.005,0.3099,0.2413,0.3716
3817,0.8774,0.8338,0.9177,0.0005,disjoint_hr+eda,hr+eda,cond3_added_negative,exercise,0.003,,,
904,0.5394,0.4374,0.6435,0.3748,disjoint_hr+eda,hr+eda,cond3_added_negative,Hyperventilation,1.0,0.3375,0.2276,0.4503
190,0.5008,0.4112,0.6107,0.989,disjoint_hr+eda,hr+eda,cond3_added_negative,UBFC Control task,1.0,0.3736,0.2591,0.4779
769,0.5242,0.4563,0.7582,0.7126,disjoint_hr+eda,hr+eda,cond3_added_negative,Campanella Manual task,1.0,0.2924,0.1098,0.4358
2000,0.7773,0.7309,0.8244,0.0005,disjoint_hr+eda,hr+eda,cond3_added_negative,EPM Fear,0.003,0.1004,0.036,0.1623
1639,0.5164,0.4279,0.6281,0.8256,disjoint_hr+eda,hr+eda,cond3_added_negative,EPM Anger,1.0,0.3549,0.2421,0.4595
2765,0.6228,0.5063,0.7232,0.0135,disjoint_hr_only_model_eda,hr_only,external,exercise,0.054,,,
552,0.4544,0.3019,0.6056,0.4108,disjoint_hr_only_model_eda,hr_only,external,Hyperventilation,0.9925,0.4441,0.2741,0.6034
130,0.4669,0.3613,0.58,0.5772,disjoint_hr_only_model_eda,hr_only,external,UBFC Control task,0.9925,0.4262,0.3017,0.5427
259,0.7264,0.584,0.8349,0.0005,disjoint_hr_only_model_eda,hr_only,external,Campanella Manual task,0.0035,0.1705,0.0415,0.3167
1353,0.6053,0.5318,0.6745,0.001,disjoint_hr_only_model_eda,hr_only,external,EPM Fear,0.005,0.2856,0.1972,0.373
999,0.4316,0.3201,0.5587,0.3308,disjoint_hr_only_model_eda,hr_only,external,EPM Anger,0.9925,0.4538,0.3077,0.5783
3910,0.6825,0.6237,0.7408,0.0005,disjoint_hr_only_model_eda,hr_only,external,Baseline/Rest (ref),0.0035,0.2075,0.1293,0.2816
2765,0.8904,0.8319,0.9389,0.0005,disjoint_hr_only_model_eda,hr_only,cond3_added_negative,exercise,0.003,,,
552,0.4691,0.3335,0.6175,0.5522,disjoint_hr_only_model_eda,hr_only,cond3_added_negative,Hyperventilation,1.0,0.4263,0.2709,0.5737
130,0.4537,0.3453,0.5671,0.4338,disjoint_hr_only_model_eda,hr_only,cond3_added_negative,UBFC Control task,1.0,0.4398,0.3078,0.5562
259,0.8389,0.7306,0.9066,0.0005,disjoint_hr_only_model_eda,hr_only,cond3_added_negative,Campanella Manual task,0.003,0.057,-0.0385,0.1695
1353,0.711,0.6499,0.7736,0.0005,disjoint_hr_only_model_eda,hr_only,cond3_added_negative,EPM Fear,0.003,0.1796,0.0941,0.2603
999,0.4487,0.3236,0.597,0.4778,disjoint_hr_only_model_eda,hr_only,cond3_added_negative,EPM Anger,1.0,0.4337,0.2795,0.5761
3817,0.2873,0.2097,0.4141,0.0005,disjoint_eda_only_model_hr,eda_only,external,exercise,0.0035,,,
904,0.5259,0.4264,0.6384,0.6067,disjoint_eda_only_model_hr,eda_only,external,Hyperventilation,1.0,0.1801,0.0425,0.3277
190,0.493,0.3532,0.6326,0.8971,disjoint_eda_only_model_hr,eda_only,external,UBFC Control task,1.0,0.2215,0.0527,0.3993
769,0.4249,0.2509,0.5255,0.1509,disjoint_eda_only_model_hr,eda_only,external,Campanella Manual task,0.4528,0.3102,0.1575,0.5005
2000,0.7196,0.6635,0.7743,0.0005,disjoint_eda_only_model_hr,eda_only,external,EPM Fear,0.0035,-0.0048,-0.1075,0.1176
1639,0.6195,0.5394,0.7696,0.06,disjoint_eda_only_model_hr,eda_only,external,EPM Anger,0.2399,0.0662,-0.0919,0.2192
5445,0.626,0.5867,0.6663,0.0005,disjoint_eda_only_model_hr,eda_only,external,Baseline/Rest (ref),0.0035,0.0865,-0.0098,0.2018
3817,0.7017,0.6248,0.8214,0.0005,disjoint_eda_only_model_hr,eda_only,cond3_added_negative,exercise,0.003,,,
904,0.539,0.4324,0.6521,0.4443,disjoint_eda_only_model_hr,eda_only,cond3_added_negative,Hyperventilation,1.0,0.1728,0.0261,0.328
190,0.5351,0.3837,0.6674,0.5677,disjoint_eda_only_model_hr,eda_only,cond3_added_negative,UBFC Control task,1.0,0.1835,0.0181,0.3541
769,0.4857,0.2724,0.6099,0.8596,disjoint_eda_only_model_hr,eda_only,cond3_added_negative,Campanella Manual task,1.0,0.2666,0.0779,0.4816
2000,0.7898,0.7417,0.8342,0.0005,disjoint_eda_only_model_hr,eda_only,cond3_added_negative,EPM Fear,0.003,-0.0751,-0.1782,0.046
1639,0.7425,0.6642,0.8426,0.0005,disjoint_eda_only_model_hr,eda_only,cond3_added_negative,EPM Anger,0.003,-0.0412,-0.1629,0.1001
