n,auc,lo,hi,p_raw,variant,index,score,probe,p_holm,diff_vs_exercise,diff_lo,diff_hi
3817,0.7587,0.6716,0.8299,0.0005,full_model,hr+eda,external,exercise,0.0035,,,
904,0.5233,0.435,0.6068,0.6192,full_model,hr+eda,external,Hyperventilation,0.6192,0.372,0.2732,0.4635
190,0.5768,0.4954,0.6652,0.1409,full_model,hr+eda,external,UBFC Control task,0.4063,,0.2169,0.407
769,0.3551,0.2428,0.5445,0.0315,full_model,hr+eda,external,Campanella Manual task,0.1259,0.5063,0.344,0.6535
2000,0.6327,0.5808,0.6886,0.0005,full_model,hr+eda,external,EPM Fear,0.0035,0.2597,0.1845,0.3285
1639,0.3896,0.3132,0.5198,0.1354,full_model,hr+eda,external,EPM Anger,0.4063,0.482,0.361,0.5941
5445,0.5839,0.5407,0.6374,0.0005,full_model,hr+eda,external,Baseline/Rest (ref),0.0035,0.3077,0.2337,0.3697
3817,0.892,0.8371,0.9339,0.0005,full_model,hr+eda,cond3_added_negative,exercise,0.003,,,
904,0.5596,0.4543,0.6655,0.1589,full_model,hr+eda,cond3_added_negative,Hyperventilation,0.6357,0.3323,0.2163,0.4449
190,0.568,0.4618,0.6708,0.1864,full_model,hr+eda,cond3_added_negative,UBFC Control task,0.6357,0.3253,0.2136,0.4415
769,0.496,0.4362,0.7005,0.9445,full_model,hr+eda,cond3_added_negative,Campanella Manual task,0.9445,0.3453,0.179,0.4694
2000,0.7787,0.7376,0.8228,0.0005,full_model,hr+eda,cond3_added_negative,EPM Fear,0.003,0.1138,0.0432,0.1792
1639,0.431,0.3331,0.6159,0.3153,full_model,hr+eda,cond3_added_negative,EPM Anger,0.6357,0.4285,0.2711,0.5627
3817,0.5611,0.4509,0.6629,0.2654,full_model,hr+eda,within_LOSO,exercise,0.4753,,,
904,0.568,0.4683,0.6697,0.1009,full_model,hr+eda,within_LOSO,Hyperventilation,0.4038,0.3244,0.2104,0.4323
190,0.5849,0.4397,0.7397,0.1584,full_model,hr+eda,within_LOSO,UBFC Control task,0.4753,0.3002,0.1455,0.4599
769,0.4116,0.2932,0.8278,0.2064,full_model,hr+eda,within_LOSO,Campanella Manual task,0.4753,0.3799,0.0629,0.6044
