rule,dataset,score,n_subjects,n_responders,ba_all,F4_single,F4_gain,F4_gain_lo,F4_gain_hi,F4_shapley,all_filters_gain,F4_shapley_share,ba_all_filters
lenient_0.5sd_either,WESAD,within_LOSO,15,14,0.94,0.94,0.0,-0.006,0.006,0.003,-0.006,-0.445,0.934
lenient_0.5sd_either,WESAD,external,15,14,0.887,0.887,0.0,-0.003,0.005,0.002,0.047,0.032,0.934
lenient_0.5sd_either,PhysioNet,within_LOSO,35,32,0.776,0.795,0.019,0.0,0.05,0.02,0.049,0.406,0.825
lenient_0.5sd_either,PhysioNet,external,35,32,0.746,0.754,0.008,-0.008,0.027,0.008,0.064,0.121,0.81
lenient_0.5sd_either,Stress-Predict,within_LOSO,34,32,0.71,0.722,0.011,0.0,0.032,0.012,0.061,0.195,0.771
lenient_0.5sd_either,Stress-Predict,external,34,32,0.653,0.659,0.005,-0.003,0.019,0.005,0.017,0.265,0.671
lenient_0.5sd_either,UBFC-Phys,within_LOSO,19,11,0.91,0.932,0.022,-0.021,0.085,0.009,,,
lenient_0.5sd_either,UBFC-Phys,external,19,11,0.808,0.823,0.015,-0.018,0.069,0.004,,,
lenient_0.5sd_either,Campanella2024,within_LOSO,29,29,0.859,0.859,0.0,0.0,0.0,0.0,0.097,0.0,0.955
lenient_0.5sd_either,Campanella2024,external,29,29,0.867,0.867,0.0,0.0,0.0,0.0,-0.073,-0.0,0.794
1.0sd_either,WESAD,within_LOSO,15,14,0.94,0.94,0.0,-0.005,0.008,0.003,-0.006,-0.445,0.934
1.0sd_either,WESAD,external,15,14,0.887,0.887,0.0,-0.004,0.005,0.002,0.047,0.032,0.934
1.0sd_either,PhysioNet,within_LOSO,35,32,0.776,0.795,0.019,0.0,0.047,0.02,0.049,0.406,0.825
1.0sd_either,PhysioNet,external,35,32,0.746,0.754,0.008,-0.007,0.03,0.008,0.064,0.121,0.81
1.0sd_either,Stress-Predict,within_LOSO,34,32,0.71,0.722,0.011,0.0,0.032,0.012,0.061,0.195,0.771
1.0sd_either,Stress-Predict,external,34,32,0.653,0.659,0.005,-0.004,0.02,0.005,0.017,0.265,0.671
1.0sd_either,UBFC-Phys,within_LOSO,19,11,0.91,0.932,0.022,-0.019,0.087,0.009,,,
1.0sd_either,UBFC-Phys,external,19,11,0.808,0.823,0.015,-0.018,0.059,0.004,,,
1.0sd_either,Campanella2024,within_LOSO,29,29,0.859,0.859,0.0,0.0,0.0,0.0,0.097,0.0,0.955
1.0sd_either,Campanella2024,external,29,29,0.867,0.867,0.0,0.0,0.0,0.0,-0.073,-0.0,0.794
1.0sd_both,WESAD,within_LOSO,15,9,0.94,0.982,0.042,0.003,0.1,0.036,0.02,1.796,0.96
1.0sd_both,WESAD,external,15,9,0.887,0.909,0.022,-0.004,0.064,0.016,0.054,0.297,0.941
1.0sd_both,PhysioNet,within_LOSO,35,17,0.776,0.871,0.094,0.046,0.152,0.099,0.128,0.767,0.905
1.0sd_both,PhysioNet,external,35,17,0.746,0.811,0.065,0.012,0.131,0.066,0.123,0.537,0.869
1.0sd_both,Stress-Predict,within_LOSO,34,12,0.71,0.743,0.032,-0.005,0.075,0.031,0.079,0.394,0.79
1.0sd_both,Stress-Predict,external,34,12,0.653,0.634,-0.02,-0.062,0.021,-0.018,-0.002,10.525,0.652
1.0sd_both,UBFC-Phys,within_LOSO,19,4,0.91,0.975,0.065,0.004,0.136,0.027,,,
1.0sd_both,UBFC-Phys,external,19,4,0.808,0.862,0.055,-0.017,0.143,0.026,,,
1.0sd_both,Campanella2024,within_LOSO,29,10,0.859,0.975,0.116,0.036,0.199,0.07,0.115,0.612,0.974
1.0sd_both,Campanella2024,external,29,10,0.867,0.917,0.05,-0.042,0.147,0.045,-0.031,-1.447,0.836
top_half_pooled_z,WESAD,within_LOSO,15,8,0.94,0.972,0.032,-0.008,0.082,0.029,0.016,1.776,0.956
top_half_pooled_z,WESAD,external,15,8,0.887,0.909,0.022,-0.014,0.07,0.02,0.063,0.325,0.95
top_half_pooled_z,PhysioNet,within_LOSO,35,18,0.776,0.838,0.062,0.013,0.131,0.063,0.094,0.673,0.871
top_half_pooled_z,PhysioNet,external,35,18,0.746,0.795,0.049,-0.002,0.111,0.052,0.112,0.459,0.858
top_half_pooled_z,Stress-Predict,within_LOSO,34,17,0.71,0.736,0.025,-0.009,0.067,0.03,0.083,0.362,0.794
top_half_pooled_z,Stress-Predict,external,34,17,0.653,0.68,0.026,-0.006,0.062,0.033,0.051,0.651,0.705
top_half_pooled_z,UBFC-Phys,within_LOSO,19,6,0.91,0.983,0.073,0.014,0.148,0.031,,,
top_half_pooled_z,UBFC-Phys,external,19,6,0.808,0.833,0.025,-0.043,0.091,0.011,,,
top_half_pooled_z,Campanella2024,within_LOSO,29,15,0.859,0.905,0.047,-0.025,0.131,0.034,0.11,0.31,0.969
top_half_pooled_z,Campanella2024,external,29,15,0.867,0.912,0.046,-0.015,0.12,0.015,-0.092,-0.164,0.775
