condition,probe,dataset,label,kind,n_subjects,n_windows,rate,lo,hi,subj_median,subj_q1,subj_q3,mean_score
1_external,-,Campanella2024,Baseline,false_stress_core,29,116,0.129,0.034,0.241,0.0,0.0,0.0,0.222
1_external,-,Campanella2024,Manual task,false_stress_probed,29,667,0.427,0.376,0.477,0.391,0.348,0.522,0.472
1_external,-,Campanella2024,Stress,stress_recall,29,102,0.863,0.766,0.951,1.0,1.0,1.0,0.712
1_external,-,EPM-E4,Anger,false_stress_probed,33,33,0.424,0.273,0.606,0.0,0.0,1.0,0.472
1_external,-,EPM-E4,Fear,false_stress_probed,33,394,0.353,0.253,0.448,0.273,0.083,0.583,0.382
1_external,-,EPM-E4,Happiness,false_stress_probed,33,297,0.236,0.135,0.333,0.111,0.0,0.444,0.318
1_external,-,EPM-E4,Sadness,false_stress_probed,33,131,0.374,0.267,0.492,0.25,0.0,0.5,0.427
1_external,-,PhysioNet,Aerobic,false_stress_probed,30,2143,0.692,0.591,0.795,0.782,0.555,0.938,0.611
1_external,-,PhysioNet,Anaerobic,false_stress_probed,31,1620,0.695,0.607,0.793,0.795,0.513,0.893,0.596
1_external,-,PhysioNet,Baseline,false_stress_core,35,174,0.282,0.147,0.417,0.0,0.0,0.675,0.312
1_external,-,PhysioNet,Rest,false_stress_core,35,1193,0.274,0.226,0.325,0.234,0.183,0.347,0.338
1_external,-,PhysioNet,Stress,stress_recall,35,232,0.767,0.667,0.86,0.833,0.633,1.0,0.693
1_external,-,Stress-Predict,Baseline,false_stress_core,34,616,0.131,0.083,0.18,0.073,0.0,0.197,0.189
1_external,-,Stress-Predict,Hyperventilation,false_stress_probed,31,53,0.415,0.255,0.593,0.0,0.0,1.0,0.463
1_external,-,Stress-Predict,Rest,false_stress_core,34,1079,0.273,0.215,0.338,0.246,0.148,0.353,0.315
1_external,-,Stress-Predict,Stress,stress_recall,33,851,0.529,0.455,0.606,0.542,0.429,0.655,0.525
1_external,-,UBFC-Phys,Baseline,false_stress_core,19,95,0.084,0.011,0.189,0.0,0.0,0.0,0.181
1_external,-,UBFC-Phys,Control task,false_stress_probed,8,80,0.55,0.462,0.662,0.55,0.475,0.625,0.534
1_external,-,UBFC-Phys,Stress,stress_recall,11,110,0.7,0.618,0.791,0.7,0.6,0.75,0.601
1_external,-,WESAD,Amusement,false_stress_core,15,165,0.291,0.145,0.455,0.273,0.0,0.455,0.378
1_external,-,WESAD,Baseline,false_stress_core,15,566,0.094,0.051,0.147,0.053,0.027,0.135,0.27
1_external,-,WESAD,Meditation,false_stress_core,15,356,0.121,0.053,0.201,0.042,0.0,0.188,0.277
1_external,-,WESAD,Stress,stress_recall,15,311,0.907,0.825,0.974,1.0,0.882,1.0,0.807
2_all_absent,-,Campanella2024,Baseline,false_stress_core,29,480,0.127,0.026,0.263,0.0,0.0,0.0,0.221
2_all_absent,-,Campanella2024,Manual task,false_stress_probed,29,2760,0.417,0.361,0.476,0.391,0.322,0.533,0.459
2_all_absent,-,Campanella2024,Stress,stress_recall,29,420,0.917,0.827,0.98,1.0,1.0,1.0,0.784
2_all_absent,-,EPM-E4,Anger,false_stress_probed,33,140,0.436,0.27,0.611,0.111,0.0,1.0,0.484
2_all_absent,-,EPM-E4,Fear,false_stress_probed,33,1673,0.328,0.231,0.429,0.292,0.083,0.51,0.369
2_all_absent,-,EPM-E4,Happiness,false_stress_probed,33,1260,0.252,0.145,0.375,0.067,0.0,0.467,0.319
2_all_absent,-,EPM-E4,Sadness,false_stress_probed,33,558,0.351,0.24,0.491,0.333,0.071,0.5,0.404
2_all_absent,-,PhysioNet,Aerobic,false_stress_probed,30,8412,0.614,0.522,0.709,0.641,0.481,0.851,0.569
2_all_absent,-,PhysioNet,Anaerobic,false_stress_probed,31,6519,0.576,0.499,0.657,0.6,0.486,0.782,0.533
2_all_absent,-,PhysioNet,Baseline,false_stress_core,35,667,0.199,0.091,0.316,0.0,0.0,0.313,0.282
2_all_absent,-,PhysioNet,Rest,false_stress_core,35,4525,0.213,0.169,0.263,0.152,0.122,0.291,0.299
2_all_absent,-,PhysioNet,Stress,stress_recall,35,884,0.735,0.616,0.849,0.833,0.629,1.0,0.684
2_all_absent,-,Stress-Predict,Baseline,false_stress_core,34,2577,0.173,0.092,0.262,0.055,0.0,0.277,0.268
2_all_absent,-,Stress-Predict,Hyperventilation,false_stress_probed,31,212,0.538,0.357,0.705,0.5,0.0,1.0,0.535
2_all_absent,-,Stress-Predict,Rest,false_stress_core,34,4513,0.252,0.197,0.318,0.235,0.175,0.389,0.342
2_all_absent,-,Stress-Predict,Stress,stress_recall,33,3547,0.629,0.566,0.691,0.654,0.488,0.793,0.589
2_all_absent,-,UBFC-Phys,Baseline,false_stress_core,19,400,0.102,0.017,0.218,0.0,0.0,0.058,0.176
2_all_absent,-,UBFC-Phys,Control task,false_stress_probed,8,300,0.573,0.483,0.662,0.571,0.495,0.6,0.566
2_all_absent,-,UBFC-Phys,Stress,stress_recall,11,500,0.744,0.633,0.858,0.733,0.642,0.862,0.621
2_all_absent,-,WESAD,Amusement,false_stress_core,15,660,0.23,0.13,0.339,0.2,0.0,0.341,0.311
2_all_absent,-,WESAD,Baseline,false_stress_core,15,2263,0.056,0.03,0.087,0.053,0.007,0.11,0.197
2_all_absent,-,WESAD,Meditation,false_stress_core,15,1423,0.046,0.019,0.078,0.021,0.0,0.073,0.198
2_all_absent,-,WESAD,Stress,stress_recall,15,1247,0.947,0.886,0.995,1.0,0.983,1.0,0.855
3_added_negative,Campanella Manual task,Campanella2024,Baseline,false_stress_core,29,480,0.125,0.022,0.266,0.0,0.0,0.0,0.211
3_added_negative,Campanella Manual task,Campanella2024,Manual task,false_stress_probed,29,2760,0.328,0.274,0.387,0.326,0.243,0.435,0.4
3_added_negative,Campanella Manual task,Campanella2024,Stress,stress_recall,29,420,0.914,0.822,0.979,1.0,0.944,1.0,0.77
3_added_negative,Campanella Manual task,PhysioNet,Baseline,false_stress_core,35,667,0.22,0.105,0.353,0.0,0.0,0.383,0.286
3_added_negative,Campanella Manual task,PhysioNet,Rest,false_stress_core,35,4525,0.209,0.165,0.25,0.164,0.122,0.302,0.303
