dataset,model,split,ba,auroc,n_test,n_test_matched,ba_matched,auroc_matched
Campanella2024,time_only_within,0,1.0,1.0,44,20,,
Campanella2024,std_within,0,1.0,1.0,44,20,,
Campanella2024,std_external,0,0.95,1.0,44,20,,
Campanella2024,std+time_within,0,1.0,1.0,44,20,,
Campanella2024,std+time_external,0,1.0,1.0,44,20,,
Campanella2024,time_only_within,1,1.0,1.0,46,22,,
Campanella2024,std_within,1,1.0,1.0,46,22,,
Campanella2024,std_external,1,0.8465909090909092,0.9412878787878788,46,22,,
Campanella2024,std+time_within,1,1.0,1.0,46,22,,
Campanella2024,std+time_external,1,0.9545454545454546,0.981060606060606,46,22,,
Campanella2024,time_only_within,2,1.0,1.0,48,24,,
Campanella2024,std_within,2,1.0,1.0,48,24,,
Campanella2024,std_external,2,0.8541666666666667,0.9496527777777778,48,24,,
Campanella2024,std+time_within,2,1.0,1.0,48,24,,
Campanella2024,std+time_external,2,0.9791666666666667,1.0,48,24,,
Campanella2024,time_only_within,3,1.0,1.0,46,22,,
Campanella2024,std_within,3,1.0,1.0,46,22,,
Campanella2024,std_external,3,0.9318181818181819,0.9734848484848485,46,22,,
Campanella2024,std+time_within,3,1.0,1.0,46,22,,
Campanella2024,std+time_external,3,0.9772727272727273,1.0,46,22,,
Campanella2024,time_only_within,4,1.0,1.0,48,24,,
Campanella2024,std_within,4,0.9791666666666667,1.0,48,24,,
Campanella2024,std_external,4,0.8333333333333333,0.9392361111111112,48,24,,
Campanella2024,std+time_within,4,0.9791666666666667,1.0,48,24,,
Campanella2024,std+time_external,4,0.9583333333333333,0.984375,48,24,,
Campanella2024,time_only_within,5,1.0,1.0,43,19,,
Campanella2024,std_within,5,0.9736842105263157,1.0,43,19,,
Campanella2024,std_external,5,0.8585526315789473,0.9473684210526315,43,19,,
Campanella2024,std+time_within,5,0.9736842105263157,1.0,43,19,,
Campanella2024,std+time_external,5,0.9736842105263157,0.9846491228070176,43,19,,
Campanella2024,time_only_within,6,1.0,1.0,43,19,,
Campanella2024,std_within,6,0.9736842105263157,1.0,43,19,,
Campanella2024,std_external,6,0.9210526315789473,0.9671052631578948,43,19,,
Campanella2024,std+time_within,6,0.9736842105263157,1.0,43,19,,
Campanella2024,std+time_external,6,0.9473684210526316,0.9956140350877193,43,19,,
Campanella2024,time_only_within,7,1.0,1.0,45,21,,
Campanella2024,std_within,7,0.9761904761904762,1.0,45,21,,
Campanella2024,std_external,7,0.9285714285714286,0.998015873015873,45,21,,
Campanella2024,std+time_within,7,0.9761904761904762,1.0,45,21,,
Campanella2024,std+time_external,7,1.0,1.0,45,21,,
Campanella2024,time_only_within,8,1.0,1.0,47,23,,
Campanella2024,std_within,8,1.0,1.0,47,23,,
Campanella2024,std_external,8,0.8713768115942029,0.9728260869565217,47,23,,
Campanella2024,std+time_within,8,1.0,1.0,47,23,,
Campanella2024,std+time_external,8,1.0,1.0,47,23,,
Campanella2024,time_only_within,9,1.0,1.0,40,16,,
Campanella2024,std_within,9,1.0,1.0,40,16,,
