dataset,model,ba,auroc,ba_matched,auroc_matched,n_test,n_test_matched
Campanella2024,std+time_external,0.978,0.993,,,45.0,21.0
Campanella2024,std+time_within,0.995,1.0,,,45.0,21.0
Campanella2024,std_external,0.9,0.963,,,45.0,21.0
Campanella2024,std_within,0.995,1.0,,,45.0,21.0
Campanella2024,time_only_within,1.0,1.0,,,45.0,21.0
PhysioNet,std+time_external,0.517,0.572,0.436,0.445,313.05,115.55
PhysioNet,std+time_within,0.858,0.938,0.781,0.859,313.05,115.55
PhysioNet,std_external,0.742,0.802,0.706,0.774,313.05,115.55
PhysioNet,std_within,0.776,0.854,0.772,0.857,313.05,115.55
PhysioNet,time_only_within,0.826,0.905,0.62,0.759,313.05,115.55
Stress-Predict,std+time_external,0.56,0.597,0.653,0.778,519.35,228.65
Stress-Predict,std+time_within,0.949,0.986,0.887,0.947,519.35,228.65
Stress-Predict,std_external,0.656,0.698,0.671,0.721,519.35,228.65
Stress-Predict,std_within,0.698,0.766,0.67,0.722,519.35,228.65
Stress-Predict,time_only_within,0.947,0.985,0.881,0.938,519.35,228.65
UBFC-Phys,std+time_external,0.5,0.8,,,41.5,41.5
UBFC-Phys,std+time_within,0.803,0.888,,,41.5,41.5
UBFC-Phys,std_external,0.773,0.861,,,41.5,41.5
UBFC-Phys,std_within,0.792,0.888,,,41.5,41.5
UBFC-Phys,time_only_within,0.5,0.5,,,41.5,41.5
WESAD,std+time_external,0.452,0.462,0.523,0.954,278.8,87.3
WESAD,std+time_within,0.946,0.991,0.934,0.988,278.8,87.3
WESAD,std_external,0.896,0.968,0.876,0.968,278.8,87.3
WESAD,std_within,0.916,0.977,0.929,0.992,278.8,87.3
WESAD,time_only_within,0.9,0.949,0.602,0.697,278.8,87.3
