dataset,feature,n_windows,slope_per_min_first10,slope_per_min_after10,mean_min0_5,mean_min5_10,mean_min10_20,mean_min20_30,baseline_frac_first10min,baseline_median_min,stress_median_min
Campanella2024,temp_mean,885,0.0218,0.0358,-0.3618,-0.2549,0.2151,0.6091,1.0,0.75,27.75
Campanella2024,eda_tonic_mean,885,0.0439,0.0675,-0.3672,-0.1305,-0.0603,0.79,1.0,0.75,27.75
Campanella2024,eda_mean,885,0.0439,0.0675,-0.3672,-0.1304,-0.0605,0.79,1.0,0.75,27.75
Campanella2024,hr_mean,327,-0.1702,0.2518,-0.691,-1.1774,-1.1304,2.8121,1.0,0.75,27.75
EPM-E4,temp_mean,854,0.3897,-0.0601,-3.6181,-1.0674,1.9921,3.8357,,,
EPM-E4,eda_tonic_mean,854,0.0339,-0.0665,-0.1383,0.2246,0.3463,-0.2581,,,
EPM-E4,eda_mean,854,0.0339,-0.0665,-0.1384,0.2249,0.3462,-0.2581,,,
EPM-E4,hr_mean,830,-0.0536,-0.0686,0.769,0.4934,-0.5567,-0.7677,,,
PhysioNet,temp_mean,1310,0.008,0.0046,-0.112,-0.072,0.0409,0.08,1.0,1.0,6.7167
PhysioNet,eda_tonic_mean,1360,0.1233,-0.0589,-0.082,0.6596,-0.0466,-0.566,1.0,1.0,6.7167
PhysioNet,eda_mean,1360,0.1232,-0.0588,-0.0817,0.6599,-0.0469,-0.5663,1.0,1.0,6.7167
PhysioNet,hr_mean,1263,-0.0353,-0.1547,1.5248,2.9707,-0.9557,-2.4134,1.0,1.0,6.7167
Stress-Predict,temp_mean,1703,0.0548,-0.0016,-0.3013,-0.0558,0.1111,0.1083,0.9773,4.5,23.4333
Stress-Predict,eda_tonic_mean,1703,0.0232,0.0542,-0.394,-0.2711,-0.0663,0.4363,0.9773,4.5,23.4333
Stress-Predict,eda_mean,1703,0.0232,0.0542,-0.3938,-0.2712,-0.0664,0.4364,0.9773,4.5,23.4333
Stress-Predict,hr_mean,1045,0.0775,0.0654,0.0296,0.0411,-0.5913,0.6003,0.9773,4.5,23.4333
WESAD,temp_mean,640,0.0696,-0.0185,-0.3415,0.0148,0.2124,-0.0963,0.53,9.0,52.3167
WESAD,eda_tonic_mean,640,-0.1148,0.034,0.5116,-0.0549,-0.3251,0.2353,0.53,9.0,52.3167
WESAD,eda_mean,640,-0.1149,0.034,0.5116,-0.0549,-0.3251,0.2354,0.53,9.0,52.3167
WESAD,hr_mean,565,0.1151,-0.2426,-0.0741,0.772,0.5881,-4.1316,0.53,9.0,52.3167
