bin,temp_mean_dm,eda_tonic_mean_dm,hr_mean_dm,n,dataset
0.0,-0.3572,-0.4419,0.5529,116,Campanella2024
2.0,-0.3601,-0.2777,-4.8052,29,Campanella2024
4.0,-0.3691,-0.2385,-2.4475,116,Campanella2024
6.0,-0.2875,-0.1343,-1.8898,116,Campanella2024
8.0,-0.1666,-0.0848,-0.1084,116,Campanella2024
10.0,-0.0482,-0.0904,1.0807,58,Campanella2024
14.0,0.2195,-0.0883,-1.5412,29,Campanella2024
16.0,0.2987,-0.0562,-1.7603,116,Campanella2024
18.0,0.4031,0.0113,-3.4844,29,Campanella2024
22.0,0.6494,0.6264,1.9689,58,Campanella2024
26.0,0.6051,0.7879,3.6477,57,Campanella2024
28.0,0.5623,1.0036,2.6914,45,Campanella2024
0.0,-3.4962,0.109,0.2935,132,EPM-E4
2.0,-3.3267,-0.4022,1.4409,135,EPM-E4
4.0,-4.3742,-0.133,0.9047,79,EPM-E4
6.0,0.1615,0.593,0.1404,9,EPM-E4
8.0,-0.0039,0.3789,-0.15,68,EPM-E4
10.0,5.3538,0.1758,-0.0782,51,EPM-E4
12.0,5.9274,0.0928,0.4737,15,EPM-E4
14.0,0.0006,0.7687,-2.18,20,EPM-E4
16.0,2.0086,0.6678,-1.1289,40,EPM-E4
18.0,-0.1336,0.2485,-0.3867,90,EPM-E4
20.0,3.2173,-0.0423,-0.3552,111,EPM-E4
22.0,5.454,-0.179,-0.632,68,EPM-E4
24.0,3.7104,-0.6965,-1.8794,26,EPM-E4
26.0,-0.0347,-1.0641,-2.7013,6,EPM-E4
28.0,0.1061,-3.5345,-4.3585,4,EPM-E4
0.0,-0.1183,-0.2799,0.9488,140,PhysioNet
2.0,-0.1264,-0.0648,2.2856,36,PhysioNet
4.0,-0.0749,0.6272,6.127,91,PhysioNet
6.0,-0.1008,0.7406,4.4753,119,PhysioNet
8.0,-0.0404,0.6192,-0.668,120,PhysioNet
10.0,0.0247,0.4117,-0.079,126,PhysioNet
12.0,0.0423,0.1355,0.6528,122,PhysioNet
14.0,0.0184,-0.0181,-1.4152,123,PhysioNet
16.0,0.0484,-0.3164,-1.9845,122,PhysioNet
18.0,0.0806,-0.5792,-2.2448,95,PhysioNet
20.0,-0.0137,-0.7042,-2.4008,67,PhysioNet
22.0,0.239,-0.4834,-1.795,27,PhysioNet
24.0,0.0986,-0.1779,-3.6638,47,PhysioNet
26.0,0.0199,-0.4154,-2.7477,63,PhysioNet
28.0,0.151,-0.9039,-1.4538,61,PhysioNet
30.0,0.5842,-0.6638,-0.5835,1,PhysioNet
0.0,-0.3996,-0.4723,-0.7179,136,Stress-Predict
2.0,-0.2581,-0.381,0.4082,136,Stress-Predict
4.0,-0.1872,-0.2419,0.4857,134,Stress-Predict
6.0,-0.0614,-0.2426,-0.0202,130,Stress-Predict
8.0,0.048,-0.3517,0.0231,88,Stress-Predict
10.0,0.0979,-0.1768,0.3585,107,Stress-Predict
12.0,0.1102,-0.1008,0.6147,115,Stress-Predict
14.0,0.0921,-0.0308,0.8428,81,Stress-Predict
16.0,0.1012,0.0181,-2.6047,101,Stress-Predict
18.0,0.1469,-0.0273,-2.1396,113,Stress-Predict
20.0,0.2001,-0.0701,-0.7492,88,Stress-Predict
22.0,0.1264,0.1147,0.0535,114,Stress-Predict
24.0,0.115,0.4405,0.5666,127,Stress-Predict
26.0,0.0793,0.7181,0.981,125,Stress-Predict
28.0,0.0401,0.8573,2.3066,108,Stress-Predict
0.0,-0.4041,0.7671,0.2268,63,WESAD
2.0,-0.3343,0.3997,-0.2386,59,WESAD
4.0,-0.1948,0.1236,-0.035,59,WESAD
6.0,-0.0087,-0.0365,1.2965,60,WESAD
8.0,0.1327,-0.1345,0.4718,59,WESAD
10.0,0.1936,-0.224,-0.0751,61,WESAD
12.0,0.1979,-0.3092,0.0924,62,WESAD
14.0,0.2016,-0.3504,0.9968,61,WESAD
16.0,0.2296,-0.3861,0.9029,56,WESAD
18.0,0.2791,-0.4099,1.69,26,WESAD
24.0,-0.0459,0.0382,-9.9577,11,WESAD
26.0,-0.103,0.1061,-3.0834,30,WESAD
28.0,-0.1069,0.4184,-2.995,33,WESAD
