features,subset,split,n,ba,auroc
wrist_hr5+eda (current),all,0,281,0.9931506849315068,0.9995581087052584
wrist_hr5+eda (current),cov>=0.5,0,235,0.9975845410628019,0.9996549344375432
wrist_hr5+eda (current),cov<0.5,0,46,0.9166666666666667,1.0
wrist_hr3+eda,all,0,281,0.9931506849315068,0.9997054058035056
wrist_hr3+eda,cov>=0.5,0,235,0.9975845410628019,0.9994824016563146
wrist_hr3+eda,cov<0.5,0,46,0.9166666666666667,1.0
ecg_hr3+eda,all,0,281,1.0,1.0
ecg_hr3+eda,cov>=0.5,0,235,1.0,1.0
ecg_hr3+eda,cov<0.5,0,46,1.0,1.0
ecg_hr3 only,all,0,281,0.9414125791721903,0.9888054205332155
ecg_hr3 only,cov>=0.5,0,235,0.9449620427881298,0.988095238095238
ecg_hr3 only,cov<0.5,0,46,0.9558823529411764,0.9950980392156863
wrist_hr3 only,all,0,281,0.8564958020327,0.9135366033289145
wrist_hr3 only,cov>=0.5,0,235,0.7745859213250517,0.9230503795721188
wrist_hr3 only,cov<0.5,0,46,0.5,0.5
wrist_hr5 only,all,0,281,0.8610620120783621,0.9479304757696273
wrist_hr5 only,cov>=0.5,0,235,0.7794168391994478,0.9560041407867494
wrist_hr5 only,cov<0.5,0,46,0.5,0.5
eda only,all,0,281,0.9621078214759169,0.9941817646192371
eda only,cov>=0.5,0,235,0.9700655624568668,0.9932712215320911
eda only,cov<0.5,0,46,0.928921568627451,0.9852941176470589
ecg_hr3+wrist_hr5+eda,all,0,281,0.9977168949771689,1.0
ecg_hr3+wrist_hr5+eda,cov>=0.5,0,235,0.9975845410628019,1.0
ecg_hr3+wrist_hr5+eda,cov<0.5,0,46,1.0,1.0
wrist_hr5+eda (current),all,1,277,0.9473502304147465,0.9915514592933948
wrist_hr5+eda (current),cov>=0.5,1,201,0.900220913107511,0.9896907216494846
wrist_hr5+eda (current),cov<0.5,1,76,0.9593929450369155,0.988515176374077
wrist_hr3+eda,all,1,277,0.9496543778801843,0.9902457757296468
wrist_hr3+eda,cov>=0.5,1,201,0.9053755522827688,0.9889543446244478
wrist_hr3+eda,cov<0.5,1,76,0.9376538146021329,0.9868744872846597
ecg_hr3+eda,all,1,277,0.9746543778801844,0.9986175115207374
ecg_hr3+eda,cov>=0.5,1,201,0.9742268041237113,0.9970544918998527
ecg_hr3+eda,cov<0.5,1,76,0.9782608695652174,0.992616899097621
ecg_hr3 only,all,1,277,0.9140168970814132,0.9633640552995392
ecg_hr3 only,cov>=0.5,1,201,0.9716494845360825,0.991899852724595
ecg_hr3 only,cov<0.5,1,76,0.9122231337161608,0.9105824446267432
wrist_hr3 only,all,1,277,0.8810675883256528,0.8988095238095238
wrist_hr3 only,cov>=0.5,1,201,0.864138438880707,0.9418262150220914
wrist_hr3 only,cov<0.5,1,76,0.5,0.5
