bin,temp,tonic,dataset
0,4.4165616666666665,-0.8894040998958332,WESAD
1,-1.2867383333333335,-0.3971692412847222,WESAD
2,-1.1469161111111112,0.0327455357986111,WESAD
3,-1.1055050000000004,0.26345155649305557,WESAD
4,-1.0257050000000005,0.2506063460763889,WESAD
5,-0.9305716666666672,0.3477724357986111,WESAD
6,-0.7937605555555561,0.4259822876041667,WESAD
7,-0.7398938888888894,0.5531058584374999,WESAD
8,-0.6786938888888893,0.5412561494097222,WESAD
9,-0.6455605555555558,0.5001015716319445,WESAD
10,-0.5515383333333336,0.6477345649652778,WESAD
11,-0.46274944444444505,0.7669895201041667,WESAD
12,-0.40401611111111124,0.7722589374652779,WESAD
13,-0.37338277777777795,0.7755751749652777,WESAD
14,-0.33847166666666667,0.7699346409375,WESAD
15,-0.34299388888888915,0.6700326177430556,WESAD
16,-0.30718277777777797,0.5489704323263889,WESAD
17,-0.28370500000000004,0.42542405052083326,WESAD
18,-0.24623833333333328,0.37472959177083337,WESAD
19,-0.16036055555555587,0.3866026148263889,WESAD
20,-0.10803833333333353,0.46533135607638887,WESAD
21,-0.11684944444444491,0.42669884065972224,WESAD
22,-0.09074944444444448,0.3842519146875,WESAD
23,-0.032971666666666684,0.27761895274305554,WESAD
24,0.06672833333333344,0.20303448454861114,WESAD
25,0.13352833333333305,0.11198285010416668,WESAD
26,0.16045055555555515,-0.0880094278125,WESAD
27,0.21386166666666656,-0.23341847628472226,WESAD
28,0.310217222222222,-0.3578590736458333,WESAD
29,0.34569499999999986,-0.44262665503472226,WESAD
30,0.39522833333333324,-0.5075527196180556,WESAD
31,0.4347283333333333,-0.6031927896180556,WESAD
32,0.5192616666666665,-0.7206164043402777,WESAD
33,0.6579061111111109,-0.8154369772569444,WESAD
34,0.6870727777777773,-0.8980397583680555,WESAD
35,0.7267172222222218,-0.9448480579513888,WESAD
36,0.7404394444444441,-0.9820343536458334,WESAD
37,0.7543616666666663,-0.9939283022569445,WESAD
38,0.7940838888888885,-1.007617637534722,WESAD
39,0.8157505555555548,-1.0404383111458333,WESAD
0,-0.5704188510470959,-1.106620403351713,PhysioNet
1,-0.426918851047096,-0.6706780382616232,PhysioNet
2,-0.35789182402006914,-0.45587365684270414,PhysioNet
3,-0.19897740960565455,-0.23461040937648792,PhysioNet
4,-0.12284677897502412,-0.09769817756342491,PhysioNet
5,-0.08530173392997897,0.01597110858522374,PhysioNet
6,-0.06226569789394278,0.0916714386527913,PhysioNet
7,-0.049824256452501395,0.2675446141032418,PhysioNet
8,-0.06612155374979858,0.49224395284198047,PhysioNet
9,-0.06317560780385274,0.5833160042496381,PhysioNet
10,-0.036252184380429237,0.5603028008149535,PhysioNet
11,-0.017226710630817734,0.44802979087980277,PhysioNet
12,0.04035056924384517,0.3843965202574807,PhysioNet
13,0.08411908776236335,0.3428423656278511,PhysioNet
14,0.12332279146606726,0.21124468894961035,PhysioNet
15,0.14561908776236332,0.1592683053847955,PhysioNet
16,0.1368181618364376,0.2134957408593326,PhysioNet
17,0.14983668035495612,0.24624623900748066,PhysioNet
18,0.1500959396142154,0.2462371935213696,PhysioNet
19,0.1411468655401413,0.17226371007229552,PhysioNet
20,0.14890612479940063,0.04045192210933256,PhysioNet
21,0.18119316183643763,-0.04591307111983413,PhysioNet
22,0.18611908776236322,0.04910697957461033,PhysioNet
23,0.1943077451697709,0.10463509697912425,PhysioNet
24,0.24128454001543978,0.22538191582705347,PhysioNet
25,0.21859291312936685,0.09914561364223569,PhysioNet
26,0.15830118095262521,0.207643947857922,PhysioNet
27,0.11544344345229897,-0.09579210125841063,PhysioNet
28,0.004797076891691714,-0.4701535045317135,PhysioNet
29,0.004451799307786228,-0.5047803725166728,PhysioNet
30,-0.00043153402554680644,-0.44174265324583956,PhysioNet
31,0.0058934659744529745,-0.5701709457458395,PhysioNet
32,0.0013684659744527372,-0.4759047281416729,PhysioNet
