subject,temp_min0_minus_min1_4,temp_min30_minus_min1,temp_30_40_minus_1_5,dataset
S10,5.985,2.528,2.866,WESAD
S11,5.235,3.606,3.233,WESAD
S13,5.321,0.77,0.635,WESAD
S14,5.797,0.602,0.492,WESAD
S15,5.76,-0.214,-0.013,WESAD
S16,5.661,1.039,1.584,WESAD
S17,5.656,-0.288,-0.474,WESAD
S2,5.84,0.337,0.739,WESAD
S3,5.924,1.547,1.953,WESAD
S4,5.513,1.612,1.437,WESAD
S5,4.559,6.451,6.507,WESAD
S6,5.7,1.125,2.224,WESAD
S7,5.923,0.596,0.82,WESAD
S8,5.218,2.666,2.123,WESAD
S9,5.277,2.853,2.781,WESAD
S01,-1.134,0.212,-0.036,PhysioNet
S02,-0.168,0.114,0.158,PhysioNet
S03,-0.294,,,PhysioNet
S04,-0.088,,,PhysioNet
S05,-0.162,,,PhysioNet
S06,-0.345,,,PhysioNet
S07,-0.247,,,PhysioNet
S08,0.16,,,PhysioNet
S09,0.101,,,PhysioNet
S10,-0.186,,,PhysioNet
S11,0.167,,,PhysioNet
S12,-0.56,,,PhysioNet
S13,-0.607,,,PhysioNet
S14,-0.503,,,PhysioNet
S15,0.093,,,PhysioNet
S16,-0.263,,,PhysioNet
S17,-1.041,,,PhysioNet
S18,-0.836,,,PhysioNet
f01,-0.019,2.62,2.418,PhysioNet
f02,0.11,0.349,0.454,PhysioNet
f03,0.095,0.05,0.425,PhysioNet
f04,-0.27,0.587,0.515,PhysioNet
f05,0.037,-1.794,-1.872,PhysioNet
f06,-0.369,-0.738,-0.865,PhysioNet
f07,-1.492,3.44,2.648,PhysioNet
f08,0.188,-1.706,-1.819,PhysioNet
f09,0.158,-1.375,-1.489,PhysioNet
f10,0.453,2.747,2.699,PhysioNet
f11,-0.359,1.598,1.26,PhysioNet
f12,-0.289,-0.248,-0.425,PhysioNet
f13,0.028,-0.898,-1.052,PhysioNet
f14_a,-0.042,,,PhysioNet
f14_b,-0.173,0.475,0.618,PhysioNet
f15,-2.259,4.099,1.58,PhysioNet
f16,0.319,-0.95,-0.818,PhysioNet
f17,-0.429,-0.077,-0.319,PhysioNet
f18,-0.645,2.263,2.626,PhysioNet
S01,-0.065,-0.808,-0.595,Stress-Predict
S02,-0.812,-0.265,-0.749,Stress-Predict
S03,-0.299,-0.059,-0.159,Stress-Predict
S04,0.019,1.044,1.136,Stress-Predict
S05,0.265,0.964,0.776,Stress-Predict
S06,-0.759,-0.529,-1.011,Stress-Predict
S07,0.108,-0.65,-1.16,Stress-Predict
S08,-0.516,0.298,0.176,Stress-Predict
S09,-0.203,2.509,2.574,Stress-Predict
S10,-0.285,0.429,-0.283,Stress-Predict
S11,-0.627,0.005,-0.399,Stress-Predict
S12,0.554,2.64,2.26,Stress-Predict
S13,0.18,0.556,0.896,Stress-Predict
S14,-0.62,1.184,0.789,Stress-Predict
S15,-0.094,-0.037,-0.417,Stress-Predict
S16,-0.58,0.124,-0.199,Stress-Predict
S17,-0.426,0.586,0.108,Stress-Predict
S18,-0.073,5.512,5.986,Stress-Predict
S19,-0.11,-0.269,-0.496,Stress-Predict
S20,-0.118,-1.01,-0.992,Stress-Predict
S21,-1.144,0.955,-0.319,Stress-Predict
S22,-0.057,-0.492,-0.857,Stress-Predict
S23,0.109,-0.426,-0.467,Stress-Predict
S24,-0.013,0.168,-0.122,Stress-Predict
S25,0.19,-1.844,-2.062,Stress-Predict
S26,0.0,-0.194,-0.229,Stress-Predict
S27,0.352,0.611,0.584,Stress-Predict
S28,0.105,1.856,1.582,Stress-Predict
S29,-0.124,3.066,3.185,Stress-Predict
S30,0.581,-2.991,-2.854,Stress-Predict
S31,-0.325,-0.036,0.163,Stress-Predict
S32,-0.215,0.654,0.607,Stress-Predict
S33,0.377,1.215,1.503,Stress-Predict
S34,-0.236,1.733,1.549,Stress-Predict
S35,0.004,-1.286,-1.418,Stress-Predict
subject_01,-0.12,0.09,-0.312,Campanella2024
subject_02,-0.025,-0.142,0.012,Campanella2024
subject_03,-0.22,1.122,0.978,Campanella2024
subject_04,0.268,0.598,0.425,Campanella2024
subject_05,0.284,-0.813,-0.752,Campanella2024
subject_06,0.172,3.142,3.326,Campanella2024
subject_07,0.33,-0.618,-0.735,Campanella2024
subject_08,-0.439,0.096,-0.378,Campanella2024
subject_09,0.773,0.148,0.443,Campanella2024
subject_10,-0.144,4.587,5.191,Campanella2024
subject_11,0.352,-0.514,-0.498,Campanella2024
subject_12,0.026,3.064,3.318,Campanella2024
subject_13,-0.143,-0.436,-0.221,Campanella2024
subject_14,0.104,-1.128,-1.477,Campanella2024
subject_15,-0.009,-0.611,-1.02,Campanella2024
subject_16,-0.523,4.171,3.803,Campanella2024
subject_17,0.03,0.493,0.111,Campanella2024
subject_18,0.348,1.466,1.658,Campanella2024
subject_19,0.033,1.134,1.072,Campanella2024
subject_20,0.63,-0.511,-0.333,Campanella2024
subject_21,-0.335,1.583,1.552,Campanella2024
subject_22,0.145,-0.3,-0.309,Campanella2024
subject_23,0.067,1.914,1.929,Campanella2024
subject_24,-0.447,0.777,0.522,Campanella2024
subject_25,-0.154,1.695,1.647,Campanella2024
subject_26,0.081,1.9,2.071,Campanella2024
subject_27,0.18,1.716,1.844,Campanella2024
subject_28,-0.105,1.175,1.154,Campanella2024
subject_29,0.312,1.653,1.667,Campanella2024
