subject,offset_min,raw_min,pkl_min,length_ratio
S10,21.345833333333335,113.7,91.6,1.2412663755458515
S11,19.8,107.675,87.21666666666667,1.2345690808331742
S13,21.041666666666668,114.375,92.28333333333333,1.239389561134188
S14,23.220833333333335,116.425,92.46666666666667,1.2591023792357607
S15,21.7875,110.7,87.53333333333333,1.2646610814927646
S16,23.1,118.45,93.85,1.2621204049014385
S17,21.295833333333334,120.525,98.66666666666667,1.2215371621621622
S2,25.75,131.225,101.31666666666666,1.2951965783846027
S3,18.175,128.725,108.21666666666667,1.1895117819189898
S4,24.591666666666665,133.325,107.05,1.2454460532461467
S5,20.904166666666665,125.85,104.3,1.2066155321188878
S6,20.108333333333334,138.725,117.85,1.1771319473907509
S7,19.65,108.225,87.3,1.2396907216494846
S8,18.808333333333334,110.625,91.1,1.214324917672887
S9,16.025,103.8,87.05,1.1924181504882252
