labels,normalisation,train,test,modality,n_train,n_test,test_pct_high,accuracy,balanced_accuracy,macro_f1,auroc
SAM_arousal_high_vs_low,none,WESAD,EPM-E4,all_modalities,1042,855,59.3,0.4233918128654971,0.4845184656192614,0.38858500541768387,0.5452968781881249
SAM_arousal_high_vs_low,none,WESAD,EPM-E4,acc_only,1042,855,59.3,0.4046783625730994,0.4966758484662994,0.28969673031505383,0.41618490557482596
SAM_arousal_high_vs_low,none,WESAD,EPM-E4,all_except_acc,1042,855,59.3,0.43859649122807015,0.4968883901244644,0.40975458216837524,0.5285570971910495
SAM_arousal_high_vs_low,none,WESAD,EPM-E4,physiology_only,1042,855,59.3,0.47368421052631576,0.5255730123104129,0.45579915134370586,0.504463374821465
SAM_arousal_high_vs_low,none,EPM-E4,WESAD,all_modalities,855,1042,25.2,0.30230326295585414,0.5195239094676318,0.27856859195290096,0.5215031457899131
SAM_arousal_high_vs_low,none,EPM-E4,WESAD,acc_only,855,1042,25.2,0.2236084452975048,0.4177799362544356,0.19602676165815464,0.44218726357765875
SAM_arousal_high_vs_low,none,EPM-E4,WESAD,all_except_acc,855,1042,25.2,0.3397312859884837,0.5445560018938193,0.3257591717579077,0.5720944761979139
SAM_arousal_high_vs_low,none,EPM-E4,WESAD,physiology_only,855,1042,25.2,0.3694817658349328,0.5317117099528009,0.36686411874869945,0.5728485872011012
SAM_arousal_high_vs_low,subject_zscore,WESAD,EPM-E4,all_modalities,1042,855,59.3,0.4502923976608187,0.5148609127388968,0.4131863317757009,0.5274377111247137
SAM_arousal_high_vs_low,subject_zscore,WESAD,EPM-E4,acc_only,1042,855,59.3,0.44678362573099417,0.5105505679113106,0.41054336149813214,0.5476320025391643
SAM_arousal_high_vs_low,subject_zscore,WESAD,EPM-E4,all_except_acc,1042,855,59.3,0.47251461988304094,0.5430609399442291,0.4282089797903559,0.5528690289963499
SAM_arousal_high_vs_low,subject_zscore,WESAD,EPM-E4,physiology_only,1042,855,59.3,0.4631578947368421,0.5302149221247364,0.42359465902131016,0.5307476932145367
SAM_arousal_high_vs_low,subject_zscore,EPM-E4,WESAD,all_modalities,855,1042,25.2,0.418426103646833,0.5934097043592009,0.4163598047914818,0.6834002840728828
SAM_arousal_high_vs_low,subject_zscore,EPM-E4,WESAD,acc_only,855,1042,25.2,0.4491362763915547,0.6013559355125271,0.44908553659327377,0.5865519311586952
SAM_arousal_high_vs_low,subject_zscore,EPM-E4,WESAD,all_except_acc,855,1042,25.2,0.519193857965451,0.6633223836741069,0.5185193725022896,0.7808294732937323
SAM_arousal_high_vs_low,subject_zscore,EPM-E4,WESAD,physiology_only,855,1042,25.2,0.45585412667946257,0.6045895830181035,0.45585362551496045,0.7353290022794164
