labels,normalisation,train,test,modality,n_train,n_test,accuracy,balanced_accuracy,macro_f1,auroc
Baseline_vs_Stress,none,WESAD,PhysioNet,all_modalities,877,406,0.5492610837438424,0.5732758620689655,0.5458862790399178,0.6544292508917955
Baseline_vs_Stress,none,WESAD,PhysioNet,acc_only,877,406,0.45566502463054187,0.5165229885057471,0.37857286320790656,0.5508075703527546
Baseline_vs_Stress,none,WESAD,PhysioNet,all_except_acc,877,406,0.5591133004926109,0.5739942528735632,0.5588965433522504,0.6579716607213635
Baseline_vs_Stress,none,WESAD,PhysioNet,physiology_only,877,406,0.541871921182266,0.5581896551724138,0.5413265306122449,0.6493633571145463
Baseline_vs_Stress,none,PhysioNet,WESAD,all_modalities,406,877,0.6499429874572406,0.597695794939384,0.5999592885299148,0.6646915796530057
Baseline_vs_Stress,none,PhysioNet,WESAD,acc_only,406,877,0.5359179019384265,0.5137025212184564,0.5109922252286194,0.5297711701680434
Baseline_vs_Stress,none,PhysioNet,WESAD,all_except_acc,406,877,0.6066134549600912,0.5945485326031381,0.5876653243116172,0.6179712087987002
Baseline_vs_Stress,none,PhysioNet,WESAD,physiology_only,406,877,0.5553021664766249,0.5663850794768954,0.5480623883468463,0.6050981105064025
Baseline+Rest_vs_Stress,none,WESAD,PhysioNet,all_modalities,877,1599,0.8048780487804879,0.6389431929975027,0.6301793921423277,0.7426421436319147
Baseline+Rest_vs_Stress,none,WESAD,PhysioNet,acc_only,877,1599,0.8317698561601,0.5240442827233055,0.5209359619627625,0.5675560628610348
Baseline+Rest_vs_Stress,none,WESAD,PhysioNet,all_except_acc,877,1599,0.7754846779237023,0.6485933834472668,0.6204228346305701,0.7525966122644603
Baseline+Rest_vs_Stress,none,WESAD,PhysioNet,physiology_only,877,1599,0.776735459662289,0.6385884645460738,0.6152065547470349,0.7437883106727543
Baseline+Rest_vs_Stress,none,PhysioNet,WESAD,all_modalities,1599,877,0.6750285062713797,0.5454222671650779,0.4880578580952791,0.9023723768079716
Baseline+Rest_vs_Stress,none,PhysioNet,WESAD,acc_only,1599,877,0.6225769669327252,0.4866781043709452,0.4002000111576472,0.5751763943962823
Baseline+Rest_vs_Stress,none,PhysioNet,WESAD,all_except_acc,1599,877,0.7001140250855188,0.5793433924533875,0.5450536011913567,0.8704793610034881
Baseline+Rest_vs_Stress,none,PhysioNet,WESAD,physiology_only,1599,877,0.7377423033067275,0.6323980548328088,0.6262470167948889,0.9018838126185905
Baseline_vs_Stress,subject_zscore,WESAD,PhysioNet,all_modalities,877,406,0.4630541871921182,0.5244252873563218,0.38578764746703675,0.6076719183511693
Baseline_vs_Stress,subject_zscore,WESAD,PhysioNet,acc_only,877,406,0.4802955665024631,0.5323275862068966,0.433227255585622,0.5135998810939357
Baseline_vs_Stress,subject_zscore,WESAD,PhysioNet,all_except_acc,877,406,0.49261083743842365,0.5510057471264368,0.43058278867102395,0.5842746730083235
Baseline_vs_Stress,subject_zscore,WESAD,PhysioNet,physiology_only,877,406,0.49261083743842365,0.550287356321839,0.43263777711448187,0.5715294292508918
Baseline_vs_Stress,subject_zscore,PhysioNet,WESAD,all_modalities,406,877,0.7172177879133409,0.7693295308647585,0.7166574605788372,0.8655937191096772
Baseline_vs_Stress,subject_zscore,PhysioNet,WESAD,acc_only,406,877,0.6009122006841505,0.6031694181541363,0.5893755351027397,0.5918557485825957
Baseline_vs_Stress,subject_zscore,PhysioNet,WESAD,all_except_acc,406,877,0.6180159635119726,0.698993330530717,0.6158402558667735,0.8684001227091452
Baseline_vs_Stress,subject_zscore,PhysioNet,WESAD,physiology_only,406,877,0.5461801596351197,0.6462369195459762,0.5348286155978463,0.7981548180382444
Baseline+Rest_vs_Stress,subject_zscore,WESAD,PhysioNet,all_modalities,877,1599,0.8317698561601,0.5258336906894029,0.5236670893295164,0.633907625558106
Baseline+Rest_vs_Stress,subject_zscore,WESAD,PhysioNet,acc_only,877,1599,0.7811131957473421,0.5266267058497086,0.5279446000202436,0.5508475645132811
Baseline+Rest_vs_Stress,subject_zscore,WESAD,PhysioNet,all_except_acc,877,1599,0.8242651657285803,0.5411280049441263,0.545819910502104,0.6104892414802109
Baseline+Rest_vs_Stress,subject_zscore,WESAD,PhysioNet,physiology_only,877,1599,0.8298936835522202,0.5462092929394848,0.5524142757172849,0.5979555028630528
Baseline+Rest_vs_Stress,subject_zscore,PhysioNet,WESAD,all_modalities,1599,877,0.6659064994298746,0.5318362060150205,0.46189446085996877,0.8469487462079466
Baseline+Rest_vs_Stress,subject_zscore,PhysioNet,WESAD,acc_only,1599,877,0.6522234891676169,0.5139922511447172,0.4294566202740895,0.7051515117084975
Baseline+Rest_vs_Stress,subject_zscore,PhysioNet,WESAD,all_except_acc,1599,877,0.6727480045610034,0.5661095519980003,0.5440012464377787,0.7630747730448911
Baseline+Rest_vs_Stress,subject_zscore,PhysioNet,WESAD,physiology_only,1599,877,0.6750285062713797,0.5968493290763864,0.5959407357113412,0.7081737925079249
