train,test,normalisation,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,auroc_mean,auroc_std
WESAD,PhysioNet,none,source_only,0.6322,0.0111,0.6317,0.0109,0.6622,0.0063
WESAD,PhysioNet,none,finetune_k5 (uses target labels),0.8943,0.0819,0.6635,0.0655,0.958,0.0513
WESAD,PhysioNet,none,coral,0.6485,0.0101,0.6469,0.0096,0.6768,0.0046
WESAD,PhysioNet,none,mmd,0.605,0.0107,0.5829,0.012,0.6488,0.0083
WESAD,PhysioNet,none,dann,0.6391,0.0105,0.6261,0.0136,0.6556,0.0088
WESAD,PhysioNet,none,subject_dann,0.6556,0.0332,0.6464,0.038,0.7199,0.0211
PhysioNet,WESAD,none,source_only,0.6244,0.0218,0.6235,0.0279,0.7597,0.0175
PhysioNet,WESAD,none,finetune_k5 (uses target labels),0.9457,0.0158,0.9373,0.0182,0.9861,0.0073
PhysioNet,WESAD,none,coral,0.628,0.0237,0.6281,0.0299,0.765,0.0162
PhysioNet,WESAD,none,mmd,0.7449,0.0386,0.711,0.0407,0.8208,0.042
PhysioNet,WESAD,none,dann,0.7406,0.0277,0.7235,0.04,0.8387,0.0206
PhysioNet,WESAD,none,subject_dann,0.7083,0.0572,0.6579,0.0775,0.8174,0.0571
WESAD,PhysioNet,subject_zscore,source_only,0.5433,0.0097,0.4468,0.0175,0.7072,0.005
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),0.8727,0.0766,0.6188,0.0528,0.9609,0.0616
WESAD,PhysioNet,subject_zscore,coral,0.5847,0.0089,0.5192,0.0153,0.7069,0.0053
WESAD,PhysioNet,subject_zscore,mmd,0.5596,0.0299,0.527,0.0341,0.6039,0.0447
WESAD,PhysioNet,subject_zscore,dann,0.5858,0.0162,0.536,0.0337,0.6756,0.0134
WESAD,PhysioNet,subject_zscore,subject_dann,0.5642,0.0291,0.4866,0.063,0.693,0.0163
PhysioNet,WESAD,subject_zscore,source_only,0.804,0.0163,0.7617,0.0179,0.9033,0.0201
PhysioNet,WESAD,subject_zscore,finetune_k5 (uses target labels),0.9652,0.0068,0.9532,0.0091,0.9895,0.005
PhysioNet,WESAD,subject_zscore,coral,0.7965,0.0166,0.756,0.0186,0.885,0.0252
PhysioNet,WESAD,subject_zscore,mmd,0.7789,0.019,0.7343,0.0229,0.8688,0.0203
PhysioNet,WESAD,subject_zscore,dann,0.7619,0.0633,0.7336,0.0524,0.8428,0.0619
PhysioNet,WESAD,subject_zscore,subject_dann,0.7556,0.0409,0.7209,0.0471,0.8418,0.0529
