train,test,normalisation,method,seed,balanced_accuracy,macro_f1,auroc
WESAD,PhysioNet,none,source_only,0,0.639367816091954,0.6368693180425886,0.6535374554102258
WESAD,PhysioNet,none,finetune_k5 (uses target labels),0,0.9333333333333333,0.4827586206896552,
WESAD,PhysioNet,none,coral,0,0.6522988505747127,0.6494749410648134,0.6673355132778439
WESAD,PhysioNet,none,mmd,0,0.5998563218390804,0.5772146811114969,0.6375594530321046
WESAD,PhysioNet,none,dann,0,0.6257183908045978,0.610752427184466,0.6600896749900911
WESAD,PhysioNet,none,subject_dann,0,0.6364942528735632,0.629643143837116,0.6692429647245343
WESAD,PhysioNet,none,source_only,1,0.6285919540229885,0.6275802628743805,0.6451768727705113
WESAD,PhysioNet,none,finetune_k5 (uses target labels),1,0.9333333333333333,0.4827586206896552,
WESAD,PhysioNet,none,coral,1,0.6372126436781609,0.6366654940226011,0.6620095124851367
WESAD,PhysioNet,none,mmd,1,0.6027298850574713,0.579556530214425,0.6333605826397146
WESAD,PhysioNet,none,dann,1,0.625,0.6107996602354083,0.644867221561633
WESAD,PhysioNet,none,subject_dann,1,0.6522988505747127,0.6517000253044246,0.6852952833927863
WESAD,PhysioNet,none,source_only,2,0.6199712643678161,0.6200551578816895,0.6521130598493856
WESAD,PhysioNet,none,finetune_k5 (uses target labels),2,0.9333333333333333,0.4827586206896552,
WESAD,PhysioNet,none,coral,2,0.6163793103448276,0.6153126768882435,0.6657624851367421
WESAD,PhysioNet,none,mmd,2,0.5962643678160919,0.5717064544650752,0.6318866428854538
WESAD,PhysioNet,none,dann,2,0.6458333333333334,0.6374361373176762,0.6554696789536265
WESAD,PhysioNet,none,subject_dann,2,0.6846264367816093,0.6863407679117649,0.7067726912405867
WESAD,PhysioNet,none,source_only,3,0.6221264367816093,0.6227307027883278,0.6600772889417359
WESAD,PhysioNet,none,finetune_k5 (uses target labels),3,0.9333333333333333,0.4827586206896552,
WESAD,PhysioNet,none,coral,3,0.6278735632183907,0.6278735632183907,0.6723394768133174
WESAD,PhysioNet,none,mmd,3,0.5941091954022988,0.57251973439963,0.6441736028537455
WESAD,PhysioNet,none,dann,3,0.6443965517241379,0.632949257027747,0.6564481767736821
WESAD,PhysioNet,none,subject_dann,3,0.6580459770114943,0.6476100877059877,0.7309998018232264
WESAD,PhysioNet,none,source_only,4,0.6336206896551724,0.630257134300261,0.6538718787158146
WESAD,PhysioNet,none,finetune_k5 (uses target labels),4,0.9333333333333333,0.4827586206896552,
WESAD,PhysioNet,none,coral,4,0.6544540229885057,0.6503997019792729,0.6695773880301228
WESAD,PhysioNet,none,mmd,4,0.6120689655172413,0.5896992572750518,0.6415601466508125
WESAD,PhysioNet,none,dann,4,0.610632183908046,0.5901384125130751,0.6409532302814109
WESAD,PhysioNet,none,subject_dann,4,0.6185344827586208,0.6005102040816327,0.7126684502576298
WESAD,PhysioNet,none,source_only,5,0.6214080459770115,0.6203086161494351,0.6541567578279825
WESAD,PhysioNet,none,finetune_k5 (uses target labels),5,0.8666666666666667,0.4642857142857143,
WESAD,PhysioNet,none,coral,5,0.6336206896551724,0.632579185520362,0.6693544391597306
WESAD,PhysioNet,none,mmd,5,0.6170977011494253,0.5946426397175211,0.640470174395561
WESAD,PhysioNet,none,dann,5,0.6386494252873562,0.6301020408163265,0.6669515457788348
WESAD,PhysioNet,none,subject_dann,5,0.6846264367816092,0.6829431767172733,0.7256242568370987
WESAD,PhysioNet,none,source_only,6,0.6443965517241379,0.643947628458498,0.6520263575108998
WESAD,PhysioNet,none,finetune_k5 (uses target labels),6,0.7333333333333333,0.4230769230769231,
WESAD,PhysioNet,none,coral,6,0.6436781609195403,0.6434632034632035,0.668375941339675
