train,test,normalisation,method,seed,balanced_accuracy,macro_f1,auroc
WESAD,PhysioNet,none,source_only,0,0.6426810947842825,0.6409021086440441,0.6619172808788321
WESAD,PhysioNet,none,finetune_k5 (uses target labels),0,0.9310344827586207,0.6772486772486772,0.9655172413793104
WESAD,PhysioNet,none,coral,0,0.6559551194779587,0.6535599128540306,0.6789352612553402
WESAD,PhysioNet,none,mmd,0,0.5955823670250223,0.5707693375277572,0.6483381061921976
WESAD,PhysioNet,none,dann,0,0.6600394347683207,0.6497169290251312,0.665802075019952
WESAD,PhysioNet,none,subject_dann,0,0.5774611520585888,0.5606558698393143,0.6752499882634618
WESAD,PhysioNet,none,source_only,1,0.6252288624947185,0.6246317512274959,0.6527275714755176
WESAD,PhysioNet,none,finetune_k5 (uses target labels),1,0.7471264367816092,0.5819314641744548,0.9080459770114943
WESAD,PhysioNet,none,coral,1,0.6357095910990094,0.6348255569567045,0.6711656729730998
WESAD,PhysioNet,none,mmd,1,0.6102882493779636,0.5885651970711949,0.6312379700483544
WESAD,PhysioNet,none,dann,1,0.6334679123045867,0.6233625773047605,0.6434439697666777
WESAD,PhysioNet,none,subject_dann,1,0.6888056898737149,0.6854984683932053,0.7262569832402234
WESAD,PhysioNet,none,source_only,2,0.6161565184733111,0.6160738894590236,0.6606027886014741
WESAD,PhysioNet,none,finetune_k5 (uses target labels),2,0.9482758620689655,0.7227272727272727,1.0
WESAD,PhysioNet,none,coral,2,0.6392188160180273,0.6388004494802884,0.6756490305619454
WESAD,PhysioNet,none,mmd,2,0.6018848880334257,0.578435053869039,0.6459203793249143
WESAD,PhysioNet,none,dann,2,0.6383385756537252,0.6258971291866029,0.6594173982442139
WESAD,PhysioNet,none,subject_dann,2,0.6685132153420027,0.6644358634424227,0.720423923759448
WESAD,PhysioNet,none,source_only,3,0.6413431294305432,0.6417019774011299,0.665003990422985
WESAD,PhysioNet,none,finetune_k5 (uses target labels),3,0.9137931034482758,0.6403301886792453,0.9827586206896551
WESAD,PhysioNet,none,coral,3,0.6496995446223182,0.6490063128361001,0.676048072860429
WESAD,PhysioNet,none,mmd,3,0.5899957748462514,0.5662475151403079,0.6461433735505375
WESAD,PhysioNet,none,dann,3,0.6474109196751325,0.6330597620102029,0.6547345195061265
WESAD,PhysioNet,none,subject_dann,3,0.6915989859631003,0.6880570616718373,0.7520656307215624
WESAD,PhysioNet,none,source_only,4,0.637763485282381,0.6348574907941662,0.6608257828270974
WESAD,PhysioNet,none,finetune_k5 (uses target labels),4,0.9655172413793103,0.7821428571428571,1.0
WESAD,PhysioNet,none,coral,4,0.6573165579080794,0.6527572168763879,0.6765996901553918
WESAD,PhysioNet,none,mmd,4,0.6200999953053847,0.6012557603686636,0.6614595558893949
WESAD,PhysioNet,none,dann,4,0.6291723393267922,0.6080216833424642,0.6488193042580161
WESAD,PhysioNet,none,subject_dann,4,0.662187221257218,0.6559346384864378,0.7347777099666681
