train,test,normalisation,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,auroc_mean,auroc_std
WESAD,PhysioNet,none,source_only,0.6341,0.0075,0.6328,0.0073,0.6477,0.0033
WESAD,PhysioNet,none,finetune_k5 (uses target labels),0.6216,0.1173,0.4967,0.0473,0.7644,0.0805
WESAD,PhysioNet,none,coral,0.6309,0.0088,0.6286,0.0086,0.6589,0.0037
WESAD,PhysioNet,none,mmd,0.6015,0.0066,0.5832,0.0079,0.6285,0.0057
WESAD,PhysioNet,none,dann,0.6118,0.0106,0.6033,0.0105,0.6305,0.0038
WESAD,PhysioNet,none,subject_dann,0.6154,0.0146,0.6064,0.0163,0.6478,0.0211
PhysioNet,WESAD,none,source_only,0.6545,0.0194,0.6612,0.0215,0.7658,0.0371
PhysioNet,WESAD,none,finetune_k5 (uses target labels),0.9085,0.0166,0.9035,0.0176,0.9687,0.0081
PhysioNet,WESAD,none,coral,0.6537,0.0204,0.6604,0.0225,0.7662,0.0376
PhysioNet,WESAD,none,mmd,0.599,0.0463,0.5693,0.0449,0.6101,0.0531
PhysioNet,WESAD,none,dann,0.6803,0.0283,0.67,0.0367,0.7367,0.0381
PhysioNet,WESAD,none,subject_dann,0.632,0.0601,0.6163,0.0775,0.6731,0.0808
WESAD,PhysioNet,subject_zscore,source_only,0.5435,0.0069,0.4508,0.0075,0.6404,0.0088
WESAD,PhysioNet,subject_zscore,finetune_k5 (uses target labels),0.8514,0.0639,0.5638,0.0537,0.9345,0.0682
WESAD,PhysioNet,subject_zscore,coral,0.5425,0.0051,0.4538,0.0058,0.6423,0.0085
WESAD,PhysioNet,subject_zscore,mmd,0.5615,0.0109,0.5228,0.0122,0.6124,0.015
WESAD,PhysioNet,subject_zscore,dann,0.5544,0.0081,0.4764,0.0104,0.632,0.0091
WESAD,PhysioNet,subject_zscore,subject_dann,0.5492,0.0167,0.4587,0.0531,0.6266,0.0337
PhysioNet,WESAD,subject_zscore,source_only,0.7059,0.0227,0.6226,0.0307,0.893,0.0265
PhysioNet,WESAD,subject_zscore,finetune_k5 (uses target labels),0.9485,0.0081,0.9318,0.0104,0.9879,0.0048
PhysioNet,WESAD,subject_zscore,coral,0.6985,0.0231,0.6152,0.0312,0.8665,0.0348
PhysioNet,WESAD,subject_zscore,mmd,0.7153,0.0507,0.6818,0.0397,0.7698,0.047
PhysioNet,WESAD,subject_zscore,dann,0.6691,0.0824,0.6202,0.0653,0.7567,0.13
PhysioNet,WESAD,subject_zscore,subject_dann,0.5626,0.1231,0.5197,0.1019,0.6195,0.2151
