train,test,normalisation,method,seed,balanced_accuracy,macro_f1,auroc
WESAD,PhysioNet,none,source_only,0,0.6398643256185156,0.6371136173767753,0.6472466081404629
WESAD,PhysioNet,none,finetune_k5 (uses target labels),0,0.39655172413793105,0.42990654205607476,0.6206896551724138
WESAD,PhysioNet,none,coral,0,0.6335383315337308,0.6289006518422634,0.6573635040608422
WESAD,PhysioNet,none,mmd,0,0.5941974555185203,0.5713444213444213,0.6370592929909393
WESAD,PhysioNet,none,dann,0,0.6194779587812779,0.6090317682179773,0.6289728181775502
WESAD,PhysioNet,none,subject_dann,0,0.5943382939768086,0.5869955776672194,0.634571146894512
WESAD,PhysioNet,none,source_only,1,0.6238439509882165,0.6236638537271448,0.648819304258016
WESAD,PhysioNet,none,finetune_k5 (uses target labels),1,0.7471264367816092,0.5819314641744548,0.82183908045977
WESAD,PhysioNet,none,coral,1,0.6203112529928172,0.6188632672189459,0.6587484155673442
WESAD,PhysioNet,none,mmd,1,0.6145368762029951,0.599372932547102,0.6275057509037134
WESAD,PhysioNet,none,dann,1,0.6188793953335524,0.6158418939354435,0.6332566546171541
WESAD,PhysioNet,none,subject_dann,1,0.6377400122059997,0.6334659511472983,0.6667996807661611
WESAD,PhysioNet,none,source_only,2,0.6259213182479696,0.6250875718088833,0.6417304351908361
WESAD,PhysioNet,none,finetune_k5 (uses target labels),2,0.5545977011494253,0.48739495798319327,0.7413793103448276
WESAD,PhysioNet,none,coral,2,0.640580254448148,0.6386628904409926,0.6545936810478381
WESAD,PhysioNet,none,mmd,2,0.5984226092671705,0.5795523290986087,0.6219895779540866
WESAD,PhysioNet,none,dann,2,0.5950307497300595,0.5871287128712871,0.6254166471057696
WESAD,PhysioNet,none,subject_dann,2,0.5907586498286466,0.57529532939369,0.6184451434204966
WESAD,PhysioNet,none,source_only,3,0.6315079104267405,0.6303881321142004,0.6442420543636449
WESAD,PhysioNet,none,finetune_k5 (uses target labels),3,0.49425287356321834,0.429421768707483,0.6609195402298851
WESAD,PhysioNet,none,coral,3,0.6314844373503592,0.6293333333333333,0.6527627810900896
WESAD,PhysioNet,none,mmd,3,0.594244401671283,0.5775270550310845,0.6206516126003473
WESAD,PhysioNet,none,dann,3,0.5978475188958265,0.5914780323636532,0.6257217970987279
WESAD,PhysioNet,none,subject_dann,3,0.6166846626918924,0.6066037735849057,0.6510727195906294
WESAD,PhysioNet,none,source_only,4,0.6385028871883949,0.6374738168727281,0.6468358293037886
WESAD,PhysioNet,none,finetune_k5 (uses target labels),4,0.7212643678160919,0.5438034188034189,0.8850574712643677
WESAD,PhysioNet,none,coral,4,0.6279986855077226,0.6263440860215054,0.6567297309985447
WESAD,PhysioNet,none,mmd,4,0.6019553072625698,0.587413713759779,0.6269893432233229
WESAD,PhysioNet,none,dann,4,0.6146072954321393,0.6063320285516924,0.6325055161729497
WESAD,PhysioNet,none,subject_dann,4,0.6125064550960049,0.603988603988604,0.6440660062907846
WESAD,PhysioNet,none,source_only,5,0.6412961832777804,0.6401147602164583,0.6499460119243228
WESAD,PhysioNet,none,finetune_k5 (uses target labels),5,0.6954022988505747,0.5110796793965111,0.8505747126436782
WESAD,PhysioNet,none,coral,5,0.6489601427163044,0.6464624175415776,0.6607553635979532
WESAD,PhysioNet,none,mmd,5,0.600523449603305,0.5820391705069123,0.636848035303507
WESAD,PhysioNet,none,dann,5,0.6096662128538566,0.59711998527788,0.6310267123609221
WESAD,PhysioNet,none,subject_dann,5,0.6173771184451434,0.6066580775778769,0.6139383127552697
WESAD,PhysioNet,none,source_only,6,0.6364255199286419,0.6361235234520037,0.6510609830524389
WESAD,PhysioNet,none,finetune_k5 (uses target labels),6,0.6781609195402298,0.49099692577953447,0.7586206896551725
WESAD,PhysioNet,none,coral,6,0.6300995258438571,0.6285737572261065,0.6597929674663161
WESAD,PhysioNet,none,mmd,6,0.6103117224543448,0.591647465437788,0.6261912586263555
WESAD,PhysioNet,none,dann,6,0.6097131590066194,0.6015311996315911,0.6266020374630299
WESAD,PhysioNet,none,subject_dann,6,0.6244894605887048,0.6222475146334665,0.6611896155110089
WESAD,PhysioNet,none,source_only,7,0.6461903197033003,0.6449780742675872,0.6462255293178722
WESAD,PhysioNet,none,finetune_k5 (uses target labels),7,0.5373563218390804,0.4701073071027082,0.7471264367816093
WESAD,PhysioNet,none,coral,7,0.6286911412609737,0.6267263427109975,0.6623632693300783
WESAD,PhysioNet,none,mmd,7,0.6040092014459415,0.584175365585138,0.6287732970283085
WESAD,PhysioNet,none,dann,7,0.6229871837002958,0.6136867120473678,0.6305337777569129
WESAD,PhysioNet,none,subject_dann,7,0.6098305243885264,0.6087245388582918,0.6434439697666776
WESAD,PhysioNet,none,source_only,8,0.6266137740012205,0.6255248180630715,0.6533965541523872
WESAD,PhysioNet,none,finetune_k5 (uses target labels),8,0.7040229885057472,0.5215686274509804,0.764367816091954
WESAD,PhysioNet,none,coral,8,0.6195953241631849,0.6174045340518443,0.66492183465565
WESAD,PhysioNet,none,mmd,8,0.5970376977606685,0.579862170611366,0.6339608469085958
WESAD,PhysioNet,none,dann,8,0.603410637998216,0.594491020720529,0.6354279141824328
WESAD,PhysioNet,none,subject_dann,8,0.629911741232806,0.6136867120473678,0.6769635228393034
