features,test_dataset,trained_on,balanced_accuracy,auroc,screen
hr_hrv_eda,WESAD,within_dataset,0.916,0.977,none
hr_hrv_eda,WESAD,other_datasets_only,0.884,0.969,none
hr_hrv_eda,WESAD,all_datasets,0.921,0.979,none
hr_hrv_eda,PhysioNet,within_dataset,0.776,0.854,none
hr_hrv_eda,PhysioNet,other_datasets_only,0.746,0.811,none
hr_hrv_eda,PhysioNet,all_datasets,0.783,0.854,none
hr_hrv_eda,Stress-Predict,within_dataset,0.697,0.768,none
hr_hrv_eda,Stress-Predict,other_datasets_only,0.646,0.702,none
hr_hrv_eda,Stress-Predict,all_datasets,0.689,0.748,none
hr_hrv_eda,UBFC-Phys,within_dataset,0.877,0.952,none
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.837,0.904,none
hr_hrv_eda,UBFC-Phys,all_datasets,0.839,0.922,none
hr_hrv_eda,Campanella2024,within_dataset,0.882,0.95,none
hr_hrv_eda,Campanella2024,other_datasets_only,0.867,0.919,none
hr_hrv_eda,Campanella2024,all_datasets,0.895,0.934,none
hr_hrv_only,WESAD,within_dataset,0.84,0.885,none
hr_hrv_only,WESAD,other_datasets_only,0.78,0.788,none
hr_hrv_only,WESAD,all_datasets,0.814,0.844,none
hr_hrv_only,PhysioNet,within_dataset,0.771,0.847,none
hr_hrv_only,PhysioNet,other_datasets_only,0.748,0.833,none
hr_hrv_only,PhysioNet,all_datasets,0.769,0.851,none
hr_hrv_only,Stress-Predict,within_dataset,0.583,0.636,none
hr_hrv_only,Stress-Predict,other_datasets_only,0.559,0.59,none
hr_hrv_only,Stress-Predict,all_datasets,0.572,0.615,none
hr_hrv_only,UBFC-Phys,within_dataset,0.727,0.723,none
hr_hrv_only,UBFC-Phys,other_datasets_only,0.711,0.757,none
hr_hrv_only,UBFC-Phys,all_datasets,0.726,0.767,none
hr_hrv_only,Campanella2024,within_dataset,0.478,0.53,none
hr_hrv_only,Campanella2024,other_datasets_only,0.501,0.529,none
hr_hrv_only,Campanella2024,all_datasets,0.501,0.538,none
hr_hrv_eda,WESAD,within_dataset,0.916,0.978,kleckner
hr_hrv_eda,WESAD,other_datasets_only,0.889,0.961,kleckner
hr_hrv_eda,WESAD,all_datasets,0.913,0.976,kleckner
hr_hrv_eda,PhysioNet,within_dataset,0.789,0.874,kleckner
hr_hrv_eda,PhysioNet,other_datasets_only,0.757,0.815,kleckner
hr_hrv_eda,PhysioNet,all_datasets,0.784,0.86,kleckner
hr_hrv_eda,Stress-Predict,within_dataset,0.727,0.786,kleckner
hr_hrv_eda,Stress-Predict,other_datasets_only,0.651,0.704,kleckner
hr_hrv_eda,Stress-Predict,all_datasets,0.694,0.758,kleckner
hr_hrv_eda,UBFC-Phys,within_dataset,0.892,0.938,kleckner
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.816,0.914,kleckner
hr_hrv_eda,UBFC-Phys,all_datasets,0.819,0.924,kleckner
hr_hrv_eda,Campanella2024,within_dataset,0.735,0.773,kleckner
hr_hrv_eda,Campanella2024,other_datasets_only,0.713,0.81,kleckner
hr_hrv_eda,Campanella2024,all_datasets,0.794,0.854,kleckner
hr_hrv_eda,WESAD,within_dataset,0.916,0.977,eda_rules_only
hr_hrv_eda,WESAD,other_datasets_only,0.894,0.967,eda_rules_only
hr_hrv_eda,WESAD,all_datasets,0.918,0.978,eda_rules_only
hr_hrv_eda,PhysioNet,within_dataset,0.782,0.855,eda_rules_only
hr_hrv_eda,PhysioNet,other_datasets_only,0.748,0.826,eda_rules_only
hr_hrv_eda,PhysioNet,all_datasets,0.786,0.86,eda_rules_only
hr_hrv_eda,Stress-Predict,within_dataset,0.697,0.769,eda_rules_only
hr_hrv_eda,Stress-Predict,other_datasets_only,0.65,0.704,eda_rules_only
hr_hrv_eda,Stress-Predict,all_datasets,0.688,0.748,eda_rules_only
hr_hrv_eda,UBFC-Phys,within_dataset,0.892,0.938,eda_rules_only
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.802,0.917,eda_rules_only
hr_hrv_eda,UBFC-Phys,all_datasets,0.819,0.929,eda_rules_only
hr_hrv_eda,Campanella2024,within_dataset,0.877,0.946,eda_rules_only
hr_hrv_eda,Campanella2024,other_datasets_only,0.797,0.89,eda_rules_only
hr_hrv_eda,Campanella2024,all_datasets,0.873,0.92,eda_rules_only
hr_hrv_eda,WESAD,within_dataset,0.848,0.937,kleckner_or_flat
hr_hrv_eda,WESAD,other_datasets_only,0.846,0.927,kleckner_or_flat
hr_hrv_eda,WESAD,all_datasets,0.885,0.952,kleckner_or_flat
hr_hrv_eda,PhysioNet,within_dataset,0.804,0.885,kleckner_or_flat
hr_hrv_eda,PhysioNet,other_datasets_only,0.761,0.807,kleckner_or_flat
hr_hrv_eda,PhysioNet,all_datasets,0.801,0.868,kleckner_or_flat
hr_hrv_eda,Stress-Predict,within_dataset,0.733,0.775,kleckner_or_flat
hr_hrv_eda,Stress-Predict,other_datasets_only,0.656,0.711,kleckner_or_flat
hr_hrv_eda,Stress-Predict,all_datasets,0.7,0.75,kleckner_or_flat
hr_hrv_eda,UBFC-Phys,within_dataset,0.583,0.734,kleckner_or_flat
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.687,0.809,kleckner_or_flat
hr_hrv_eda,UBFC-Phys,all_datasets,0.7,0.808,kleckner_or_flat
hr_hrv_eda,Campanella2024,within_dataset,0.762,0.787,kleckner_or_flat
hr_hrv_eda,Campanella2024,other_datasets_only,0.818,0.857,kleckner_or_flat
hr_hrv_eda,Campanella2024,all_datasets,0.839,0.859,kleckner_or_flat
