score,probe,n_pair,auc_probe,auc_ref,delta_ref,delta_lo,delta_hi,screen
external,exercise,3817,0.759,0.584,0.175,0.072,0.249,none
external,Hyperventilation,904,0.523,0.584,-0.061,-0.144,0.02,none
external,UBFC Control task,190,0.577,0.584,-0.007,-0.102,0.089,none
external,Campanella Manual task,769,0.355,0.584,-0.229,-0.343,-0.032,none
external,EPM Fear,2000,0.633,0.584,0.049,-0.004,0.094,none
external,EPM Anger,1639,0.39,0.584,-0.194,-0.272,-0.068,none
cond3_added_negative,exercise,3817,0.892,0.709,0.183,0.129,0.231,none
cond3_added_negative,Hyperventilation,904,0.56,0.724,-0.164,-0.27,-0.067,none
cond3_added_negative,UBFC Control task,190,0.568,0.723,-0.155,-0.259,-0.04,none
cond3_added_negative,Campanella Manual task,769,0.496,0.714,-0.218,-0.283,-0.014,none
cond3_added_negative,EPM Fear,2000,0.779,0.724,0.054,0.015,0.097,none
cond3_added_negative,EPM Anger,1639,0.431,0.723,-0.292,-0.379,-0.117,none
external,exercise,2814,0.677,0.597,0.08,-0.023,0.17,kleckner
external,Hyperventilation,678,0.508,0.597,-0.089,-0.219,0.015,kleckner
external,UBFC Control task,176,0.62,0.597,0.023,-0.074,0.126,kleckner
external,Campanella Manual task,442,0.411,0.597,-0.186,-0.325,-0.041,kleckner
external,EPM Fear,1688,0.638,0.597,0.041,-0.012,0.097,kleckner
external,EPM Anger,1383,0.47,0.597,-0.127,-0.235,0.015,kleckner
cond3_added_negative,exercise,2814,0.865,0.726,0.139,0.092,0.195,kleckner
cond3_added_negative,Hyperventilation,678,0.585,0.744,-0.16,-0.301,-0.04,kleckner
cond3_added_negative,UBFC Control task,176,0.613,0.744,-0.132,-0.216,-0.031,kleckner
cond3_added_negative,Campanella Manual task,442,0.445,0.74,-0.295,-0.419,-0.165,kleckner
cond3_added_negative,EPM Fear,1688,0.769,0.744,0.025,-0.025,0.072,kleckner
cond3_added_negative,EPM Anger,1383,0.553,0.743,-0.191,-0.332,-0.027,kleckner
external,exercise,3532,0.707,0.589,0.119,0.032,0.192,eda_rules_only
external,Hyperventilation,889,0.539,0.589,-0.05,-0.137,0.033,eda_rules_only
external,UBFC Control task,176,0.605,0.589,0.016,-0.089,0.128,eda_rules_only
external,Campanella Manual task,745,0.315,0.589,-0.273,-0.374,-0.108,eda_rules_only
external,EPM Fear,1977,0.619,0.589,0.031,-0.017,0.081,eda_rules_only
external,EPM Anger,1619,0.416,0.589,-0.173,-0.262,-0.024,eda_rules_only
cond3_added_negative,exercise,3532,0.845,0.716,0.129,0.065,0.19,eda_rules_only
cond3_added_negative,Hyperventilation,889,0.586,0.73,-0.143,-0.247,-0.041,eda_rules_only
cond3_added_negative,UBFC Control task,176,0.599,0.729,-0.131,-0.237,-0.015,eda_rules_only
cond3_added_negative,Campanella Manual task,745,0.461,0.723,-0.262,-0.34,-0.054,eda_rules_only
cond3_added_negative,EPM Fear,1977,0.771,0.733,0.038,-0.003,0.082,eda_rules_only
cond3_added_negative,EPM Anger,1619,0.477,0.73,-0.253,-0.341,-0.069,eda_rules_only
external,exercise,2517,0.661,0.628,0.032,-0.074,0.121,kleckner_or_flat
external,Hyperventilation,470,0.553,0.628,-0.075,-0.222,0.141,kleckner_or_flat
external,UBFC Control task,132,0.582,0.628,-0.046,-0.217,0.096,kleckner_or_flat
external,Campanella Manual task,391,0.46,0.628,-0.168,-0.294,-0.03,kleckner_or_flat
external,EPM Fear,1293,0.685,0.628,0.057,-0.004,0.113,kleckner_or_flat
external,EPM Anger,1070,0.484,0.628,-0.144,-0.283,0.013,kleckner_or_flat
cond3_added_negative,exercise,2425,0.908,0.726,0.182,0.141,0.225,kleckner_or_flat
cond3_added_negative,Hyperventilation,470,0.56,0.74,-0.179,-0.33,-0.028,kleckner_or_flat
cond3_added_negative,UBFC Control task,123,0.597,0.74,-0.142,-0.345,-0.013,kleckner_or_flat
cond3_added_negative,Campanella Manual task,391,0.478,0.737,-0.259,-0.357,-0.14,kleckner_or_flat
cond3_added_negative,EPM Fear,1279,0.771,0.741,0.03,-0.03,0.078,kleckner_or_flat
cond3_added_negative,EPM Anger,1056,0.537,0.741,-0.205,-0.37,-0.04,kleckner_or_flat
