dataset,harmonized_label,n,any_r1,any_r2,any_r3,temp_available,reject_kleckner,reject_eda_rules,flat,reject_or_flat
Campanella2024,Baseline,116,0.052,0.0,0.517,1.0,0.526,0.052,0.474,0.707
Campanella2024,Manual task,667,0.036,0.0,0.435,1.0,0.441,0.036,0.112,0.495
Campanella2024,Stress,102,0.0,0.0,0.324,1.0,0.324,0.0,0.216,0.471
EPM-E4,Anger,33,0.0,0.0,0.121,1.0,0.121,0.0,0.303,0.364
EPM-E4,Fear,394,0.008,0.0,0.145,1.0,0.152,0.008,0.259,0.378
EPM-E4,Happiness,297,0.03,0.0,0.118,1.0,0.148,0.03,0.31,0.337
EPM-E4,Sadness,131,0.031,0.0,0.137,1.0,0.168,0.031,0.282,0.366
PhysioNet,Aerobic,2143,0.075,0.0,0.138,1.0,0.189,0.063,0.098,0.261
PhysioNet,Anaerobic,1620,0.107,0.0,0.233,1.0,0.303,0.094,0.043,0.323
PhysioNet,Baseline,174,0.011,0.0,0.08,0.971,0.092,0.011,0.414,0.425
PhysioNet,Rest,1193,0.012,0.0,0.075,0.954,0.081,0.012,0.356,0.407
PhysioNet,Stress,232,0.0,0.0,0.034,0.97,0.034,0.0,0.254,0.28
Stress-Predict,Baseline,616,0.065,0.0,0.295,1.0,0.336,0.055,0.442,0.653
Stress-Predict,Hyperventilation,53,0.0,0.0,0.415,1.0,0.415,0.0,0.302,0.585
Stress-Predict,Rest,1079,0.033,0.0,0.286,1.0,0.304,0.033,0.285,0.499
Stress-Predict,Stress,851,0.019,0.0,0.235,1.0,0.24,0.018,0.315,0.474
UBFC-Phys,Baseline,95,0.053,0.0,0.0,0.0,0.053,0.053,0.789,0.789
UBFC-Phys,Control task,80,0.112,0.0,0.0,0.0,0.112,0.112,0.388,0.45
UBFC-Phys,Stress,110,0.045,0.0,0.0,0.0,0.045,0.045,0.145,0.191
WESAD,Amusement,165,0.0,0.0,0.036,1.0,0.036,0.0,0.527,0.533
WESAD,Baseline,566,0.0,0.0,0.08,1.0,0.078,0.0,0.502,0.509
WESAD,Meditation,356,0.0,0.0,0.126,1.0,0.126,0.0,0.635,0.669
WESAD,Stress,311,0.0,0.0,0.006,1.0,0.006,0.0,0.058,0.064
