probe_class,condition,n_subjects,n_windows,false_stress,lo,hi,screen,features
Campanella2024 Manual task,external,29,667,0.427,0.381,0.48,none,hr_hrv_eda
Campanella2024 Manual task,added_negative,29,667,0.324,0.273,0.376,none,hr_hrv_eda
UBFC-Phys Control task,external,8,80,0.55,0.45,0.65,none,hr_hrv_eda
UBFC-Phys Control task,added_negative,8,80,0.525,0.437,0.625,none,hr_hrv_eda
Stress-Predict Hyperventilation,external,31,53,0.415,0.255,0.586,none,hr_hrv_eda
Stress-Predict Hyperventilation,added_negative,31,53,0.547,0.37,0.714,none,hr_hrv_eda
PhysioNet Aerobic,external,30,2143,0.692,0.588,0.798,none,hr_hrv_eda
PhysioNet Aerobic,added_negative,30,2143,0.083,0.043,0.122,none,hr_hrv_eda
PhysioNet Anaerobic,external,31,1620,0.695,0.59,0.795,none,hr_hrv_eda
PhysioNet Anaerobic,added_negative,31,1620,0.071,0.039,0.108,none,hr_hrv_eda
EPM-E4 Anger,external,33,33,0.424,0.273,0.576,none,hr_hrv_eda
EPM-E4 Anger,added_negative,33,33,0.273,0.121,0.455,none,hr_hrv_eda
EPM-E4 Fear,external,33,394,0.353,0.257,0.452,none,hr_hrv_eda
EPM-E4 Fear,added_negative,33,394,0.244,0.163,0.333,none,hr_hrv_eda
EPM-E4 Happiness,external,33,297,0.236,0.145,0.347,none,hr_hrv_eda
EPM-E4 Happiness,added_negative,33,297,0.172,0.084,0.259,none,hr_hrv_eda
EPM-E4 Sadness,external,33,131,0.374,0.265,0.496,none,hr_hrv_eda
EPM-E4 Sadness,added_negative,33,131,0.313,0.214,0.417,none,hr_hrv_eda
WESAD Stress (recall),external,15,311,0.907,0.831,0.968,none,hr_hrv_eda
PhysioNet Stress (recall),external,35,232,0.767,0.664,0.85,none,hr_hrv_eda
Stress-Predict Stress (recall),external,33,851,0.529,0.458,0.604,none,hr_hrv_eda
UBFC-Phys Stress (recall),external,11,110,0.7,0.609,0.8,none,hr_hrv_eda
Campanella2024 Stress (recall),external,29,102,0.863,0.762,0.948,none,hr_hrv_eda
Campanella2024 Manual task,external,29,667,0.784,0.742,0.826,none,hr_hrv_only
Campanella2024 Manual task,added_negative,29,667,0.784,0.744,0.823,none,hr_hrv_only
UBFC-Phys Control task,external,8,80,0.538,0.4,0.675,none,hr_hrv_only
UBFC-Phys Control task,added_negative,8,80,0.55,0.412,0.675,none,hr_hrv_only
Stress-Predict Hyperventilation,external,31,53,0.547,0.367,0.717,none,hr_hrv_only
Stress-Predict Hyperventilation,added_negative,31,53,0.585,0.412,0.765,none,hr_hrv_only
PhysioNet Aerobic,external,30,2143,0.957,0.936,0.976,none,hr_hrv_only
PhysioNet Aerobic,added_negative,30,2143,0.446,0.353,0.548,none,hr_hrv_only
PhysioNet Anaerobic,external,31,1620,0.97,0.952,0.989,none,hr_hrv_only
PhysioNet Anaerobic,added_negative,31,1620,0.45,0.342,0.574,none,hr_hrv_only
EPM-E4 Anger,external,33,33,0.303,0.152,0.485,none,hr_hrv_only
EPM-E4 Anger,added_negative,33,33,0.303,0.152,0.455,none,hr_hrv_only
EPM-E4 Fear,external,33,394,0.358,0.263,0.448,none,hr_hrv_only
EPM-E4 Fear,added_negative,33,394,0.287,0.208,0.371,none,hr_hrv_only
EPM-E4 Happiness,external,33,297,0.316,0.215,0.421,none,hr_hrv_only
EPM-E4 Happiness,added_negative,33,297,0.246,0.165,0.34,none,hr_hrv_only
EPM-E4 Sadness,external,33,131,0.305,0.205,0.412,none,hr_hrv_only
EPM-E4 Sadness,added_negative,33,131,0.26,0.167,0.369,none,hr_hrv_only
WESAD Stress (recall),external,15,311,0.9,0.841,0.948,none,hr_hrv_only
PhysioNet Stress (recall),external,35,232,0.763,0.686,0.843,none,hr_hrv_only
Stress-Predict Stress (recall),external,33,851,0.617,0.532,0.701,none,hr_hrv_only
UBFC-Phys Stress (recall),external,11,110,0.691,0.555,0.836,none,hr_hrv_only
Campanella2024 Stress (recall),external,29,102,0.627,0.48,0.772,none,hr_hrv_only
Campanella2024 Manual task,external,20,373,0.399,0.331,0.472,kleckner,hr_hrv_eda
Campanella2024 Manual task,added_negative,20,373,0.373,0.305,0.454,kleckner,hr_hrv_eda
UBFC-Phys Control task,external,8,71,0.507,0.415,0.597,kleckner,hr_hrv_eda
UBFC-Phys Control task,added_negative,8,71,0.563,0.444,0.676,kleckner,hr_hrv_eda
Stress-Predict Hyperventilation,external,20,31,0.548,0.323,0.75,kleckner,hr_hrv_eda
Stress-Predict Hyperventilation,added_negative,20,31,0.581,0.4,0.808,kleckner,hr_hrv_eda
PhysioNet Aerobic,external,27,1737,0.638,0.498,0.785,kleckner,hr_hrv_eda
PhysioNet Aerobic,added_negative,27,1737,0.071,0.037,0.112,kleckner,hr_hrv_eda
PhysioNet Anaerobic,external,29,1129,0.65,0.49,0.794,kleckner,hr_hrv_eda
PhysioNet Anaerobic,added_negative,29,1129,0.073,0.036,0.117,kleckner,hr_hrv_eda
EPM-E4 Anger,external,29,29,0.345,0.172,0.517,kleckner,hr_hrv_eda
EPM-E4 Anger,added_negative,29,29,0.276,0.137,0.448,kleckner,hr_hrv_eda
EPM-E4 Fear,external,29,334,0.338,0.231,0.457,kleckner,hr_hrv_eda
EPM-E4 Fear,added_negative,29,334,0.26,0.175,0.356,kleckner,hr_hrv_eda
EPM-E4 Happiness,external,29,253,0.285,0.172,0.406,kleckner,hr_hrv_eda
EPM-E4 Happiness,added_negative,29,253,0.209,0.118,0.329,kleckner,hr_hrv_eda
EPM-E4 Sadness,external,28,109,0.358,0.238,0.481,kleckner,hr_hrv_eda
EPM-E4 Sadness,added_negative,28,109,0.312,0.193,0.43,kleckner,hr_hrv_eda
WESAD Stress (recall),external,15,309,0.913,0.824,0.984,kleckner,hr_hrv_eda
PhysioNet Stress (recall),external,34,224,0.781,0.687,0.861,kleckner,hr_hrv_eda
Stress-Predict Stress (recall),external,28,647,0.536,0.461,0.61,kleckner,hr_hrv_eda
UBFC-Phys Stress (recall),external,11,105,0.752,0.663,0.838,kleckner,hr_hrv_eda
Campanella2024 Stress (recall),external,20,69,0.783,0.696,0.862,kleckner,hr_hrv_eda
Campanella2024 Manual task,external,29,643,0.425,0.379,0.476,eda_rules_only,hr_hrv_eda
Campanella2024 Manual task,added_negative,29,643,0.322,0.273,0.373,eda_rules_only,hr_hrv_eda
UBFC-Phys Control task,external,8,71,0.493,0.397,0.577,eda_rules_only,hr_hrv_eda
UBFC-Phys Control task,added_negative,8,71,0.493,0.4,0.566,eda_rules_only,hr_hrv_eda
Stress-Predict Hyperventilation,external,31,53,0.415,0.255,0.587,eda_rules_only,hr_hrv_eda
Stress-Predict Hyperventilation,added_negative,31,53,0.491,0.327,0.661,eda_rules_only,hr_hrv_eda
PhysioNet Aerobic,external,30,2008,0.713,0.6,0.82,eda_rules_only,hr_hrv_eda
PhysioNet Aerobic,added_negative,30,2008,0.083,0.042,0.123,eda_rules_only,hr_hrv_eda
PhysioNet Anaerobic,external,31,1468,0.74,0.642,0.837,eda_rules_only,hr_hrv_eda
PhysioNet Anaerobic,added_negative,31,1468,0.077,0.043,0.116,eda_rules_only,hr_hrv_eda
EPM-E4 Anger,external,33,33,0.394,0.212,0.545,eda_rules_only,hr_hrv_eda
EPM-E4 Anger,added_negative,33,33,0.303,0.152,0.485,eda_rules_only,hr_hrv_eda
EPM-E4 Fear,external,33,391,0.322,0.229,0.42,eda_rules_only,hr_hrv_eda
EPM-E4 Fear,added_negative,33,391,0.253,0.17,0.341,eda_rules_only,hr_hrv_eda
EPM-E4 Happiness,external,32,288,0.229,0.128,0.351,eda_rules_only,hr_hrv_eda
EPM-E4 Happiness,added_negative,32,288,0.163,0.076,0.254,eda_rules_only,hr_hrv_eda
EPM-E4 Sadness,external,32,127,0.378,0.281,0.484,eda_rules_only,hr_hrv_eda
EPM-E4 Sadness,added_negative,32,127,0.315,0.203,0.441,eda_rules_only,hr_hrv_eda
WESAD Stress (recall),external,15,311,0.926,0.852,0.984,eda_rules_only,hr_hrv_eda
PhysioNet Stress (recall),external,35,232,0.75,0.65,0.839,eda_rules_only,hr_hrv_eda
Stress-Predict Stress (recall),external,33,836,0.525,0.455,0.595,eda_rules_only,hr_hrv_eda
UBFC-Phys Stress (recall),external,11,105,0.705,0.607,0.802,eda_rules_only,hr_hrv_eda
Campanella2024 Stress (recall),external,29,102,0.755,0.627,0.874,eda_rules_only,hr_hrv_eda
Campanella2024 Manual task,external,20,337,0.439,0.369,0.516,kleckner_or_flat,hr_hrv_eda
Campanella2024 Manual task,added_negative,20,337,0.368,0.285,0.458,kleckner_or_flat,hr_hrv_eda
UBFC-Phys Control task,external,6,44,0.386,0.31,0.452,kleckner_or_flat,hr_hrv_eda
UBFC-Phys Control task,added_negative,6,44,0.409,0.303,0.477,kleckner_or_flat,hr_hrv_eda
Stress-Predict Hyperventilation,external,13,22,0.727,0.476,0.95,kleckner_or_flat,hr_hrv_eda
Stress-Predict Hyperventilation,added_negative,13,22,0.636,0.35,0.917,kleckner_or_flat,hr_hrv_eda
PhysioNet Aerobic,external,27,1584,0.822,0.724,0.907,kleckner_or_flat,hr_hrv_eda
PhysioNet Aerobic,added_negative,27,1584,0.069,0.028,0.112,kleckner_or_flat,hr_hrv_eda
PhysioNet Anaerobic,external,29,1097,0.806,0.68,0.908,kleckner_or_flat,hr_hrv_eda
PhysioNet Anaerobic,added_negative,29,1097,0.053,0.024,0.085,kleckner_or_flat,hr_hrv_eda
EPM-E4 Anger,external,21,21,0.524,0.333,0.715,kleckner_or_flat,hr_hrv_eda
EPM-E4 Anger,added_negative,21,21,0.286,0.095,0.476,kleckner_or_flat,hr_hrv_eda
EPM-E4 Fear,external,24,245,0.322,0.203,0.45,kleckner_or_flat,hr_hrv_eda
EPM-E4 Fear,added_negative,24,245,0.233,0.135,0.326,kleckner_or_flat,hr_hrv_eda
EPM-E4 Happiness,external,26,197,0.315,0.199,0.454,kleckner_or_flat,hr_hrv_eda
EPM-E4 Happiness,added_negative,26,197,0.244,0.129,0.37,kleckner_or_flat,hr_hrv_eda
EPM-E4 Sadness,external,22,83,0.398,0.259,0.541,kleckner_or_flat,hr_hrv_eda
EPM-E4 Sadness,added_negative,22,83,0.265,0.141,0.388,kleckner_or_flat,hr_hrv_eda
WESAD Stress (recall),external,15,291,0.766,0.672,0.86,kleckner_or_flat,hr_hrv_eda
PhysioNet Stress (recall),external,31,167,0.82,0.696,0.904,kleckner_or_flat,hr_hrv_eda
Stress-Predict Stress (recall),external,27,448,0.616,0.55,0.688,kleckner_or_flat,hr_hrv_eda
UBFC-Phys Stress (recall),external,11,89,0.573,0.462,0.702,kleckner_or_flat,hr_hrv_eda
Campanella2024 Stress (recall),external,17,54,0.815,0.712,0.917,kleckner_or_flat,hr_hrv_eda
