dataset,subject_id,subject_uid,harmonized_label,timestamp_start,temp_available,r1_range,r2_slope,r3_temp,invalid_frac,invalid_frac_eda_rules,raw_eda_range,raw_eda_mean
Campanella2024,subject_01,Campanella2024:subject_01,Baseline,15.0,True,0.0,0.0,0.0,0.0,0.0,0.8008320000000002,2.581845758333333
Campanella2024,subject_01,Campanella2024:subject_01,Baseline,45.0,True,0.0,0.0,0.0,0.0,0.0,0.4548730000000001,2.6138471416666667
Campanella2024,subject_01,Campanella2024:subject_01,Baseline,75.0,True,0.0,0.0,0.0,0.0,0.0,0.5548159999999998,2.5317832375
Campanella2024,subject_01,Campanella2024:subject_01,Baseline,105.0,True,0.0,0.0,0.0,0.0,0.0,0.4792170000000002,2.3784612791666664
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,240.0,True,0.0,0.0,0.0,0.0,0.0,1.6292280000000003,3.2701651249999997
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,270.0,True,0.0,0.0,0.0,0.0,0.0,1.2751480000000002,3.651854475
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,300.0,True,0.0,0.0,0.0,0.0,0.0,1.6013860000000002,4.120191229166667
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,330.0,True,0.0,0.0,0.0,0.0,0.0,1.5805249999999997,4.634967416666667
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,360.0,True,0.0,0.0,0.0,0.0,0.0,1.50671,4.8994864666666675
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,390.0,True,0.0,0.0,0.0,0.0,0.0,1.6630320000000003,5.091533129166667
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,420.0,True,0.0,0.0,0.0,0.0,0.0,1.898295,5.075835775
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,450.0,True,0.0,0.0,0.0,0.0,0.0,2.012334,5.153520970833333
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,480.0,True,0.0,0.0,0.0,0.0,0.0,1.188593,5.516354954166667
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,510.0,True,0.0,0.0,0.0,0.0,0.0,1.5224020000000005,5.726374545833333
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,540.0,True,0.0,0.0,0.0,0.0,0.0,1.5224020000000005,5.740856654166666
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,570.0,True,0.0,0.0,0.0,0.0,0.0,1.230258,5.568132129166666
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,600.0,True,0.0,0.0,0.0,0.0,0.0,1.6584059999999994,5.461044120833333
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,630.0,True,0.0,0.0,0.0,0.0,0.0,1.7173470000000002,5.606552191666666
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,660.0,True,0.0,0.0,0.0,0.0,0.0,1.3039120000000004,5.742827574999999
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,960.0,True,0.0,0.0,0.0,0.0,0.0,1.0079720000000005,5.189922929166666
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,990.0,True,0.0,0.0,0.0,0.0,0.0,0.9426240000000004,5.180814262499999
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,1020.0,True,0.0,0.0,0.0,0.0,0.0,1.0746010000000004,5.2515907375
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,1050.0,True,0.0,0.0,0.0,0.0,0.0,0.8533660000000003,5.308851641666666
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,1080.0,True,0.0,0.0,0.0,0.0,0.0,1.3372739999999999,5.051673541666668
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,1110.0,True,0.0,0.0,0.0,0.0,0.0,1.2988339999999994,4.862835008333334
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,1380.0,True,0.0,0.0,0.0,0.0,0.0,1.4263019999999997,5.80285205
Campanella2024,subject_01,Campanella2024:subject_01,Manual task,1410.0,True,0.0,0.0,0.0,0.0,0.0,1.8845830000000001,5.756122337500001
Campanella2024,subject_01,Campanella2024:subject_01,Stress,1650.0,True,0.0,0.0,0.0,0.0,0.0,1.626175,6.521357908333333
Campanella2024,subject_01,Campanella2024:subject_01,Stress,1680.0,True,0.0,0.0,0.0,0.0,0.0,1.7768349999999993,7.291366204166667
Campanella2024,subject_01,Campanella2024:subject_01,Stress,1710.0,True,0.0,0.0,0.0,0.0,0.0,2.060519,7.993478066666667
Campanella2024,subject_01,Campanella2024:subject_01,Stress,1740.0,True,0.0,0.0,0.0,0.0,0.0,2.0359609999999995,8.303931720833333
Campanella2024,subject_02,Campanella2024:subject_02,Baseline,15.0,True,0.0,0.0,0.0,0.0,0.0,0.023063,0.13964594166666666
Campanella2024,subject_02,Campanella2024:subject_02,Baseline,45.0,True,0.0,0.0,0.0,0.0,0.0,0.034594,0.13997695
Campanella2024,subject_02,Campanella2024:subject_02,Baseline,75.0,True,0.0,0.0,0.0,0.0,0.0,0.030749999999999986,0.13943775833333336
Campanella2024,subject_02,Campanella2024:subject_02,Baseline,105.0,True,0.0,0.0,0.0,0.0,0.0,0.014094000000000023,0.14252340416666667
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,240.0,True,0.0,0.0,0.0,0.0,0.0,0.055094000000000004,0.14803281250000003
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,270.0,True,0.0,0.0,0.0,0.0,0.0,0.046125,0.15533062916666668
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,300.0,True,0.0,0.0,0.0,0.0,0.0,0.062781,0.15404939583333335
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,330.0,True,0.0,0.0,0.0,0.0,0.0,0.06534400000000001,0.15369702500000001
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,360.0,True,0.0,0.0,0.0,0.0,0.0,0.047407000000000005,0.15665459166666668
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,390.0,True,0.0,0.0,0.0,0.0,0.0,0.034593999999999986,0.15835225416666668
Campanella2024,subject_02,Campanella2024:subject_02,Manual task,420.0,True,0.0,0.0,0.0,0.0,0.0,0.090969,0.16295948333333332
