dataset,k,subjects,query_windows,query_stress,method,balanced_accuracy,auroc_pooled,diff_lo,diff_hi,p_boot,p_holm
Campanella2024,1,29,49,20,source_only,0.653,0.716,,,,
Campanella2024,1,29,49,20,threshold,0.756,0.74,-0.004,0.212,0.061,1.0
Campanella2024,1,29,49,20,refit,0.787,0.816,0.045,0.229,0.003,0.105
Campanella2024,1,29,49,20,support_only,0.541,0.541,-0.272,0.05,0.176,1.0
PhysioNet,1,35,1405,143,source_only,0.741,0.806,,,,
PhysioNet,1,35,1405,143,threshold,0.704,0.787,-0.066,-0.01,0.007,0.217
PhysioNet,1,35,1405,143,refit,0.762,0.824,-0.02,0.059,0.289,1.0
PhysioNet,1,35,1405,143,support_only,0.571,0.588,-0.252,-0.077,0.0,0.0
PhysioNet,2,35,1336,125,source_only,0.743,0.809,,,,
PhysioNet,2,35,1336,125,threshold,0.724,0.801,-0.055,0.014,0.283,1.0
PhysioNet,2,35,1336,125,refit,0.767,0.836,-0.026,0.074,0.315,1.0
PhysioNet,2,35,1336,125,support_only,0.565,0.617,-0.275,-0.075,0.002,0.076
PhysioNet,3,35,1223,60,source_only,0.738,0.841,,,,
PhysioNet,3,35,1223,60,threshold,0.761,0.85,-0.039,0.093,0.481,1.0
PhysioNet,3,35,1223,60,refit,0.755,0.848,-0.069,0.102,0.68,1.0
PhysioNet,3,35,1223,60,support_only,0.59,0.66,-0.258,-0.02,0.025,0.525
PhysioNet,5,35,1154,15,source_only,0.756,0.809,,,,
PhysioNet,5,35,1154,15,threshold,0.777,0.844,-0.187,0.145,0.7133566783391696,1.0
PhysioNet,5,35,1154,15,refit,0.699,0.768,-0.269,-0.007,0.007003501750875438,0.217
PhysioNet,5,35,1154,15,support_only,0.573,0.563,-0.339,-0.096,0.0,0.0
Stress-Predict,1,33,2310,752,source_only,0.607,0.664,,,,
Stress-Predict,1,33,2310,752,threshold,0.635,0.683,0.001,0.053,0.039,0.78
Stress-Predict,1,33,2310,752,refit,0.631,0.686,0.006,0.043,0.012,0.312
Stress-Predict,1,33,2310,752,support_only,0.527,0.512,-0.124,-0.038,0.0,0.0
Stress-Predict,2,33,2244,719,source_only,0.609,0.669,,,,
Stress-Predict,2,33,2244,719,threshold,0.641,0.69,0.008,0.056,0.006,0.198
Stress-Predict,2,33,2244,719,refit,0.634,0.696,0.008,0.041,0.003,0.105
Stress-Predict,2,33,2244,719,support_only,0.537,0.539,-0.128,-0.012,0.014,0.336
Stress-Predict,3,33,2178,686,source_only,0.615,0.676,,,,
Stress-Predict,3,33,2178,686,threshold,0.651,0.701,0.006,0.069,0.019,0.437
Stress-Predict,3,33,2178,686,refit,0.645,0.708,0.008,0.053,0.012,0.312
Stress-Predict,3,33,2178,686,support_only,0.512,0.523,-0.154,-0.052,0.0,0.0
Stress-Predict,5,33,2047,621,source_only,0.626,0.69,,,,
Stress-Predict,5,33,2047,621,threshold,0.645,0.715,-0.013,0.054,0.261,1.0
Stress-Predict,5,33,2047,621,refit,0.655,0.725,0.009,0.05,0.007,0.217
Stress-Predict,5,33,2047,621,support_only,0.529,0.542,-0.152,-0.045,0.0,0.0
UBFC-Phys,1,11,99,77,source_only,0.597,0.685,,,,
UBFC-Phys,1,11,99,77,threshold,0.672,0.733,-0.052,0.205,0.292,1.0
UBFC-Phys,1,11,99,77,refit,0.672,0.785,0.019,0.136,0.002,0.076
UBFC-Phys,1,11,99,77,support_only,0.808,0.88,0.127,0.295,0.0,0.0
UBFC-Phys,2,11,77,66,source_only,0.591,0.643,,,,
UBFC-Phys,2,11,77,66,threshold,0.652,0.696,-0.053,0.182,0.369,1.0
UBFC-Phys,2,11,77,66,refit,0.644,0.763,0.0,0.144,0.227,1.0
UBFC-Phys,2,11,77,66,support_only,0.75,0.843,-0.038,0.334,0.138,1.0
UBFC-Phys,3,11,55,55,not evaluable (one class in query),,,,,,
UBFC-Phys,5,11,55,55,not evaluable (one class in query),,,,,,
WESAD,1,15,1304,266,source_only,0.776,0.87,,,,
WESAD,1,15,1304,266,threshold,0.74,0.834,-0.065,-0.01,0.007,0.217
WESAD,1,15,1304,266,refit,0.797,0.889,0.003,0.044,0.023,0.506
WESAD,1,15,1304,266,support_only,0.523,0.483,-0.405,-0.099,0.001,0.039
WESAD,2,15,1275,251,source_only,0.769,0.863,,,,
WESAD,2,15,1275,251,threshold,0.746,0.841,-0.066,0.007,0.235,1.0
WESAD,2,15,1275,251,refit,0.792,0.887,-0.009,0.068,0.212,1.0
WESAD,2,15,1275,251,support_only,0.551,0.531,-0.386,-0.056,0.002,0.076
WESAD,3,15,1248,236,source_only,0.764,0.857,,,,
WESAD,3,15,1248,236,threshold,0.755,0.84,-0.026,0.004,0.212,1.0
WESAD,3,15,1248,236,refit,0.807,0.895,0.01,0.084,0.006,0.198
WESAD,3,15,1248,236,support_only,0.656,0.682,-0.272,0.051,0.193,1.0
WESAD,5,15,1185,205,source_only,0.746,0.838,,,,
WESAD,5,15,1185,205,threshold,0.741,0.827,-0.025,0.013,0.679,1.0
WESAD,5,15,1185,205,refit,0.789,0.882,0.012,0.079,0.009,0.243
WESAD,5,15,1185,205,support_only,0.715,0.722,-0.187,0.102,0.699,1.0
