dataset,k,subjects,query_windows,query_stress,method,balanced_accuracy,auroc_pooled,diff_lo,diff_hi,p_boot,p_holm
Campanella2024,1,20,24,11,source_only,0.71,0.804,,,,
Campanella2024,1,20,24,11,threshold,0.762,0.72,-0.074,0.188,0.487,1.0
Campanella2024,1,20,24,11,refit,0.801,0.874,0.0,0.222,0.233,1.0
Campanella2024,1,20,24,11,support_only,0.58,0.49,-0.423,0.168,0.414,1.0
PhysioNet,1,35,1325,116,source_only,0.713,0.803,,,,
PhysioNet,1,35,1325,116,threshold,0.713,0.787,-0.041,0.046,0.998,1.0
PhysioNet,1,35,1325,116,refit,0.737,0.825,-0.02,0.07,0.275,1.0
PhysioNet,1,35,1325,116,support_only,0.615,0.637,-0.193,0.013,0.069,1.0
PhysioNet,2,35,1121,61,source_only,0.67,0.758,,,,
PhysioNet,2,35,1121,61,threshold,0.74,0.785,0.026,0.117,0.001,0.041
PhysioNet,2,35,1121,61,refit,0.716,0.824,-0.002,0.101,0.073,1.0
PhysioNet,2,35,1121,61,support_only,0.671,0.706,-0.103,0.116,0.957,1.0
PhysioNet,3,35,951,19,source_only,0.652,0.684,,,,
PhysioNet,3,35,951,19,threshold,0.754,0.781,-0.012,0.224,0.078,1.0
PhysioNet,3,35,951,19,refit,0.682,0.692,-0.006,0.113,0.21,1.0
PhysioNet,3,35,951,19,support_only,0.568,0.566,-0.19,0.139,0.369,1.0
PhysioNet,5,35,714,1,source_only,0.923,0.989,,,,
PhysioNet,5,35,714,1,threshold,0.883,0.98,-0.072,-0.003,0.02832415420928403,0.85
PhysioNet,5,35,714,1,refit,0.928,0.999,-0.02,0.033,0.6860739575137687,1.0
PhysioNet,5,35,714,1,support_only,0.849,0.825,-0.122,-0.024,0.006294256490952006,0.22
Stress-Predict,1,33,2216,706,source_only,0.606,0.658,,,,
Stress-Predict,1,33,2216,706,threshold,0.628,0.679,-0.008,0.054,0.166,1.0
Stress-Predict,1,33,2216,706,refit,0.622,0.679,-0.002,0.034,0.08,1.0
Stress-Predict,1,33,2216,706,support_only,0.529,0.53,-0.133,-0.018,0.009,0.306
Stress-Predict,2,33,1954,573,source_only,0.61,0.658,,,,
Stress-Predict,2,33,1954,573,threshold,0.639,0.687,0.002,0.06,0.031,0.899
Stress-Predict,2,33,1954,573,refit,0.641,0.698,0.013,0.052,0.0,0.0
Stress-Predict,2,33,1954,573,support_only,0.527,0.535,-0.143,-0.02,0.006,0.216
Stress-Predict,3,33,1733,470,source_only,0.587,0.645,,,,
Stress-Predict,3,33,1733,470,threshold,0.617,0.66,-0.005,0.067,0.099,1.0
Stress-Predict,3,33,1733,470,refit,0.618,0.686,0.013,0.05,0.001,0.041
Stress-Predict,3,33,1733,470,support_only,0.527,0.527,-0.107,-0.014,0.01,0.33
Stress-Predict,5,33,1330,296,source_only,0.601,0.661,,,,
Stress-Predict,5,33,1330,296,threshold,0.632,0.696,-0.003,0.07,0.08,1.0
Stress-Predict,5,33,1330,296,refit,0.649,0.712,0.018,0.081,0.0,0.0
Stress-Predict,5,33,1330,296,support_only,0.526,0.529,-0.133,-0.013,0.018,0.576
UBFC-Phys,1,11,86,68,source_only,0.627,0.766,,,,
UBFC-Phys,1,11,86,68,threshold,0.73,0.812,0.002,0.229,0.047,1.0
UBFC-Phys,1,11,86,68,refit,0.748,0.87,0.014,0.255,0.019,0.589
UBFC-Phys,1,11,86,68,support_only,0.788,0.824,-0.019,0.334,0.088,1.0
UBFC-Phys,2,10,35,33,source_only,0.727,0.803,,,,
UBFC-Phys,2,10,35,33,threshold,0.833,0.818,-0.089,0.301,0.36698271054099274,1.0
UBFC-Phys,2,10,35,33,refit,0.788,0.909,0.0,0.125,0.06023424428332404,1.0
UBFC-Phys,2,10,35,33,support_only,0.553,0.727,-0.588,0.233,0.49079754601226994,1.0
UBFC-Phys,3,10,29,29,not evaluable (one class in query),,,,,,
UBFC-Phys,5,3,5,5,not evaluable (one class in query),,,,,,
WESAD,1,15,1253,241,source_only,0.781,0.869,,,,
WESAD,1,15,1253,241,threshold,0.764,0.845,-0.046,0.01,0.237,1.0
WESAD,1,15,1253,241,refit,0.826,0.913,0.008,0.093,0.002,0.074
WESAD,1,15,1253,241,support_only,0.619,0.596,-0.285,-0.052,0.001,0.041
WESAD,2,15,1129,180,source_only,0.795,0.884,,,,
WESAD,2,15,1129,180,threshold,0.785,0.884,-0.026,0.01,0.273,1.0
WESAD,2,15,1129,180,refit,0.848,0.944,0.019,0.095,0.0,0.0
WESAD,2,15,1129,180,support_only,0.703,0.695,-0.247,0.04,0.206,1.0
WESAD,3,15,1010,136,source_only,0.759,0.853,,,,
WESAD,3,15,1010,136,threshold,0.741,0.836,-0.045,0.009,0.19,1.0
WESAD,3,15,1010,136,refit,0.837,0.93,0.021,0.148,0.001,0.041
WESAD,3,15,1010,136,support_only,0.72,0.678,-0.174,0.104,0.572,1.0
WESAD,5,15,858,76,source_only,0.827,0.922,,,,
WESAD,5,15,858,76,threshold,0.834,0.916,-0.028,0.04,0.745,1.0
WESAD,5,15,858,76,refit,0.922,0.98,0.036,0.171,0.0,0.0
WESAD,5,15,858,76,support_only,0.739,0.765,-0.211,0.039,0.174,1.0
