dataset,k,subjects,query_windows,query_stress,method,balanced_accuracy,auroc_pooled,diff_lo,diff_hi,p_boot,p_holm
Campanella2024,1,29,49,20,source_only,0.823,0.938,,,,
Campanella2024,1,29,49,20,threshold,0.798,0.947,-0.14,0.091,0.697,1.0
Campanella2024,1,29,49,20,refit,0.866,0.962,0.0,0.111,0.262,1.0
Campanella2024,1,29,49,20,support_only,0.923,0.99,-0.025,0.236,0.127,1.0
PhysioNet,1,35,1405,143,source_only,0.772,0.845,,,,
PhysioNet,1,35,1405,143,threshold,0.697,0.766,-0.124,-0.029,0.004,0.16
PhysioNet,1,35,1405,143,refit,0.786,0.865,-0.016,0.052,0.454,1.0
PhysioNet,1,35,1405,143,support_only,0.647,0.682,-0.211,-0.045,0.004,0.16
PhysioNet,2,35,1336,125,source_only,0.778,0.852,,,,
PhysioNet,2,35,1336,125,threshold,0.701,0.772,-0.129,-0.025,0.005,0.185
PhysioNet,2,35,1336,125,refit,0.792,0.874,-0.014,0.049,0.408,1.0
PhysioNet,2,35,1336,125,support_only,0.659,0.717,-0.202,-0.033,0.015,0.525
PhysioNet,3,35,1223,60,source_only,0.808,0.887,,,,
PhysioNet,3,35,1223,60,threshold,0.722,0.827,-0.132,-0.041,0.0,0.0
PhysioNet,3,35,1223,60,refit,0.808,0.91,-0.045,0.054,0.955,1.0
PhysioNet,3,35,1223,60,support_only,0.721,0.787,-0.183,0.016,0.096,1.0
PhysioNet,5,35,1154,15,source_only,0.834,0.943,,,,
PhysioNet,5,35,1154,15,threshold,0.756,0.888,-0.259,-0.016,0.0080040020010005,0.288
PhysioNet,5,35,1154,15,refit,0.829,0.94,-0.018,0.005,0.4062031015507754,1.0
PhysioNet,5,35,1154,15,support_only,0.752,0.796,-0.247,0.113,0.22911455727863933,1.0
Stress-Predict,1,33,2310,752,source_only,0.666,0.724,,,,
Stress-Predict,1,33,2310,752,threshold,0.653,0.715,-0.041,0.013,0.339,1.0
Stress-Predict,1,33,2310,752,refit,0.682,0.742,0.0,0.034,0.043,1.0
Stress-Predict,1,33,2310,752,support_only,0.561,0.584,-0.152,-0.059,0.0,0.0
Stress-Predict,2,33,2244,719,source_only,0.673,0.731,,,,
Stress-Predict,2,33,2244,719,threshold,0.665,0.724,-0.033,0.017,0.541,1.0
Stress-Predict,2,33,2244,719,refit,0.692,0.755,0.0,0.04,0.048,1.0
Stress-Predict,2,33,2244,719,support_only,0.568,0.608,-0.157,-0.052,0.0,0.0
Stress-Predict,3,33,2178,686,source_only,0.679,0.739,,,,
Stress-Predict,3,33,2178,686,threshold,0.675,0.739,-0.03,0.021,0.775,1.0
Stress-Predict,3,33,2178,686,refit,0.699,0.766,0.0,0.041,0.042,1.0
Stress-Predict,3,33,2178,686,support_only,0.598,0.623,-0.128,-0.031,0.0,0.0
Stress-Predict,5,33,2047,621,source_only,0.69,0.756,,,,
Stress-Predict,5,33,2047,621,threshold,0.683,0.758,-0.036,0.024,0.694,1.0
Stress-Predict,5,33,2047,621,refit,0.711,0.781,0.0,0.043,0.046,1.0
Stress-Predict,5,33,2047,621,support_only,0.604,0.63,-0.143,-0.03,0.001,0.041
UBFC-Phys,1,11,99,77,source_only,0.818,0.905,,,,
UBFC-Phys,1,11,99,77,threshold,0.834,0.877,-0.055,0.084,0.649,1.0
UBFC-Phys,1,11,99,77,refit,0.776,0.935,-0.101,0.0,0.063,1.0
UBFC-Phys,1,11,99,77,support_only,0.747,0.98,-0.195,0.039,0.269,1.0
UBFC-Phys,2,11,77,66,source_only,0.788,0.851,,,,
UBFC-Phys,2,11,77,66,threshold,0.833,0.839,-0.015,0.114,0.187,1.0
UBFC-Phys,2,11,77,66,refit,0.803,0.919,-0.015,0.045,0.405,1.0
UBFC-Phys,2,11,77,66,support_only,0.758,0.948,-0.121,0.061,0.595,1.0
UBFC-Phys,3,11,55,55,not evaluable (one class in query),,,,,,
UBFC-Phys,5,11,55,55,not evaluable (one class in query),,,,,,
WESAD,1,15,1304,266,source_only,0.89,0.968,,,,
WESAD,1,15,1304,266,threshold,0.893,0.953,-0.025,0.027,0.767,1.0
WESAD,1,15,1304,266,refit,0.895,0.969,-0.003,0.012,0.227,1.0
WESAD,1,15,1304,266,support_only,0.754,0.747,-0.228,-0.047,0.004,0.16
WESAD,2,15,1275,251,source_only,0.889,0.967,,,,
WESAD,2,15,1275,251,threshold,0.893,0.96,-0.02,0.024,0.656,1.0
WESAD,2,15,1275,251,refit,0.892,0.966,-0.006,0.014,0.597,1.0
WESAD,2,15,1275,251,support_only,0.781,0.781,-0.206,-0.018,0.021,0.651
WESAD,3,15,1248,236,source_only,0.888,0.967,,,,
WESAD,3,15,1248,236,threshold,0.899,0.96,-0.006,0.026,0.171,1.0
WESAD,3,15,1248,236,refit,0.896,0.968,0.001,0.016,0.017,0.561
WESAD,3,15,1248,236,support_only,0.779,0.808,-0.201,-0.018,0.016,0.544
WESAD,5,15,1185,205,source_only,0.883,0.964,,,,
WESAD,5,15,1185,205,threshold,0.895,0.954,0.001,0.025,0.029,0.87
WESAD,5,15,1185,205,refit,0.886,0.966,-0.002,0.009,0.238,1.0
WESAD,5,15,1185,205,support_only,0.781,0.835,-0.194,-0.012,0.02,0.64
