dataset,k,subjects,query_windows,query_stress,method,balanced_accuracy,auroc_pooled,diff_lo,diff_hi,p_boot,p_holm
Campanella2024,1,20,24,11,source_only,0.839,0.923,,,,
Campanella2024,1,20,24,11,threshold,0.871,0.916,-0.1,0.156,0.683,1.0
Campanella2024,1,20,24,11,refit,0.916,0.965,0.0,0.188,0.242,1.0
Campanella2024,1,20,24,11,support_only,0.955,0.965,-0.049,0.278,0.175,1.0
PhysioNet,1,35,1325,116,source_only,0.742,0.814,,,,
PhysioNet,1,35,1325,116,threshold,0.728,0.791,-0.05,0.023,0.452,1.0
PhysioNet,1,35,1325,116,refit,0.756,0.837,-0.02,0.056,0.499,1.0
PhysioNet,1,35,1325,116,support_only,0.682,0.752,-0.151,0.031,0.203,1.0
PhysioNet,2,35,1121,61,source_only,0.763,0.827,,,,
PhysioNet,2,35,1121,61,threshold,0.755,0.807,-0.046,0.03,0.701,1.0
PhysioNet,2,35,1121,61,refit,0.794,0.87,-0.004,0.078,0.09,1.0
PhysioNet,2,35,1121,61,support_only,0.727,0.8,-0.142,0.083,0.527,1.0
PhysioNet,3,35,951,19,source_only,0.786,0.873,,,,
PhysioNet,3,35,951,19,threshold,0.753,0.83,-0.071,0.014,0.226,1.0
PhysioNet,3,35,951,19,refit,0.801,0.889,0.004,0.026,0.007,0.294
PhysioNet,3,35,951,19,support_only,0.582,0.631,-0.33,0.011,0.065,1.0
PhysioNet,5,35,714,1,source_only,0.874,0.986,,,,
PhysioNet,5,35,714,1,threshold,0.874,0.933,-0.037,0.036,0.926829268292683,1.0
PhysioNet,5,35,714,1,refit,0.886,0.989,0.0,0.026,0.06451612903225806,1.0
PhysioNet,5,35,714,1,support_only,0.903,0.997,-0.009,0.063,0.15263571990558616,1.0
Stress-Predict,1,33,2216,706,source_only,0.652,0.709,,,,
Stress-Predict,1,33,2216,706,threshold,0.641,0.681,-0.03,0.007,0.229,1.0
Stress-Predict,1,33,2216,706,refit,0.654,0.718,-0.015,0.019,0.768,1.0
Stress-Predict,1,33,2216,706,support_only,0.554,0.582,-0.161,-0.037,0.003,0.129
Stress-Predict,2,33,1954,573,source_only,0.636,0.686,,,,
Stress-Predict,2,33,1954,573,threshold,0.65,0.686,-0.007,0.036,0.207,1.0
Stress-Predict,2,33,1954,573,refit,0.645,0.712,-0.003,0.024,0.157,1.0
Stress-Predict,2,33,1954,573,support_only,0.581,0.614,-0.113,-0.002,0.041,1.0
Stress-Predict,3,33,1733,470,source_only,0.643,0.699,,,,
Stress-Predict,3,33,1733,470,threshold,0.645,0.68,-0.017,0.022,0.822,1.0
Stress-Predict,3,33,1733,470,refit,0.641,0.715,-0.02,0.015,0.868,1.0
Stress-Predict,3,33,1733,470,support_only,0.609,0.634,-0.068,0.004,0.076,1.0
Stress-Predict,5,33,1330,296,source_only,0.672,0.716,,,,
Stress-Predict,5,33,1330,296,threshold,0.661,0.71,-0.029,0.008,0.267,1.0
Stress-Predict,5,33,1330,296,refit,0.69,0.752,-0.005,0.04,0.114,1.0
Stress-Predict,5,33,1330,296,support_only,0.608,0.655,-0.134,-0.0,0.047,1.0
UBFC-Phys,1,11,86,68,source_only,0.806,0.921,,,,
UBFC-Phys,1,11,86,68,threshold,0.858,0.926,0.014,0.097,0.017,0.697
UBFC-Phys,1,11,86,68,refit,0.869,0.967,-0.015,0.181,0.286,1.0
UBFC-Phys,1,11,86,68,support_only,0.838,0.98,-0.118,0.219,0.737,1.0
UBFC-Phys,2,10,35,33,source_only,0.803,0.939,,,,
UBFC-Phys,2,10,35,33,threshold,0.864,0.939,0.015,0.114,0.03792526491912995,1.0
UBFC-Phys,2,10,35,33,refit,0.803,0.939,-0.071,0.071,1.0,1.0
UBFC-Phys,2,10,35,33,support_only,0.659,0.773,-0.463,0.178,0.622420524261015,1.0
UBFC-Phys,3,10,29,29,not evaluable (one class in query),,,,,,
UBFC-Phys,5,3,5,5,not evaluable (one class in query),,,,,,
WESAD,1,15,1253,241,source_only,0.883,0.964,,,,
WESAD,1,15,1253,241,threshold,0.881,0.951,-0.022,0.016,0.84,1.0
WESAD,1,15,1253,241,refit,0.894,0.965,-0.002,0.025,0.102,1.0
WESAD,1,15,1253,241,support_only,0.897,0.949,-0.041,0.073,0.606,1.0
WESAD,2,15,1129,180,source_only,0.879,0.964,,,,
WESAD,2,15,1129,180,threshold,0.899,0.963,0.007,0.036,0.002,0.088
WESAD,2,15,1129,180,refit,0.894,0.973,0.0,0.033,0.047,1.0
WESAD,2,15,1129,180,support_only,0.913,0.952,-0.048,0.099,0.347,1.0
WESAD,3,15,1010,136,source_only,0.878,0.961,,,,
WESAD,3,15,1010,136,threshold,0.879,0.961,-0.018,0.017,0.935,1.0
WESAD,3,15,1010,136,refit,0.886,0.969,-0.003,0.019,0.208,1.0
WESAD,3,15,1010,136,support_only,0.933,0.986,0.004,0.118,0.032,1.0
WESAD,5,15,858,76,source_only,0.893,0.975,,,,
WESAD,5,15,858,76,threshold,0.905,0.973,-0.007,0.03,0.185,1.0
WESAD,5,15,858,76,refit,0.922,0.982,0.011,0.053,0.0,0.0
WESAD,5,15,858,76,support_only,0.933,0.99,-0.007,0.082,0.091,1.0
