dataset,k,subject_uid,y,source_only,threshold,refit,support_only
Campanella2024,1,Campanella2024:subject_01,0,0.726864,0.6384025,0.72777563,-0.5283720046869371
Campanella2024,1,Campanella2024:subject_01,1,0.5678532,0.47939175,0.6268053,9.179988456534584
Campanella2024,1,Campanella2024:subject_02,0,0.171625,0.369498,0.06738436,-3.644425824584573
Campanella2024,1,Campanella2024:subject_02,1,0.08185961,0.2797326,0.073810756,-10.007701200674067
Campanella2024,1,Campanella2024:subject_03,0,0.43896028,0.4424369,0.3726585,-0.5776952460123379
Campanella2024,1,Campanella2024:subject_04,0,0.044782054,0.10568309,0.014115909,5.144121544901763
Campanella2024,1,Campanella2024:subject_05,0,0.06364741,0.24363196,0.04780831,-1.4972548928299156
Campanella2024,1,Campanella2024:subject_06,0,0.6318172,0.4315694,0.5812676,5.87785466155926
Campanella2024,1,Campanella2024:subject_06,1,0.7743167,0.5740689,0.7583821,4.961227465138396
Campanella2024,1,Campanella2024:subject_07,0,0.124690466,0.46224183,0.016856188,1.1290987132294155
Campanella2024,1,Campanella2024:subject_07,1,0.44866487,0.78621626,0.8470046,1.1328927761168868
Campanella2024,1,Campanella2024:subject_08,0,0.6814927,0.4450227,0.5812255,0.7228627680409989
Campanella2024,1,Campanella2024:subject_08,1,0.7738805,0.5374105,0.8561291,0.19618413890722364
Campanella2024,1,Campanella2024:subject_09,0,0.23388329,0.36695746,0.18433672,17.49263840559309
Campanella2024,1,Campanella2024:subject_09,1,0.7005999,0.8336741,0.7239196,8.470277639061218
Campanella2024,1,Campanella2024:subject_10,0,0.31439433,0.48833627,0.28855345,0.815898656909966
Campanella2024,1,Campanella2024:subject_10,1,0.4614841,0.63542604,0.61914706,1.4489301022715655
Campanella2024,1,Campanella2024:subject_11,0,0.22891563,0.14739394,0.18823853,-0.5899741883853258
Campanella2024,1,Campanella2024:subject_11,1,0.8901641,0.8086424,0.914027,15.85211078017472
Campanella2024,1,Campanella2024:subject_12,0,0.5074604,0.2585566,0.40738916,-2.9155115428452367
Campanella2024,1,Campanella2024:subject_12,1,0.52353686,0.27463305,0.51389855,3.4673473443791343
Campanella2024,1,Campanella2024:subject_13,0,0.2105144,0.15434602,0.0471814,-3.471926863865383
Campanella2024,1,Campanella2024:subject_13,1,0.578685,0.5225166,0.6257161,-10.827296241372904
Campanella2024,1,Campanella2024:subject_14,0,0.19593225,0.37765282,0.22670908,8.841402269219138
Campanella2024,1,Campanella2024:subject_14,1,0.14060839,0.32232893,0.14954816,-2.6049882674128533
Campanella2024,1,Campanella2024:subject_15,0,0.031525247,0.1331729,0.0126867015,2.8008340159105165
Campanella2024,1,Campanella2024:subject_15,1,0.83050007,0.93214774,0.9028013,3.671921447440682
Campanella2024,1,Campanella2024:subject_16,0,0.07513675,0.43200123,0.049675584,3.9782940862642677
Campanella2024,1,Campanella2024:subject_17,0,0.81240886,0.50797385,0.7971534,3.8199762918048954
Campanella2024,1,Campanella2024:subject_17,1,0.8512931,0.5468581,0.83441496,-2.239617880399158
Campanella2024,1,Campanella2024:subject_18,0,0.70896,0.5997279,0.7489094,3.979755595881155
