dataset,k,subject_uid,y,source_only,threshold,refit,support_only
Campanella2024,1,Campanella2024:subject_01,0,0.726864,0.66132706,0.6979684,-1.3091852254655691
Campanella2024,1,Campanella2024:subject_01,1,0.6137023,0.5481654,0.65719295,13.543614835311157
Campanella2024,1,Campanella2024:subject_02,0,0.4711852,0.8623147,0.38477367,0.49926443990257807
Campanella2024,1,Campanella2024:subject_06,0,0.46928754,0.23716804,0.42572847,2.903162569523931
Campanella2024,1,Campanella2024:subject_07,0,0.124690466,0.3554139,0.016936073,1.4003182005005854
Campanella2024,1,Campanella2024:subject_08,0,0.73350567,0.5230422,0.6341482,0.4744761162586424
Campanella2024,1,Campanella2024:subject_08,1,0.7738805,0.563417,0.8571109,0.5035037440674603
Campanella2024,1,Campanella2024:subject_09,0,0.23388329,0.3337295,0.21270895,16.861824872282188
Campanella2024,1,Campanella2024:subject_10,1,0.4614841,0.75563455,0.56113374,0.8168394371880341
Campanella2024,1,Campanella2024:subject_11,0,0.22891563,0.13554072,0.14646111,-13.318637719574365
Campanella2024,1,Campanella2024:subject_11,1,0.8664576,0.7730827,0.881511,7.401762529780106
Campanella2024,1,Campanella2024:subject_12,1,0.93577236,0.89671034,0.96315557,5.163142256987869
Campanella2024,1,Campanella2024:subject_13,0,0.2105144,0.3046698,0.041951284,-4.149295777948238
Campanella2024,1,Campanella2024:subject_13,1,0.87933254,0.973488,0.93730974,-11.712921504419532
Campanella2024,1,Campanella2024:subject_14,0,0.19593225,0.29127097,0.17435084,10.062816480635334
Campanella2024,1,Campanella2024:subject_17,1,0.7886213,0.5051557,0.75491256,-0.043221841217379264
Campanella2024,1,Campanella2024:subject_19,1,0.8512931,0.6062644,0.871572,1.997053500234549
Campanella2024,1,Campanella2024:subject_21,1,0.8147753,0.5344584,0.7835322,-17.70909017402949
Campanella2024,1,Campanella2024:subject_22,0,0.84018475,0.6365136,0.8407651,-18.699710690226574
Campanella2024,1,Campanella2024:subject_23,0,0.26670805,-0.039754868,0.0992815,12.222053317632026
Campanella2024,1,Campanella2024:subject_25,1,0.30579865,0.5275135,0.6034534,-5.368868520987541
Campanella2024,1,Campanella2024:subject_26,1,0.38233134,-0.047896743,0.30294827,-5.211008696298352
