dataset,k,subject_uid,y,source_only,threshold,refit,support_only
Campanella2024,1,Campanella2024:subject_01,0,0.08127967,0.26482394,0.03741345,-1.2436184384844917
Campanella2024,1,Campanella2024:subject_01,1,0.42087248,0.6044167,0.5914371,1.940031297937742
Campanella2024,1,Campanella2024:subject_02,0,0.09518435,0.1768708,0.12153914,-0.7997639940904013
Campanella2024,1,Campanella2024:subject_02,1,0.41216418,0.49385062,0.49347058,1.5448537878743567
Campanella2024,1,Campanella2024:subject_03,0,0.047644448,0.13270557,0.021674654,-0.628517569146446
Campanella2024,1,Campanella2024:subject_04,0,0.034605127,0.046508014,0.031059735,-0.9466279638783965
Campanella2024,1,Campanella2024:subject_05,0,0.056212787,0.15691608,0.017745283,-1.150216897007664
Campanella2024,1,Campanella2024:subject_06,0,0.12518048,0.0774622,0.087429695,-0.043888510904093625
Campanella2024,1,Campanella2024:subject_06,1,0.6815358,0.6338175,0.65095615,1.3501259268798038
Campanella2024,1,Campanella2024:subject_07,0,0.19302623,0.22368789,0.12778877,-0.6979798598655136
Campanella2024,1,Campanella2024:subject_07,1,0.67489135,0.705553,0.889137,2.1379754965068747
Campanella2024,1,Campanella2024:subject_08,0,0.778822,0.4108234,0.7659696,-0.3210953096861746
Campanella2024,1,Campanella2024:subject_08,1,0.93657184,0.56857324,0.9386726,1.3838612474433731
Campanella2024,1,Campanella2024:subject_09,0,0.053449497,0.2773146,0.04943758,0.07105279690192812
Campanella2024,1,Campanella2024:subject_09,1,0.8347724,1.0586375,0.90191066,1.259974598493837
Campanella2024,1,Campanella2024:subject_10,0,0.1177147,0.53118986,0.08672297,0.5580835385807885
Campanella2024,1,Campanella2024:subject_10,1,0.60829586,1.021771,0.62275225,0.6134609081345799
Campanella2024,1,Campanella2024:subject_11,0,0.1770804,0.20159084,0.056849323,-0.8917300157149044
Campanella2024,1,Campanella2024:subject_11,1,0.888618,0.91312844,0.8783206,1.689638651134952
Campanella2024,1,Campanella2024:subject_12,0,0.27050966,0.22348297,0.0743188,-1.1819428251042874
Campanella2024,1,Campanella2024:subject_12,1,0.53728765,0.49026096,0.5422338,2.032209034867291
Campanella2024,1,Campanella2024:subject_13,0,0.2621381,0.517826,0.012431873,-0.9541968494186599
Campanella2024,1,Campanella2024:subject_13,1,0.4259038,0.6815917,0.24803291,1.917482514085666
Campanella2024,1,Campanella2024:subject_14,0,0.043057356,0.26308745,0.012389607,-1.6248477456598929
Campanella2024,1,Campanella2024:subject_14,1,0.20050281,0.4205329,0.42862362,1.1075116803614873
Campanella2024,1,Campanella2024:subject_15,0,0.12264454,0.19452646,0.060971633,-0.7968904347779939
Campanella2024,1,Campanella2024:subject_15,1,0.9806085,1.0524905,0.98213863,1.8753026057754676
Campanella2024,1,Campanella2024:subject_16,0,0.57892424,0.6422579,0.7745525,0.6918424161492341
Campanella2024,1,Campanella2024:subject_17,0,0.34214324,0.15683663,0.36027542,-0.06999500985184204
Campanella2024,1,Campanella2024:subject_17,1,0.8441391,0.6588325,0.80404514,0.4830009228518246
Campanella2024,1,Campanella2024:subject_18,0,0.29566935,0.47558945,0.27558255,0.9520215288985712
Campanella2024,1,Campanella2024:subject_19,0,0.25981632,0.34225485,0.22525384,-0.2005123201032083
Campanella2024,1,Campanella2024:subject_19,1,0.9057545,0.98819304,0.86998385,1.3711633544819142
Campanella2024,1,Campanella2024:subject_20,0,0.0645178,0.16062301,0.022104666,-0.651299988411705
Campanella2024,1,Campanella2024:subject_20,1,0.7947792,0.8908844,0.91400915,2.0651493683325097
Campanella2024,1,Campanella2024:subject_21,0,0.086611755,0.14665449,0.104186244,-0.43030156694454647
Campanella2024,1,Campanella2024:subject_21,1,0.98645616,1.0464989,0.9830458,1.5686892378268675
Campanella2024,1,Campanella2024:subject_22,0,0.098402455,0.25565064,0.0155864125,-0.5140852972717016
Campanella2024,1,Campanella2024:subject_23,0,0.6198759,0.24401248,0.4200152,-0.5946820977536729
Campanella2024,1,Campanella2024:subject_24,0,0.16010816,0.17935956,0.021192966,-0.7754249547840404
Campanella2024,1,Campanella2024:subject_25,0,0.015026839,0.09739795,0.009255027,-0.6011839326823498
Campanella2024,1,Campanella2024:subject_25,1,0.41161644,0.49398756,0.4968649,1.8395105969397667
Campanella2024,1,Campanella2024:subject_26,0,0.46659324,0.06584939,0.37085485,-0.9198409653840638
Campanella2024,1,Campanella2024:subject_26,1,0.6481053,0.24736148,0.60690904,0.8566335585365352
Campanella2024,1,Campanella2024:subject_27,0,0.2588349,0.21159172,0.2082716,-0.9781518462113559
Campanella2024,1,Campanella2024:subject_28,0,0.38559222,0.17172515,0.026878547,-0.3165385376196861
Campanella2024,1,Campanella2024:subject_28,1,0.62435186,0.4104848,0.8363901,1.2979921828798817
Campanella2024,1,Campanella2024:subject_29,0,0.10436087,0.19332248,0.062090512,-1.1365750512219117
Campanella2024,1,Campanella2024:subject_29,1,0.91365963,1.0026212,0.8870219,1.9264278816775897
PhysioNet,1,PhysioNet:S01,0,0.1144426,0.21345931,0.061793193,-0.5356921051097148
PhysioNet,1,PhysioNet:S01,0,0.06018305,0.15919974,0.018049017,-0.788319426286
PhysioNet,1,PhysioNet:S01,0,0.11622337,0.21524006,0.03323537,-0.6859262421500256
PhysioNet,1,PhysioNet:S01,0,0.10095628,0.19997299,0.033235416,-0.6341976730846377
PhysioNet,1,PhysioNet:S01,0,0.3197577,0.4187744,0.3060876,-0.3628628100738853
PhysioNet,1,PhysioNet:S01,0,0.35700798,0.45602468,0.3366501,-0.5147873747485241
PhysioNet,1,PhysioNet:S01,0,0.14491394,0.24393064,0.15210713,-0.3034218929719934
PhysioNet,1,PhysioNet:S01,0,0.14107011,0.2400868,0.14789835,-0.2339821193375371
PhysioNet,1,PhysioNet:S01,0,0.14920841,0.2482251,0.13681453,-0.20922889732430772
PhysioNet,1,PhysioNet:S01,0,0.14311528,0.24213198,0.13522036,-0.17525074095353976
PhysioNet,1,PhysioNet:S01,0,0.0936012,0.1926179,0.089407906,-0.14683462504929046
PhysioNet,1,PhysioNet:S01,0,0.16789827,0.26691496,0.13993661,-0.2558529005733259
PhysioNet,1,PhysioNet:S01,0,0.18365376,0.28267044,0.18539982,-0.2943846812088571
PhysioNet,1,PhysioNet:S01,0,0.12316546,0.22218215,0.11898654,-0.20664767385612648
PhysioNet,1,PhysioNet:S01,0,0.1369239,0.23594058,0.14154162,-0.24871662467063338
PhysioNet,1,PhysioNet:S01,0,0.33984342,0.43886012,0.33914882,-0.1396012730901648
PhysioNet,1,PhysioNet:S01,0,0.72775275,0.8267695,0.7162271,-0.14232056246396163
PhysioNet,1,PhysioNet:S01,1,0.16862637,0.26764306,0.14681707,-0.08970185082232662
PhysioNet,1,PhysioNet:S01,1,0.58629376,0.6853105,0.5432069,-0.05618071722261586
PhysioNet,1,PhysioNet:S01,1,0.6163525,0.7153692,0.58276725,-0.05774596764831741
PhysioNet,1,PhysioNet:S01,0,0.11253261,0.21154931,0.11127685,-0.043444856476696936
PhysioNet,1,PhysioNet:S01,0,0.44000775,0.5390245,0.49594945,-0.14581911370851275
PhysioNet,1,PhysioNet:S01,0,0.32542682,0.4244435,0.3218516,-0.14009828457959572
PhysioNet,1,PhysioNet:S01,0,0.23878008,0.33779678,0.2344021,-0.07007684248687385
PhysioNet,1,PhysioNet:S01,0,0.31704295,0.41605964,0.3184942,-0.06158273816019322
PhysioNet,1,PhysioNet:S01,0,0.26067564,0.35969234,0.23815076,-0.006490052228762755
PhysioNet,1,PhysioNet:S01,0,0.65925074,0.7582674,0.789146,0.8907943528750577
PhysioNet,1,PhysioNet:S01,0,0.7250105,0.8240272,0.7247073,0.8716726769374623
PhysioNet,1,PhysioNet:S01,0,0.9129887,1.0120054,0.89294845,1.6544254180792706
PhysioNet,1,PhysioNet:S02,0,0.8979134,0.4563974,0.90503937,1.1118253249093792
