dataset,k,subject_uid,y,source_only,threshold,refit,support_only
Campanella2024,1,Campanella2024:subject_01,0,0.08127967,0.35935804,0.039088104,-2.2671258434461787
Campanella2024,1,Campanella2024:subject_01,1,0.60994065,0.888019,0.5883435,1.1497461242126092
Campanella2024,1,Campanella2024:subject_02,0,0.13879588,0.48403996,0.1294022,-1.0719106951744222
Campanella2024,1,Campanella2024:subject_06,0,0.20568456,0.24420953,0.15449394,-0.1377285110317179
Campanella2024,1,Campanella2024:subject_07,0,0.19302623,0.2711208,0.1109438,-0.7011385490301252
Campanella2024,1,Campanella2024:subject_08,0,0.7958109,0.43630677,0.67056817,-0.6213344930953673
Campanella2024,1,Campanella2024:subject_08,1,0.93657184,0.57706773,0.94622475,1.1935489573980544
Campanella2024,1,Campanella2024:subject_09,0,0.053449497,0.1675111,0.043104682,0.029698651973614654
Campanella2024,1,Campanella2024:subject_10,1,0.60829586,0.9788216,0.63054967,0.7871350996583485
Campanella2024,1,Campanella2024:subject_11,0,0.1770804,0.17649567,0.04867644,-1.592435635265398
Campanella2024,1,Campanella2024:subject_11,1,0.8384277,0.837843,0.84987473,1.0646956693517193
Campanella2024,1,Campanella2024:subject_12,1,0.8432748,0.9338042,0.87187976,1.9438210265181814
Campanella2024,1,Campanella2024:subject_13,0,0.2621381,0.41759703,0.017598461,-1.8506137892823227
Campanella2024,1,Campanella2024:subject_13,1,0.22544587,0.3809048,0.18896042,0.9261991033583927
Campanella2024,1,Campanella2024:subject_14,0,0.043057356,0.13275999,0.017454084,-0.94672246073914
Campanella2024,1,Campanella2024:subject_17,1,0.91209966,0.7886119,0.8913569,1.2308970559986774
Campanella2024,1,Campanella2024:subject_19,1,0.6840358,0.67528784,0.6879204,-0.6371987233097349
Campanella2024,1,Campanella2024:subject_21,1,0.670196,0.5823978,0.6042119,1.0521285251832908
Campanella2024,1,Campanella2024:subject_22,0,0.098402455,0.17041099,0.018793318,-0.992685365033732
Campanella2024,1,Campanella2024:subject_23,0,0.6198759,0.24401248,0.4200152,-0.5946820977536729
Campanella2024,1,Campanella2024:subject_25,1,0.8155722,1.0999284,0.94036555,1.782856496723351
Campanella2024,1,Campanella2024:subject_26,1,0.6481053,0.19937772,0.68065065,0.650377796701803
Campanella2024,1,Campanella2024:subject_27,0,0.14955452,0.04767111,0.091298595,-0.7661535228353815
Campanella2024,1,Campanella2024:subject_28,0,0.5652252,0.54596084,0.11046466,-0.3064761625752379
PhysioNet,1,PhysioNet:S01,0,0.076156996,0.06300625,0.08125094,0.3581594860844186
PhysioNet,1,PhysioNet:S01,0,0.09614543,0.08299467,0.10683252,0.35400759538420923
PhysioNet,1,PhysioNet:S01,0,0.051048018,0.03789726,0.06154911,0.6747556114132289
PhysioNet,1,PhysioNet:S01,0,0.1144426,0.101291835,0.0560108,0.7416107754742856
PhysioNet,1,PhysioNet:S01,0,0.06018305,0.047032297,0.043782998,0.9919960658728257
PhysioNet,1,PhysioNet:S01,0,0.11622337,0.10307261,0.08078363,1.06427153693416
PhysioNet,1,PhysioNet:S01,0,0.10095628,0.08780554,0.07029453,0.8851994363478315
PhysioNet,1,PhysioNet:S01,1,0.72580963,0.7126589,0.7769535,0.4477978825703155
PhysioNet,1,PhysioNet:S01,1,0.36902952,0.35587877,0.41820085,0.4662748045080034
PhysioNet,1,PhysioNet:S01,0,0.3197577,0.30660695,0.4014687,0.07604055308634028
PhysioNet,1,PhysioNet:S01,0,0.35700798,0.34385723,0.28089756,-0.06938134993001543
PhysioNet,1,PhysioNet:S01,0,0.14491394,0.13176319,0.20920561,0.7352533022556457
PhysioNet,1,PhysioNet:S01,0,0.14107011,0.12791938,0.15060562,0.7785217646495858
PhysioNet,1,PhysioNet:S01,0,0.14920841,0.13605767,0.12307678,0.895417535068244
PhysioNet,1,PhysioNet:S01,0,0.14311528,0.12996453,0.122293025,1.089926628727627
PhysioNet,1,PhysioNet:S01,0,0.0936012,0.080450445,0.08551326,1.0763023341841094
PhysioNet,1,PhysioNet:S01,0,0.16789827,0.15474752,0.10148615,0.8456776553257697
PhysioNet,1,PhysioNet:S01,0,0.18365376,0.17050302,0.11723756,0.5564002438010608
PhysioNet,1,PhysioNet:S01,0,0.12316546,0.11001471,0.054565754,0.1827722838693301
PhysioNet,1,PhysioNet:S01,0,0.1369239,0.12377316,0.11011603,0.14690120168691267
PhysioNet,1,PhysioNet:S01,0,0.33984342,0.32669267,0.3926496,0.3215006017069528
PhysioNet,1,PhysioNet:S01,0,0.72775275,0.714602,0.8907369,1.1817136964598565
PhysioNet,1,PhysioNet:S01,0,0.31704295,0.3038922,0.24237435,0.18173120570283197
PhysioNet,1,PhysioNet:S01,0,0.26067564,0.24752489,0.26155886,0.44487892001859675
PhysioNet,1,PhysioNet:S01,0,0.65925074,0.6461,0.57289267,0.47740302032017756
PhysioNet,1,PhysioNet:S01,0,0.7250105,0.71185976,0.8087478,0.9537895004322106
PhysioNet,1,PhysioNet:S01,0,0.9129887,0.899838,0.8604251,0.9036803188171594
PhysioNet,1,PhysioNet:S02,0,0.92728156,1.2045308,0.9343741,0.08937372287255174
PhysioNet,1,PhysioNet:S02,0,0.5127859,0.7900351,0.5430365,0.5471665894281192
