features,test_dataset,trained_on,balanced_accuracy,auroc
physiology,Campanella2024,within_dataset,0.897,0.957
physiology,Campanella2024,other_datasets_only,0.822,0.911
physiology,Campanella2024,all_datasets,0.893,0.944
physiology,PhysioNet,within_dataset,0.761,0.852
physiology,PhysioNet,other_datasets_only,0.738,0.806
physiology,PhysioNet,all_datasets,0.773,0.838
physiology,Stress-Predict,within_dataset,0.712,0.786
physiology,Stress-Predict,other_datasets_only,0.648,0.709
physiology,Stress-Predict,all_datasets,0.698,0.773
physiology,UBFC-Phys,within_dataset,0.877,0.952
physiology,UBFC-Phys,other_datasets_only,0.58,0.941
physiology,UBFC-Phys,all_datasets,0.857,0.921
physiology,WESAD,within_dataset,0.9,0.973
physiology,WESAD,other_datasets_only,0.834,0.914
physiology,WESAD,all_datasets,0.878,0.953
hr_hrv_eda,Campanella2024,within_dataset,0.882,0.95
hr_hrv_eda,Campanella2024,other_datasets_only,0.87,0.915
hr_hrv_eda,Campanella2024,all_datasets,0.9,0.932
hr_hrv_eda,PhysioNet,within_dataset,0.78,0.852
hr_hrv_eda,PhysioNet,other_datasets_only,0.744,0.815
hr_hrv_eda,PhysioNet,all_datasets,0.778,0.851
hr_hrv_eda,Stress-Predict,within_dataset,0.697,0.768
hr_hrv_eda,Stress-Predict,other_datasets_only,0.651,0.705
hr_hrv_eda,Stress-Predict,all_datasets,0.69,0.747
hr_hrv_eda,UBFC-Phys,within_dataset,0.877,0.952
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.81,0.905
hr_hrv_eda,UBFC-Phys,all_datasets,0.83,0.916
hr_hrv_eda,WESAD,within_dataset,0.916,0.977
hr_hrv_eda,WESAD,other_datasets_only,0.889,0.967
hr_hrv_eda,WESAD,all_datasets,0.921,0.98
