features,test_dataset,trained_on,metric,before,after,after_minus_before,t,p,n_splits,p_holm,significant_0.05
hr_hrv_eda,UBFC-Phys,all_datasets,balanced_accuracy,0.8294,0.8392,0.0098,0.5612,0.5812,20,1.0,False
hr_hrv_eda,UBFC-Phys,all_datasets,auroc,0.9131,0.9221,0.009,0.8418,0.4104,20,1.0,False
hr_hrv_eda,UBFC-Phys,other_datasets_only,balanced_accuracy,0.7902,0.8373,0.0471,2.475,0.0229,20,0.5041,False
hr_hrv_eda,UBFC-Phys,other_datasets_only,auroc,0.8996,0.904,0.0044,0.3342,0.7419,20,1.0,False
hr_hrv_eda,UBFC-Phys,within_dataset,balanced_accuracy,0.8767,0.8767,0.0,0.0,1.0,20,1.0,False
hr_hrv_eda,UBFC-Phys,within_dataset,auroc,0.9518,0.9518,0.0,0.0,1.0,20,1.0,False
hr_hrv_eda,WESAD,all_datasets,balanced_accuracy,0.9144,0.9207,0.0063,0.8219,0.4213,20,1.0,False
hr_hrv_eda,WESAD,all_datasets,auroc,0.9757,0.9794,0.0038,1.6737,0.1106,20,1.0,False
hr_hrv_eda,WESAD,other_datasets_only,balanced_accuracy,0.877,0.8842,0.0072,1.0739,0.2963,20,1.0,False
hr_hrv_eda,WESAD,other_datasets_only,auroc,0.9617,0.9693,0.0075,3.9464,0.0009,20,0.0208,True
hr_hrv_eda,WESAD,within_dataset,balanced_accuracy,0.9158,0.9158,0.0,0.0,1.0,20,1.0,False
hr_hrv_eda,WESAD,within_dataset,auroc,0.9768,0.9768,0.0,0.0,1.0,20,1.0,False
physiology,UBFC-Phys,all_datasets,balanced_accuracy,0.8531,0.8667,0.0135,1.1411,0.268,20,1.0,False
physiology,UBFC-Phys,all_datasets,auroc,0.92,0.9281,0.0081,1.0038,0.3281,20,1.0,False
physiology,UBFC-Phys,other_datasets_only,balanced_accuracy,0.5794,0.5894,0.01,0.7331,0.4725,20,1.0,False
physiology,UBFC-Phys,other_datasets_only,auroc,0.9279,0.9311,0.0032,0.5324,0.6006,20,1.0,False
physiology,UBFC-Phys,within_dataset,balanced_accuracy,0.8767,0.8767,0.0,0.0,1.0,20,1.0,False
physiology,UBFC-Phys,within_dataset,auroc,0.9518,0.9518,0.0,0.0,1.0,20,1.0,False
physiology,WESAD,all_datasets,balanced_accuracy,0.8606,0.8762,0.0156,2.547,0.0197,20,0.4527,False
physiology,WESAD,all_datasets,auroc,0.9426,0.9538,0.0112,1.7197,0.1017,20,1.0,False
physiology,WESAD,other_datasets_only,balanced_accuracy,0.8338,0.8397,0.006,1.3033,0.208,20,1.0,False
physiology,WESAD,other_datasets_only,auroc,0.9091,0.9183,0.0092,2.2295,0.038,20,0.799,False
physiology,WESAD,within_dataset,balanced_accuracy,0.8997,0.8997,0.0,0.0,1.0,20,1.0,False
physiology,WESAD,within_dataset,auroc,0.9735,0.9735,0.0,0.0,1.0,20,1.0,False
