features,test_dataset,trained_on,split,balanced_accuracy,auroc
physiology,Campanella2024,within_dataset,0,1.0,1.0
physiology,Campanella2024,other_datasets_only,0,0.8958333333333333,0.9791666666666667
physiology,Campanella2024,all_datasets,0,0.9375,0.9913194444444444
physiology,Campanella2024,within_dataset,1,0.9166666666666667,0.9305555555555555
physiology,Campanella2024,other_datasets_only,1,0.8125,0.8749999999999999
physiology,Campanella2024,all_datasets,1,0.8333333333333334,0.921875
physiology,Campanella2024,within_dataset,2,0.8333333333333333,0.9322916666666667
physiology,Campanella2024,other_datasets_only,2,0.75,0.8559027777777778
physiology,Campanella2024,all_datasets,2,0.8333333333333333,0.904513888888889
physiology,Campanella2024,within_dataset,3,0.9166666666666667,0.9930555555555556
physiology,Campanella2024,other_datasets_only,3,0.875,0.9288194444444445
physiology,Campanella2024,all_datasets,3,0.9375,0.9565972222222222
physiology,Campanella2024,within_dataset,4,0.9166666666666667,0.8975694444444444
physiology,Campanella2024,other_datasets_only,4,0.8333333333333334,0.9045138888888888
physiology,Campanella2024,all_datasets,4,0.8333333333333334,0.9340277777777777
physiology,Campanella2024,within_dataset,5,0.8333333333333334,0.8993055555555556
physiology,Campanella2024,other_datasets_only,5,0.8333333333333334,0.9305555555555556
physiology,Campanella2024,all_datasets,5,0.8333333333333334,0.939236111111111
physiology,Campanella2024,within_dataset,6,1.0,1.0
physiology,Campanella2024,other_datasets_only,6,0.9375,0.9513888888888888
physiology,Campanella2024,all_datasets,6,0.9375,0.9878472222222222
physiology,Campanella2024,within_dataset,7,0.9791666666666667,0.9982638888888888
physiology,Campanella2024,other_datasets_only,7,0.8541666666666667,0.96875
physiology,Campanella2024,all_datasets,7,0.8958333333333333,1.0
physiology,Campanella2024,within_dataset,8,0.9583333333333333,1.0
physiology,Campanella2024,other_datasets_only,8,0.8333333333333333,0.954861111111111
physiology,Campanella2024,all_datasets,8,0.9583333333333333,0.9965277777777777
physiology,Campanella2024,within_dataset,9,0.9166666666666667,0.9652777777777778
physiology,Campanella2024,other_datasets_only,9,0.75,0.7899305555555556
physiology,Campanella2024,all_datasets,9,0.7708333333333334,0.9045138888888888
physiology,Campanella2024,within_dataset,10,0.75,0.7621527777777779
physiology,Campanella2024,other_datasets_only,10,0.7083333333333334,0.796875
physiology,Campanella2024,all_datasets,10,0.7708333333333334,0.8628472222222222
physiology,Campanella2024,within_dataset,11,1.0,1.0
physiology,Campanella2024,other_datasets_only,11,0.6666666666666667,0.736111111111111
physiology,Campanella2024,all_datasets,11,0.6458333333333334,0.8576388888888888
physiology,Campanella2024,within_dataset,12,0.9166666666666667,0.96875
physiology,Campanella2024,other_datasets_only,12,0.7916666666666666,0.8645833333333333
physiology,Campanella2024,all_datasets,12,0.8541666666666666,0.9427083333333333
physiology,Campanella2024,within_dataset,13,0.9791666666666667,0.9965277777777778
physiology,Campanella2024,other_datasets_only,13,0.8541666666666667,0.9392361111111112
physiology,Campanella2024,all_datasets,13,0.9375,0.9774305555555555
physiology,Campanella2024,within_dataset,14,0.9166666666666667,0.8958333333333334
physiology,Campanella2024,other_datasets_only,14,0.7916666666666667,0.8940972222222221
physiology,Campanella2024,all_datasets,14,0.8125,0.9253472222222222
physiology,Campanella2024,within_dataset,15,1.0,1.0
physiology,Campanella2024,other_datasets_only,15,0.8541666666666667,0.9288194444444444
physiology,Campanella2024,all_datasets,15,0.8958333333333333,0.984375
physiology,Campanella2024,within_dataset,16,0.8541666666666667,0.9548611111111112
physiology,Campanella2024,other_datasets_only,16,0.875,0.9131944444444444
physiology,Campanella2024,all_datasets,16,0.8958333333333333,0.9427083333333334
physiology,Campanella2024,within_dataset,17,0.9791666666666667,0.998263888888889
physiology,Campanella2024,other_datasets_only,17,0.875,0.953125
physiology,Campanella2024,all_datasets,17,0.9166666666666667,0.96875
physiology,Campanella2024,within_dataset,18,0.9791666666666667,1.0
physiology,Campanella2024,other_datasets_only,18,0.875,0.9878472222222222
physiology,Campanella2024,all_datasets,18,0.9791666666666667,0.9947916666666666
physiology,Campanella2024,within_dataset,19,0.8125,0.9461805555555555
physiology,Campanella2024,other_datasets_only,19,0.75,0.8107638888888888
physiology,Campanella2024,all_datasets,19,0.8125,0.8923611111111112
