features,test_dataset,trained_on,balanced_accuracy,auroc
physiology,Campanella2024,within_dataset,0.897,0.957
physiology,Campanella2024,other_datasets_only,0.858,0.916
physiology,Campanella2024,all_datasets,0.892,0.949
physiology,PhysioNet,within_dataset,0.736,0.841
physiology,PhysioNet,other_datasets_only,0.781,0.847
physiology,PhysioNet,all_datasets,0.797,0.859
physiology,Stress-Predict,within_dataset,0.712,0.786
physiology,Stress-Predict,other_datasets_only,0.652,0.714
physiology,Stress-Predict,all_datasets,0.706,0.778
physiology,UBFC-Phys,within_dataset,0.877,0.952
physiology,UBFC-Phys,other_datasets_only,0.667,0.93
physiology,UBFC-Phys,all_datasets,0.848,0.931
physiology,WESAD,within_dataset,0.9,0.973
physiology,WESAD,other_datasets_only,0.807,0.878
physiology,WESAD,all_datasets,0.862,0.934
hr_hrv_eda,Campanella2024,within_dataset,0.882,0.95
hr_hrv_eda,Campanella2024,other_datasets_only,0.869,0.927
hr_hrv_eda,Campanella2024,all_datasets,0.903,0.944
hr_hrv_eda,PhysioNet,within_dataset,0.77,0.85
hr_hrv_eda,PhysioNet,other_datasets_only,0.797,0.844
hr_hrv_eda,PhysioNet,all_datasets,0.801,0.861
hr_hrv_eda,Stress-Predict,within_dataset,0.697,0.768
hr_hrv_eda,Stress-Predict,other_datasets_only,0.645,0.704
hr_hrv_eda,Stress-Predict,all_datasets,0.693,0.751
hr_hrv_eda,UBFC-Phys,within_dataset,0.877,0.952
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.842,0.916
hr_hrv_eda,UBFC-Phys,all_datasets,0.847,0.922
hr_hrv_eda,WESAD,within_dataset,0.916,0.977
hr_hrv_eda,WESAD,other_datasets_only,0.86,0.945
hr_hrv_eda,WESAD,all_datasets,0.901,0.971
