features,test_dataset,trained_on,split,balanced_accuracy,auroc
physiology,PhysioNet,within_dataset,0,0.7330186507022796,0.8534039450456673
physiology,PhysioNet,other_datasets_only,0,0.6753396269859544,0.7376621383068539
physiology,PhysioNet,all_datasets,0,0.7433801519686852,0.8318366720392969
physiology,PhysioNet,within_dataset,1,0.7131549609810479,0.8220735785953177
physiology,PhysioNet,other_datasets_only,1,0.7641583054626533,0.8344481605351172
physiology,PhysioNet,all_datasets,1,0.7685061315496098,0.8297658862876254
physiology,PhysioNet,within_dataset,2,0.7359749915511997,0.8609327475498479
physiology,PhysioNet,other_datasets_only,2,0.7238087191618789,0.7315816154106117
physiology,PhysioNet,all_datasets,2,0.7502534640081109,0.7854849611355187
physiology,PhysioNet,within_dataset,3,0.7795093795093795,0.887012987012987
physiology,PhysioNet,other_datasets_only,3,0.758008658008658,0.8386002886002887
physiology,PhysioNet,all_datasets,3,0.7566378066378066,0.8496392496392496
physiology,PhysioNet,within_dataset,4,0.686046511627907,0.7979210711768852
physiology,PhysioNet,other_datasets_only,4,0.6822586328400282,0.7645348837209301
physiology,PhysioNet,all_datasets,4,0.7166138125440451,0.7975687103594081
physiology,PhysioNet,within_dataset,5,0.8130530973451328,0.8938053097345133
physiology,PhysioNet,other_datasets_only,5,0.7827433628318584,0.8653761061946903
physiology,PhysioNet,all_datasets,5,0.7915929203539823,0.8945796460176991
physiology,PhysioNet,within_dataset,6,0.7895545314900154,0.9052345503958407
physiology,PhysioNet,other_datasets_only,6,0.8127732482571193,0.9224861160345031
physiology,PhysioNet,all_datasets,6,0.8391232423490488,0.9269762495568947
physiology,PhysioNet,within_dataset,7,0.6594271752409393,0.7936066241346545
physiology,PhysioNet,other_datasets_only,7,0.7357472512555993,0.7947604180806299
physiology,PhysioNet,all_datasets,7,0.7380209040314918,0.8149857472512556
physiology,PhysioNet,within_dataset,8,0.7287549407114624,0.7723679482572763
physiology,PhysioNet,other_datasets_only,8,0.7796442687747036,0.8330039525691699
physiology,PhysioNet,all_datasets,8,0.7766798418972332,0.8284225655767157
physiology,PhysioNet,within_dataset,9,0.7346813725490196,0.8488321799307957
physiology,PhysioNet,other_datasets_only,9,0.7248774509803921,0.7756632064590542
physiology,PhysioNet,all_datasets,9,0.7365196078431373,0.7998846597462513
physiology,PhysioNet,within_dataset,10,0.8453348819202477,0.9111111111111111
physiology,PhysioNet,other_datasets_only,10,0.8381726674409601,0.9231126596980256
physiology,PhysioNet,all_datasets,10,0.8614789005032908,0.9396825396825397
physiology,PhysioNet,within_dataset,11,0.7443656280865583,0.8572326479303223
physiology,PhysioNet,other_datasets_only,11,0.6887402352518632,0.8023704767890815
physiology,PhysioNet,all_datasets,11,0.7622788901858669,0.8276016880668043
physiology,PhysioNet,within_dataset,12,0.7924773022049286,0.845006485084306
physiology,PhysioNet,other_datasets_only,12,0.744070780062998,0.7784880489160644
physiology,PhysioNet,all_datasets,12,0.8310635538261998,0.8800259403372245
physiology,PhysioNet,within_dataset,13,0.7133113031689544,0.8471445517708863
physiology,PhysioNet,other_datasets_only,13,0.7397051347229283,0.7549567869852567
physiology,PhysioNet,all_datasets,13,0.7283511269276394,0.7716488730723605
physiology,PhysioNet,within_dataset,14,0.8129406626318088,0.916391090035565
physiology,PhysioNet,other_datasets_only,14,0.7792475198103201,0.806014849940725
physiology,PhysioNet,all_datasets,14,0.805640481687153,0.8287265239907656
physiology,PhysioNet,within_dataset,15,0.692208904109589,0.7582762557077625
physiology,PhysioNet,other_datasets_only,15,0.6549657534246576,0.7054081050228311
physiology,PhysioNet,all_datasets,15,0.6374143835616438,0.6882134703196348
physiology,PhysioNet,within_dataset,16,0.7797098357158097,0.8902282910177086
physiology,PhysioNet,other_datasets_only,16,0.787230637934713,0.8764668231278003
physiology,PhysioNet,all_datasets,16,0.7916577768295285,0.8979091103050991
physiology,PhysioNet,within_dataset,17,0.6559091721795101,0.7596102270695513
physiology,PhysioNet,other_datasets_only,17,0.7120060790273557,0.7662256391918469
physiology,PhysioNet,all_datasets,17,0.6907294832826747,0.7807080278920079
physiology,PhysioNet,within_dataset,18,0.7728506787330316,0.8730769230769231
physiology,PhysioNet,other_datasets_only,18,0.7015271493212669,0.7462669683257919
physiology,PhysioNet,all_datasets,18,0.7548642533936651,0.8322398190045249
physiology,PhysioNet,within_dataset,19,0.6763713080168776,0.823722456633849
physiology,PhysioNet,other_datasets_only,19,0.650210970464135,0.6753867791842474
physiology,PhysioNet,all_datasets,19,0.6908579465541491,0.7367088607594937
physiology,Stress-Predict,within_dataset,0,0.7323293871866295,0.7934801532033425
physiology,Stress-Predict,other_datasets_only,0,0.6678853296193129,0.7399170148560817
physiology,Stress-Predict,all_datasets,0,0.7238495241411327,0.786342270194986
physiology,Stress-Predict,within_dataset,1,0.77899447724243,0.8469815273281279
physiology,Stress-Predict,other_datasets_only,1,0.6033771345140608,0.6678727861359741
physiology,Stress-Predict,all_datasets,1,0.6862184980638608,0.7686948517742652
physiology,Stress-Predict,within_dataset,2,0.7098170646557743,0.7844497199335908
physiology,Stress-Predict,other_datasets_only,2,0.5910564942823007,0.6734084314729477
physiology,Stress-Predict,all_datasets,2,0.6522211360921037,0.7340920728017502
physiology,Stress-Predict,within_dataset,3,0.747561823859348,0.8505275931982655
physiology,Stress-Predict,other_datasets_only,3,0.6590549200100635,0.7326441816755708
physiology,Stress-Predict,all_datasets,3,0.7126799958562104,0.8001657515798197
physiology,Stress-Predict,within_dataset,4,0.7491723962312198,0.8069623571353675
physiology,Stress-Predict,other_datasets_only,4,0.6576266870384517,0.7375784538414296
physiology,Stress-Predict,all_datasets,4,0.7248535777947542,0.7890471696700071
physiology,Stress-Predict,within_dataset,5,0.7852509652509653,0.8828725868725869
physiology,Stress-Predict,other_datasets_only,5,0.6706949806949807,0.7813436293436293
physiology,Stress-Predict,all_datasets,5,0.7778764478764479,0.8454517374517375
physiology,Stress-Predict,within_dataset,6,0.7714338824067719,0.8450154426904599
physiology,Stress-Predict,other_datasets_only,6,0.6715425531914894,0.7600520475863648
physiology,Stress-Predict,all_datasets,6,0.75785003431709,0.831989247311828
