features,test_dataset,trained_on,balanced_accuracy,auroc
physiology,Campanella2024,within_dataset,0.923,0.957
physiology,Campanella2024,other_datasets_only,0.821,0.898
physiology,Campanella2024,all_datasets,0.865,0.944
physiology,PhysioNet,within_dataset,0.743,0.846
physiology,PhysioNet,other_datasets_only,0.732,0.789
physiology,PhysioNet,all_datasets,0.762,0.821
physiology,Stress-Predict,within_dataset,0.737,0.809
physiology,Stress-Predict,other_datasets_only,0.642,0.704
physiology,Stress-Predict,all_datasets,0.705,0.781
physiology,UBFC-Phys,within_dataset,0.877,0.952
physiology,UBFC-Phys,other_datasets_only,0.579,0.928
physiology,UBFC-Phys,all_datasets,0.853,0.92
physiology,WESAD,within_dataset,0.9,0.973
physiology,WESAD,other_datasets_only,0.834,0.909
physiology,WESAD,all_datasets,0.861,0.943
hr_hrv_eda,Campanella2024,within_dataset,0.908,0.932
hr_hrv_eda,Campanella2024,other_datasets_only,0.819,0.888
hr_hrv_eda,Campanella2024,all_datasets,0.88,0.936
hr_hrv_eda,PhysioNet,within_dataset,0.759,0.843
hr_hrv_eda,PhysioNet,other_datasets_only,0.723,0.794
hr_hrv_eda,PhysioNet,all_datasets,0.761,0.834
hr_hrv_eda,Stress-Predict,within_dataset,0.709,0.771
hr_hrv_eda,Stress-Predict,other_datasets_only,0.639,0.699
hr_hrv_eda,Stress-Predict,all_datasets,0.688,0.75
hr_hrv_eda,UBFC-Phys,within_dataset,0.877,0.952
hr_hrv_eda,UBFC-Phys,other_datasets_only,0.79,0.9
hr_hrv_eda,UBFC-Phys,all_datasets,0.829,0.913
hr_hrv_eda,WESAD,within_dataset,0.916,0.977
hr_hrv_eda,WESAD,other_datasets_only,0.877,0.962
hr_hrv_eda,WESAD,all_datasets,0.914,0.976
