task,normalisation,modality,subject,accuracy
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S01,0.75
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S02,0.4
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S03,0.5
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S04,1.0
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S05,0.8181818181818182
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S06,1.0
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S07,0.6666666666666666
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S08,0.3
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S09,0.8
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S10,0.5
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S11,0.5833333333333334
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S12,0.5
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S13,0.6
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S14,0.7272727272727273
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S15,0.45454545454545453
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S16,0.5454545454545454
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S17,1.0
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:S18,0.45454545454545453
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f01,0.8421052631578947
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f02,0.4375
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f03,0.5833333333333334
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f04,0.8333333333333334
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f05,0.9166666666666666
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f06,0.9166666666666666
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f07,0.4166666666666667
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f08,1.0
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f09,0.4166666666666667
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f10,0.5833333333333334
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f11,0.8461538461538461
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f12,0.75
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f14,0.6666666666666666
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f15,0.6153846153846154
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f16,0.5
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f17,1.0
shared_Baseline_vs_Stress_pooled,none,all_modalities,PhysioNet:f18,0.5454545454545454
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S10,0.8032786885245902
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S11,1.0
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S13,0.9661016949152542
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S14,0.847457627118644
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S15,0.7457627118644068
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S16,1.0
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S17,1.0
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S2,1.0
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S3,0.9649122807017544
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S4,0.9649122807017544
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S5,0.9655172413793104
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S6,0.9655172413793104
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S7,0.8793103448275862
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S8,1.0
shared_Baseline_vs_Stress_pooled,none,all_modalities,WESAD:S9,0.9310344827586207
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S01,1.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S02,0.7
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S03,0.6
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S04,1.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S05,0.9090909090909091
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S06,1.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S07,0.6666666666666666
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S08,0.6
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S09,0.3
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S10,0.3
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S11,0.3333333333333333
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S12,0.7
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S13,0.1
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S14,1.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S15,0.6363636363636364
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S16,0.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S17,0.6
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:S18,0.7272727272727273
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f01,0.6842105263157895
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f02,0.125
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f03,0.3333333333333333
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f04,1.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f05,1.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f06,1.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f07,0.6666666666666666
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f08,0.6153846153846154
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f09,0.5
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f10,0.5833333333333334
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f11,1.0
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f12,0.4166666666666667
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f14,0.5833333333333334
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f15,0.9230769230769231
shared_Baseline_vs_Stress_pooled,none,acc_only,PhysioNet:f16,0.5
