task,normalisation,modality,subject,accuracy
legacy_6class_session_labels,none,all_modalities,EPM-E4:1,0.0
legacy_6class_session_labels,none,all_modalities,EPM-E4:103,0.15384615384615385
legacy_6class_session_labels,none,all_modalities,EPM-E4:106,0.44
legacy_6class_session_labels,none,all_modalities,EPM-E4:107,0.3076923076923077
legacy_6class_session_labels,none,all_modalities,EPM-E4:117,0.0
legacy_6class_session_labels,none,all_modalities,EPM-E4:12,0.24
legacy_6class_session_labels,none,all_modalities,EPM-E4:121,0.2
legacy_6class_session_labels,none,all_modalities,EPM-E4:122,0.2692307692307692
legacy_6class_session_labels,none,all_modalities,EPM-E4:128,0.46153846153846156
legacy_6class_session_labels,none,all_modalities,EPM-E4:129,0.15384615384615385
legacy_6class_session_labels,none,all_modalities,EPM-E4:138,0.6923076923076923
legacy_6class_session_labels,none,all_modalities,EPM-E4:14,0.2692307692307692
legacy_6class_session_labels,none,all_modalities,EPM-E4:141,0.0
legacy_6class_session_labels,none,all_modalities,EPM-E4:15,0.07692307692307693
legacy_6class_session_labels,none,all_modalities,EPM-E4:159,0.0
legacy_6class_session_labels,none,all_modalities,EPM-E4:16,0.23076923076923078
legacy_6class_session_labels,none,all_modalities,EPM-E4:160,0.23076923076923078
legacy_6class_session_labels,none,all_modalities,EPM-E4:2,0.46153846153846156
legacy_6class_session_labels,none,all_modalities,EPM-E4:24,0.07692307692307693
legacy_6class_session_labels,none,all_modalities,EPM-E4:25,0.3076923076923077
legacy_6class_session_labels,none,all_modalities,EPM-E4:34,0.3076923076923077
legacy_6class_session_labels,none,all_modalities,EPM-E4:36,0.4230769230769231
legacy_6class_session_labels,none,all_modalities,EPM-E4:45,0.5
legacy_6class_session_labels,none,all_modalities,EPM-E4:47,0.15384615384615385
legacy_6class_session_labels,none,all_modalities,EPM-E4:49,0.5384615384615384
legacy_6class_session_labels,none,all_modalities,EPM-E4:55,0.46153846153846156
legacy_6class_session_labels,none,all_modalities,EPM-E4:76,0.2692307692307692
legacy_6class_session_labels,none,all_modalities,EPM-E4:77,0.15384615384615385
legacy_6class_session_labels,none,all_modalities,EPM-E4:79,0.46153846153846156
legacy_6class_session_labels,none,all_modalities,EPM-E4:81,0.6538461538461539
legacy_6class_session_labels,none,all_modalities,EPM-E4:86,0.3076923076923077
legacy_6class_session_labels,none,all_modalities,EPM-E4:91,0.3076923076923077
legacy_6class_session_labels,none,all_modalities,EPM-E4:92,0.2692307692307692
legacy_6class_session_labels,none,all_modalities,PhysioNet:S01,0.2608695652173913
legacy_6class_session_labels,none,all_modalities,PhysioNet:S02,0.6201550387596899
legacy_6class_session_labels,none,all_modalities,PhysioNet:S03,0.5945945945945946
legacy_6class_session_labels,none,all_modalities,PhysioNet:S04,0.7037037037037037
legacy_6class_session_labels,none,all_modalities,PhysioNet:S05,0.4881889763779528
legacy_6class_session_labels,none,all_modalities,PhysioNet:S06,0.3709677419354839
legacy_6class_session_labels,none,all_modalities,PhysioNet:S07,0.8135593220338984
legacy_6class_session_labels,none,all_modalities,PhysioNet:S08,0.6976744186046512
legacy_6class_session_labels,none,all_modalities,PhysioNet:S09,0.703125
legacy_6class_session_labels,none,all_modalities,PhysioNet:S10,0.6962962962962963
legacy_6class_session_labels,none,all_modalities,PhysioNet:S11,0.728
legacy_6class_session_labels,none,all_modalities,PhysioNet:S12,0.7424242424242424
legacy_6class_session_labels,none,all_modalities,PhysioNet:S13,0.3208955223880597
legacy_6class_session_labels,none,all_modalities,PhysioNet:S14,0.8768115942028986
legacy_6class_session_labels,none,all_modalities,PhysioNet:S15,0.8045112781954887
legacy_6class_session_labels,none,all_modalities,PhysioNet:S16,0.6917293233082706
legacy_6class_session_labels,none,all_modalities,PhysioNet:S17,0.5954198473282443
legacy_6class_session_labels,none,all_modalities,PhysioNet:S18,0.5338345864661654
legacy_6class_session_labels,none,all_modalities,PhysioNet:f01,0.642023346303502
legacy_6class_session_labels,none,all_modalities,PhysioNet:f02,0.4656084656084656
legacy_6class_session_labels,none,all_modalities,PhysioNet:f03,0.4482758620689655
legacy_6class_session_labels,none,all_modalities,PhysioNet:f04,0.5154639175257731
legacy_6class_session_labels,none,all_modalities,PhysioNet:f05,0.411522633744856
legacy_6class_session_labels,none,all_modalities,PhysioNet:f06,0.5280373831775701
legacy_6class_session_labels,none,all_modalities,PhysioNet:f07,0.6425339366515838
legacy_6class_session_labels,none,all_modalities,PhysioNet:f08,0.4855769230769231
legacy_6class_session_labels,none,all_modalities,PhysioNet:f09,0.587378640776699
legacy_6class_session_labels,none,all_modalities,PhysioNet:f10,0.6923076923076923
legacy_6class_session_labels,none,all_modalities,PhysioNet:f11,0.375
legacy_6class_session_labels,none,all_modalities,PhysioNet:f12,0.5981735159817352
legacy_6class_session_labels,none,all_modalities,PhysioNet:f13,0.24157303370786518
legacy_6class_session_labels,none,all_modalities,PhysioNet:f14,0.24074074074074073
legacy_6class_session_labels,none,all_modalities,PhysioNet:f15,0.7457627118644068
legacy_6class_session_labels,none,all_modalities,PhysioNet:f16,0.5483870967741935
legacy_6class_session_labels,none,all_modalities,PhysioNet:f17,0.171875
legacy_6class_session_labels,none,all_modalities,PhysioNet:f18,0.6909090909090909
legacy_6class_session_labels,none,all_modalities,WESAD:S10,0.6979166666666666
legacy_6class_session_labels,none,all_modalities,WESAD:S11,0.30851063829787234
