task,normalisation,modality,n_subjects,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,mean_subject_accuracy
legacy_6class_session_labels,none,all_modalities,84,0.505581089954038,0.35237763638152014,0.3616580831569936,0.4326275832395196
legacy_6class_session_labels,none,physiology_only,84,0.3658568614576494,0.23378068980403635,0.23611948860911378,0.30253195987065395
harmonized_all_classes,none,all_modalities,84,0.505581089954038,0.35237763638152014,0.3616580831569936,0.4326275832395196
harmonized_all_classes,none,physiology_only,84,0.3658568614576494,0.23378068980403635,0.23611948860911378,0.30253195987065395
affective_only_no_exercise,none,all_modalities,83,0.4916926272066459,0.32550682359578803,0.32948015498262284,0.44224050193758285
affective_only_no_exercise,none,physiology_only,83,0.3603322949117342,0.23833750338785142,0.23486910996741145,0.31907352109239184
within_WESAD,none,all_modalities,15,0.6967095851216023,0.594514439959482,0.5853428463437349,0.6965262891158867
within_WESAD,none,physiology_only,15,0.5958512160228898,0.5269539062177186,0.5187559224881207,0.5958076017251736
within_PhysioNet_stress_session,none,all_modalities,35,0.7217010631644778,0.44344202933459226,0.4460582764131646,0.7115990511410198
within_PhysioNet_stress_session,none,physiology_only,35,0.6954346466541589,0.4405271169947298,0.4492529745330341,0.6781200340870126
within_EPM_emotions,none,all_modalities,33,0.35555555555555557,0.24369500666629354,0.24572389391705626,0.35566433566433564
within_EPM_emotions,none,physiology_only,33,0.39766081871345027,0.25443992827357803,0.24747693217442066,0.39780885780885783
shared_Baseline_vs_Stress_pooled,none,all_modalities,50,0.852689010132502,0.849499776019113,0.8492420978418393,0.7500747239531093
shared_Baseline_vs_Stress_pooled,none,physiology_only,50,0.8191738113795791,0.8143173560300632,0.8146240116386247,0.7173893901738825
legacy_6class_session_labels,subject_zscore,all_modalities,84,0.5114904793171372,0.35913756955952736,0.3836849334379121,0.42433785262760315
legacy_6class_session_labels,subject_zscore,physiology_only,84,0.41497045305318453,0.27642737542747187,0.28891649389285506,0.33813056422167187
harmonized_all_classes,subject_zscore,all_modalities,84,0.5114904793171372,0.35913756955952736,0.3836849334379121,0.42433785262760315
harmonized_all_classes,subject_zscore,physiology_only,84,0.41497045305318453,0.27642737542747187,0.28891649389285506,0.33813056422167187
affective_only_no_exercise,subject_zscore,all_modalities,83,0.5659397715472482,0.3946271390689312,0.4024659994146822,0.5172708131868683
affective_only_no_exercise,subject_zscore,physiology_only,83,0.504153686396677,0.3493793689739429,0.35593102896506085,0.4523134485508996
within_WESAD,subject_zscore,all_modalities,15,0.771101573676681,0.6952806207463526,0.6980551340610299,0.7717965406319602
within_WESAD,subject_zscore,physiology_only,15,0.7453505007153076,0.6707501240134299,0.6781188608130647,0.7461005835994271
within_PhysioNet_stress_session,subject_zscore,all_modalities,35,0.7141963727329581,0.3844552995924502,0.3817204301075268,0.6936381665250444
within_PhysioNet_stress_session,subject_zscore,physiology_only,35,0.7273295809881176,0.4055284979750973,0.41471031005488485,0.6950007271456702
within_EPM_emotions,subject_zscore,all_modalities,33,0.49707602339181284,0.34700975409407225,0.349383240636436,0.49627039627039615
within_EPM_emotions,subject_zscore,physiology_only,33,0.4666666666666667,0.32490589299303996,0.32231591603830306,0.4661072261072261
shared_Baseline_vs_Stress_pooled,subject_zscore,all_modalities,50,0.8324240062353858,0.822617092230352,0.8261356538357054,0.687909561685537
shared_Baseline_vs_Stress_pooled,subject_zscore,physiology_only,50,0.8067030397505845,0.7941914289980588,0.7983583951005344,0.6383356799191379
