score,dataset,n,n_stress,n_subj,auc,lo,hi,auc_pooled_bins
external,WESAD,877,311,15,0.9521,0.8921,0.9814,0.936
external,PhysioNet,1599,232,35,0.6961,0.6033,0.7886,0.7077
external,Stress-Predict,2546,851,34,0.5738,0.5323,0.6186,0.5768
external,UBFC-Phys,205,110,19,0.6844,0.6145,0.9178,0.6915
external,Campanella2024,218,102,29,0.6068,0.4887,0.8629,0.5668
within_LOSO,WESAD,877,311,15,0.9351,0.8876,0.9857,0.9283
within_LOSO,PhysioNet,1599,232,35,0.7176,0.6508,0.7978,0.7225
within_LOSO,Stress-Predict,2546,851,34,0.6478,0.5785,0.7116,0.6477
within_LOSO,UBFC-Phys,205,110,19,0.9274,0.8687,0.9944,0.9247
within_LOSO,Campanella2024,218,102,29,0.5778,0.4501,0.9145,0.5759
cond3[exercise],WESAD,877,311,15,0.9504,0.8908,0.99,0.9367
cond3[exercise],PhysioNet,1599,232,35,0.6977,0.6049,0.7926,0.7074
cond3[exercise],Stress-Predict,2546,851,34,0.6228,0.5745,0.6697,0.625
cond3[exercise],UBFC-Phys,205,110,19,0.7813,0.718,0.9353,0.7924
cond3[exercise],Campanella2024,218,102,29,0.6997,0.5189,0.9113,0.6005
cond3[Hyperventilation],WESAD,877,311,15,0.9642,0.9112,0.9944,0.9504
cond3[Hyperventilation],PhysioNet,1599,232,35,0.7453,0.6571,0.8221,0.7527
cond3[Hyperventilation],Stress-Predict,2546,851,34,0.6304,0.5835,0.6754,0.6338
cond3[Hyperventilation],UBFC-Phys,205,110,19,0.7215,0.6648,0.9482,0.7219
cond3[Hyperventilation],Campanella2024,218,102,29,0.6372,0.5272,0.8871,0.6035
cond3[UBFC Control task],WESAD,877,311,15,0.9655,0.9194,0.9944,0.9528
cond3[UBFC Control task],PhysioNet,1599,232,35,0.7388,0.6488,0.8177,0.7467
cond3[UBFC Control task],Stress-Predict,2546,851,34,0.6307,0.5826,0.6766,0.6332
cond3[UBFC Control task],UBFC-Phys,205,110,19,0.7337,0.6669,0.9518,0.7362
cond3[UBFC Control task],Campanella2024,218,102,29,0.6238,0.5205,0.8941,0.5935
cond3[Campanella Manual task],WESAD,877,311,15,0.9448,0.8729,0.9853,0.9343
cond3[Campanella Manual task],PhysioNet,1599,232,35,0.7322,0.6353,0.8154,0.7416
cond3[Campanella Manual task],Stress-Predict,2546,851,34,0.6323,0.5922,0.6754,0.6352
cond3[Campanella Manual task],UBFC-Phys,205,110,19,0.6941,0.6122,0.9429,0.702
cond3[Campanella Manual task],Campanella2024,218,102,29,0.6252,0.4818,0.8789,0.5587
cond3[EPM Fear],WESAD,877,311,15,0.9655,0.9178,0.9937,0.9545
cond3[EPM Fear],PhysioNet,1599,232,35,0.7292,0.6459,0.8102,0.736
cond3[EPM Fear],Stress-Predict,2546,851,34,0.6282,0.5787,0.6736,0.6313
cond3[EPM Fear],UBFC-Phys,205,110,19,0.7243,0.6615,0.9446,0.7244
cond3[EPM Fear],Campanella2024,218,102,29,0.6451,0.5271,0.9088,0.6376
cond3[EPM Anger],WESAD,877,311,15,0.9648,0.9206,0.9935,0.9523
cond3[EPM Anger],PhysioNet,1599,232,35,0.7391,0.6509,0.8221,0.7454
cond3[EPM Anger],Stress-Predict,2546,851,34,0.63,0.5844,0.6744,0.6323
cond3[EPM Anger],UBFC-Phys,205,110,19,0.7321,0.6633,0.9525,0.7352
cond3[EPM Anger],Campanella2024,218,102,29,0.6178,0.5116,0.8641,0.5864
