analysis,pair,d,n_subj_injected,n_state,auc_injected,auc_uninjected,diff,lo,hi,p,detected,p_holm
score,Baseline/Rest (ref),0.1,61,3839,0.6038,0.5839,0.0198,0.014,0.0253,0.0,True,0.0
score,Baseline/Rest (ref),0.2,61,3839,0.6225,0.5839,0.0385,0.0273,0.0491,0.0,True,0.0
score,Baseline/Rest (ref),0.3,61,3839,0.64,0.5839,0.056,0.0397,0.0709,0.0,True,0.0
score,Baseline/Rest (ref),0.5,61,3839,0.6732,0.5839,0.0893,0.0624,0.1125,0.0,True,0.0
score,Baseline/Rest (ref),1.0,61,3839,0.7376,0.5839,0.1536,0.1066,0.1944,0.0,True,0.0
score,UBFC Control task,0.1,5,80,0.5907,0.5768,0.0139,0.0027,0.0311,0.005,True,0.005
score,UBFC Control task,0.2,5,80,0.6056,0.5768,0.0287,0.0088,0.0554,0.001,True,0.005
score,UBFC Control task,0.3,5,80,0.6173,0.5768,0.0405,0.0131,0.0782,0.001,True,0.005
score,UBFC Control task,0.5,5,80,0.6466,0.5768,0.0698,0.0238,0.1256,0.001,True,0.005
score,UBFC Control task,1.0,5,80,0.7007,0.5768,0.1239,0.0409,0.2208,0.001,True,0.005
feature:eda_slope,Baseline/Rest (ref),0.1,61,3839,0.5904,0.5839,0.0065,0.0018,0.0119,0.006,True,0.036
feature:eda_slope,UBFC Control task,0.1,61,80,0.5676,0.5768,-0.0092,-0.0336,0.0162,0.546,False,1.0
feature:eda_slope,Baseline/Rest (ref),0.2,61,3839,0.6011,0.5839,0.0172,0.0083,0.0265,0.001,True,0.007
feature:eda_slope,UBFC Control task,0.2,61,80,0.5686,0.5768,-0.0083,-0.0343,0.0162,0.605,False,1.0
feature:eda_slope,Baseline/Rest (ref),0.3,61,3839,0.6215,0.5839,0.0376,0.0253,0.0508,0.0,True,0.0
feature:eda_slope,UBFC Control task,0.3,61,80,0.5808,0.5768,0.0039,-0.0317,0.039,0.752,False,1.0
feature:eda_slope,Baseline/Rest (ref),0.5,61,3839,0.657,0.5839,0.0731,0.0499,0.097,0.0,True,0.0
feature:eda_slope,UBFC Control task,0.5,61,80,0.5886,0.5768,0.0118,-0.0255,0.0505,0.49,False,1.0
feature:eda_slope,Baseline/Rest (ref),1.0,61,3839,0.737,0.5839,0.1531,0.1037,0.2063,0.0,True,0.0
feature:eda_slope,UBFC Control task,1.0,61,80,0.6178,0.5768,0.0409,-0.014,0.0964,0.159,False,0.795
