score,stratum,probe,n_state,auc,auc_ref,diff,lo,hi,p,variant,p_holm
external,all,exercise,3585,0.7587,0.5839,0.1747,0.0814,0.252,0.004,all,0.02
external,all,Hyperventilation,53,0.5233,0.5839,-0.0606,-0.1393,0.0225,0.135,all,0.27
external,all,UBFC Control task,80,0.5768,0.5839,-0.0071,-0.0994,0.0939,0.917,all,0.917
external,all,Campanella Manual task,667,0.3551,0.5839,-0.2288,-0.3395,-0.0384,0.006,all,0.024
external,all,EPM Fear,394,0.6327,0.5839,0.0487,0.0012,0.095,0.045,all,0.135
external,all,EPM Anger,33,0.3896,0.5839,-0.1943,-0.2653,-0.0646,0.003,all,0.018
added_negative,all,exercise,3585,0.892,0.7089,0.1832,0.1295,0.231,0.0,all,0.0
added_negative,all,Hyperventilation,53,0.5596,0.7235,-0.164,-0.2704,-0.062,0.002,all,0.008
added_negative,all,UBFC Control task,80,0.568,0.7226,-0.1546,-0.262,-0.0445,0.008,all,0.024
added_negative,all,Campanella Manual task,667,0.496,0.714,-0.218,-0.2842,-0.0156,0.016,all,0.024
added_negative,all,EPM Fear,394,0.7787,0.7243,0.0545,0.0142,0.097,0.008,all,0.024
added_negative,all,EPM Anger,33,0.431,0.7231,-0.2921,-0.3932,-0.114,0.0,all,0.0
external,complete_case_hr,exercise,2555,0.7396,0.5352,0.2045,0.0879,0.3169,0.004,complete_case_hr,0.02
external,complete_case_hr,Hyperventilation,33,0.4948,0.5352,-0.0403,-0.1567,0.0739,0.448,complete_case_hr,1.0
external,complete_case_hr,UBFC Control task,63,0.5114,0.5352,-0.0238,-0.1556,0.1036,0.673,complete_case_hr,1.0
external,complete_case_hr,Campanella Manual task,202,0.3579,0.5352,-0.1772,-0.2992,-0.0085,0.042,complete_case_hr,0.168
external,complete_case_hr,EPM Fear,386,0.5347,0.5352,-0.0005,-0.0495,0.053,0.96,complete_case_hr,1.0
external,complete_case_hr,EPM Anger,32,0.3523,0.5352,-0.1828,-0.2843,-0.0585,0.003,complete_case_hr,0.018
added_negative,complete_case_hr,exercise,2555,0.9367,0.6883,0.2484,0.1993,0.2966,0.0,complete_case_hr,0.0
added_negative,complete_case_hr,Hyperventilation,33,0.5412,0.7104,-0.1692,-0.3064,-0.0259,0.012,complete_case_hr,0.024
added_negative,complete_case_hr,UBFC Control task,63,0.5057,0.7106,-0.2049,-0.3577,-0.0607,0.007,complete_case_hr,0.021
added_negative,complete_case_hr,Campanella Manual task,202,0.4782,0.7056,-0.2274,-0.3097,-0.0509,0.005,complete_case_hr,0.02
added_negative,complete_case_hr,EPM Fear,386,0.7209,0.7099,0.011,-0.0313,0.0583,0.586,complete_case_hr,0.586
added_negative,complete_case_hr,EPM Anger,32,0.4265,0.7092,-0.2827,-0.3941,-0.1351,0.0,complete_case_hr,0.0
external,hr_missing_eda_index,exercise,1030,0.5748,0.563,0.0119,-0.0764,0.3464,0.473,hr_missing_eda_index,1.0
external,hr_missing_eda_index,Hyperventilation,20,0.6132,0.563,0.0502,-0.1065,0.2192,0.662,hr_missing_eda_index,1.0
external,hr_missing_eda_index,UBFC Control task,17,0.7438,0.563,0.1808,0.0601,0.3069,0.013,hr_missing_eda_index,0.065
external,hr_missing_eda_index,Campanella Manual task,465,0.5236,0.563,-0.0394,-0.1731,0.0487,0.312,hr_missing_eda_index,1.0
external,hr_missing_eda_index,EPM Fear,8,0.6102,0.563,0.0473,-0.057,0.1367,0.346,hr_missing_eda_index,1.0
external,hr_missing_eda_index,EPM Anger,1,0.2047,0.563,-0.3582,-0.4631,-0.225,0.0,hr_missing_eda_index,0.0
added_negative,hr_missing_eda_index,exercise,1030,0.7707,0.657,0.1137,-0.0235,0.3315,0.103,hr_missing_eda_index,0.412
added_negative,hr_missing_eda_index,Hyperventilation,20,0.6713,0.6537,0.0176,-0.1831,0.1512,0.88,hr_missing_eda_index,1.0
added_negative,hr_missing_eda_index,UBFC Control task,17,0.7369,0.6529,0.0839,-0.0326,0.2515,0.146,hr_missing_eda_index,0.438
added_negative,hr_missing_eda_index,Campanella Manual task,465,0.6443,0.6574,-0.0132,-0.1576,0.1115,0.869,hr_missing_eda_index,1.0
added_negative,hr_missing_eda_index,EPM Fear,8,0.7781,0.6553,0.1228,0.0564,0.1795,0.0,hr_missing_eda_index,0.0
added_negative,hr_missing_eda_index,EPM Anger,1,0.1181,0.6533,-0.5352,-0.6232,-0.4422,0.0,hr_missing_eda_index,0.0
