norm,score,probe,n_state,auc,auc_ref,diff,lo,hi,p,p_holm
session,external,exercise,3585,0.7587,0.5839,0.1747,0.0814,0.252,0.004,0.02
session,external,Hyperventilation,53,0.5233,0.5839,-0.0606,-0.1393,0.0225,0.135,0.27
session,external,UBFC Control task,80,0.5768,0.5839,-0.0071,-0.0994,0.0939,0.917,0.917
session,external,Campanella Manual task,667,0.3551,0.5839,-0.2288,-0.3395,-0.0384,0.006,0.024
session,external,EPM Fear,394,0.6327,0.5839,0.0487,0.0012,0.095,0.045,0.135
session,external,EPM Anger,33,0.3896,0.5839,-0.1943,-0.2653,-0.0646,0.003,0.018
session,added_negative,exercise,3585,0.892,0.7089,0.1832,0.1295,0.231,0.0,0.0
session,added_negative,Hyperventilation,53,0.5596,0.7235,-0.164,-0.2704,-0.062,0.002,0.008
session,added_negative,UBFC Control task,80,0.568,0.7226,-0.1546,-0.262,-0.0445,0.008,0.024
session,added_negative,Campanella Manual task,667,0.496,0.714,-0.218,-0.2842,-0.0156,0.016,0.024
session,added_negative,EPM Fear,394,0.7787,0.7243,0.0545,0.0142,0.097,0.008,0.024
session,added_negative,EPM Anger,33,0.431,0.7231,-0.2921,-0.3932,-0.114,0.0,0.0
raw,external,exercise,3763,0.3108,0.6769,-0.366,-0.4487,-0.2554,0.0,0.0
raw,external,Hyperventilation,53,0.5248,0.6769,-0.1521,-0.2712,-0.0398,0.004,0.012
raw,external,UBFC Control task,80,0.6638,0.6769,-0.0131,-0.2337,0.1962,0.93,0.93
raw,external,Campanella Manual task,667,0.4601,0.6769,-0.2168,-0.3297,-0.1157,0.0,0.0
raw,external,EPM Fear,394,0.8557,0.6769,0.1788,0.1098,0.2336,0.0,0.0
raw,external,EPM Anger,33,0.7723,0.6769,0.0954,-0.0114,0.1917,0.072,0.144
raw,added_negative,exercise,3763,0.7065,0.6953,0.0112,-0.0516,0.0823,0.656,0.782
raw,added_negative,Hyperventilation,53,0.5566,0.7427,-0.186,-0.3067,-0.0765,0.0,0.0
raw,added_negative,UBFC Control task,80,0.6542,0.7425,-0.0884,-0.2985,0.1064,0.391,0.782
raw,added_negative,Campanella Manual task,667,0.5596,0.7321,-0.1725,-0.287,-0.0599,0.001,0.004
raw,added_negative,EPM Fear,394,0.914,0.7388,0.1752,0.1232,0.2184,0.0,0.0
raw,added_negative,EPM Anger,33,0.8173,0.7418,0.0755,-0.0373,0.1668,0.146,0.438
baseline,external,exercise,3585,0.4212,0.6456,-0.2244,-0.3288,-0.1214,0.0,0.0
baseline,external,Hyperventilation,53,0.5103,0.6456,-0.1352,-0.2279,-0.0093,0.035,0.035
baseline,external,UBFC Control task,80,0.3769,0.6456,-0.2687,-0.458,-0.0919,0.012,0.024
baseline,external,Campanella Manual task,667,0.5018,0.6456,-0.1437,-0.251,-0.0359,0.008,0.024
baseline,added_negative,exercise,3585,0.7155,0.7047,0.0108,-0.0583,0.1047,0.583,0.583
baseline,added_negative,Hyperventilation,53,0.5404,0.7643,-0.2239,-0.3035,-0.1337,0.0,0.0
baseline,added_negative,UBFC Control task,80,0.3314,0.7616,-0.4302,-0.5899,-0.2553,0.001,0.003
baseline,added_negative,Campanella Manual task,667,0.6075,0.7445,-0.137,-0.2389,-0.0299,0.017,0.034
