variant,probe,added_neg_false_stress,n_state,auc,auc_ref,diff,lo,hi,p,p_holm
full (Table III/IV),exercise,0.0847,3585,0.892,0.7089,0.1832,0.1295,0.231,0.0,0.0
exercise subsampled to 33,exercise,0.2292,3585,0.7727,0.7259,0.0468,-0.0132,0.1016,0.1,0.1
exercise subsampled to 80,exercise,0.1865,3585,0.8069,0.7242,0.0827,0.0277,0.1362,0.011,0.011
"joint, unweighted",exercise,0.0804,3585,0.8878,0.7114,0.1765,0.1225,0.2252,0.0,0.0
"joint, unweighted",Hyperventilation,0.6745,53,0.5422,0.7114,-0.1692,-0.2869,-0.0564,0.003,0.015
"joint, unweighted",UBFC Control task,0.71,80,0.5475,0.7114,-0.1639,-0.2603,-0.0528,0.004,0.016
"joint, unweighted",Campanella Manual task,0.4815,667,0.4933,0.7114,-0.2181,-0.2888,-0.0174,0.018,0.054
"joint, unweighted",EPM Fear,0.4238,394,0.7353,0.7114,0.024,-0.0225,0.0768,0.308,0.308
"joint, unweighted",EPM Anger,0.5357,33,0.6045,0.7114,-0.1068,-0.2925,-0.0055,0.037,0.074
"joint, equal weight 80/class",exercise,0.1463,3585,0.8251,0.7223,0.1028,0.0489,0.154,0.004,0.012
"joint, equal weight 80/class",Hyperventilation,0.566,53,0.5489,0.7223,-0.1734,-0.2812,-0.0668,0.002,0.008
"joint, equal weight 80/class",UBFC Control task,0.5767,80,0.5648,0.7223,-0.1576,-0.2563,-0.0537,0.006,0.012
"joint, equal weight 80/class",Campanella Manual task,0.4036,667,0.4035,0.7223,-0.3188,-0.3977,-0.1247,0.0,0.0
"joint, equal weight 80/class",EPM Fear,0.3102,394,0.7578,0.7223,0.0355,-0.0042,0.0792,0.079,0.079
"joint, equal weight 80/class",EPM Anger,0.4143,33,0.544,0.7223,-0.1783,-0.301,-0.0781,0.001,0.005
