features,test_dataset,trained_on,balanced_accuracy,auroc,labels,scaling
physiology,Stress-Predict,within_dataset,0.712,0.786,fixed,session
physiology,Stress-Predict,other_datasets_only,0.625,0.647,fixed,session
physiology,Stress-Predict,all_datasets,0.709,0.776,fixed,session
physiology,WESAD,within_dataset,0.9,0.973,fixed,session
physiology,WESAD,other_datasets_only,0.776,0.856,fixed,session
physiology,WESAD,all_datasets,0.863,0.92,fixed,session
hr_hrv_eda,Stress-Predict,within_dataset,0.697,0.768,fixed,session
hr_hrv_eda,Stress-Predict,other_datasets_only,0.631,0.669,fixed,session
hr_hrv_eda,Stress-Predict,all_datasets,0.692,0.756,fixed,session
hr_hrv_eda,WESAD,within_dataset,0.916,0.977,fixed,session
hr_hrv_eda,WESAD,other_datasets_only,0.817,0.914,fixed,session
hr_hrv_eda,WESAD,all_datasets,0.891,0.96,fixed,session
physiology,Stress-Predict,within_dataset,0.648,0.714,fixed,raw
physiology,Stress-Predict,other_datasets_only,0.548,0.612,fixed,raw
physiology,Stress-Predict,all_datasets,0.639,0.694,fixed,raw
physiology,WESAD,within_dataset,0.885,0.946,fixed,raw
physiology,WESAD,other_datasets_only,0.753,0.82,fixed,raw
physiology,WESAD,all_datasets,0.839,0.931,fixed,raw
hr_hrv_eda,Stress-Predict,within_dataset,0.662,0.715,fixed,raw
hr_hrv_eda,Stress-Predict,other_datasets_only,0.602,0.659,fixed,raw
hr_hrv_eda,Stress-Predict,all_datasets,0.645,0.7,fixed,raw
hr_hrv_eda,WESAD,within_dataset,0.834,0.923,fixed,raw
hr_hrv_eda,WESAD,other_datasets_only,0.755,0.834,fixed,raw
hr_hrv_eda,WESAD,all_datasets,0.839,0.929,fixed,raw
physiology,Stress-Predict,within_dataset,0.737,0.809,prefix,session
physiology,Stress-Predict,other_datasets_only,0.623,0.653,prefix,session
physiology,Stress-Predict,all_datasets,0.715,0.789,prefix,session
physiology,WESAD,within_dataset,0.9,0.973,prefix,session
physiology,WESAD,other_datasets_only,0.763,0.835,prefix,session
physiology,WESAD,all_datasets,0.844,0.905,prefix,session
hr_hrv_eda,Stress-Predict,within_dataset,0.709,0.771,prefix,session
hr_hrv_eda,Stress-Predict,other_datasets_only,0.627,0.671,prefix,session
hr_hrv_eda,Stress-Predict,all_datasets,0.696,0.762,prefix,session
hr_hrv_eda,WESAD,within_dataset,0.916,0.977,prefix,session
hr_hrv_eda,WESAD,other_datasets_only,0.802,0.897,prefix,session
hr_hrv_eda,WESAD,all_datasets,0.884,0.955,prefix,session
physiology,Stress-Predict,within_dataset,0.657,0.722,prefix,raw
physiology,Stress-Predict,other_datasets_only,0.551,0.599,prefix,raw
physiology,Stress-Predict,all_datasets,0.653,0.712,prefix,raw
physiology,WESAD,within_dataset,0.885,0.946,prefix,raw
physiology,WESAD,other_datasets_only,0.763,0.826,prefix,raw
physiology,WESAD,all_datasets,0.847,0.941,prefix,raw
hr_hrv_eda,Stress-Predict,within_dataset,0.664,0.721,prefix,raw
hr_hrv_eda,Stress-Predict,other_datasets_only,0.598,0.646,prefix,raw
hr_hrv_eda,Stress-Predict,all_datasets,0.652,0.715,prefix,raw
hr_hrv_eda,WESAD,within_dataset,0.834,0.923,prefix,raw
hr_hrv_eda,WESAD,other_datasets_only,0.762,0.836,prefix,raw
hr_hrv_eda,WESAD,all_datasets,0.841,0.935,prefix,raw
