features,test_dataset,trained_on,split,balanced_accuracy,auroc
physiology,Campanella2024,within_dataset,0,1.0,1.0
physiology,Campanella2024,other_datasets_only,0,0.8541666666666667,0.9541666666666666
physiology,Campanella2024,all_datasets,0,0.975,1.0
physiology,Campanella2024,within_dataset,1,1.0,1.0
physiology,Campanella2024,other_datasets_only,1,0.8200757575757576,0.9375
physiology,Campanella2024,all_datasets,1,0.9090909090909092,0.9640151515151516
physiology,Campanella2024,within_dataset,2,1.0,1.0
physiology,Campanella2024,other_datasets_only,2,0.8541666666666667,0.9722222222222222
physiology,Campanella2024,all_datasets,2,1.0,1.0
physiology,Campanella2024,within_dataset,3,1.0,1.0
physiology,Campanella2024,other_datasets_only,3,0.7746212121212122,0.9375000000000001
physiology,Campanella2024,all_datasets,3,1.0,1.0
physiology,Campanella2024,within_dataset,4,1.0,1.0
physiology,Campanella2024,other_datasets_only,4,0.8125,0.923611111111111
physiology,Campanella2024,all_datasets,4,0.9166666666666667,0.9722222222222222
physiology,Campanella2024,within_dataset,5,1.0,1.0
physiology,Campanella2024,other_datasets_only,5,0.7686403508771931,0.9276315789473685
physiology,Campanella2024,all_datasets,5,0.9791666666666667,0.9956140350877193
physiology,Campanella2024,within_dataset,6,1.0,1.0
physiology,Campanella2024,other_datasets_only,6,0.8421052631578947,0.9605263157894737
physiology,Campanella2024,all_datasets,6,0.8947368421052632,0.9758771929824561
physiology,Campanella2024,within_dataset,7,1.0,1.0
physiology,Campanella2024,other_datasets_only,7,0.7886904761904763,0.9047619047619048
physiology,Campanella2024,all_datasets,7,0.9047619047619048,0.9523809523809523
physiology,Campanella2024,within_dataset,8,1.0,1.0
physiology,Campanella2024,other_datasets_only,8,0.7835144927536233,0.8713768115942029
physiology,Campanella2024,all_datasets,8,0.8704710144927537,0.9619565217391304
physiology,Campanella2024,within_dataset,9,1.0,1.0
physiology,Campanella2024,other_datasets_only,9,0.75,0.875
physiology,Campanella2024,all_datasets,9,0.9166666666666667,0.9947916666666667
physiology,Campanella2024,within_dataset,10,0.7619047619047619,1.0
physiology,Campanella2024,other_datasets_only,10,0.6220238095238095,0.7182539682539683
physiology,Campanella2024,all_datasets,10,0.9047619047619048,0.9662698412698413
physiology,Campanella2024,within_dataset,11,1.0,1.0
physiology,Campanella2024,other_datasets_only,11,0.6666666666666666,0.7731481481481481
physiology,Campanella2024,all_datasets,11,0.9166666666666667,0.9791666666666667
physiology,Campanella2024,within_dataset,12,1.0,1.0
physiology,Campanella2024,other_datasets_only,12,0.5505952380952381,0.6527777777777778
physiology,Campanella2024,all_datasets,12,0.8333333333333333,0.9126984126984127
physiology,Campanella2024,within_dataset,13,1.0,1.0
physiology,Campanella2024,other_datasets_only,13,0.8922101449275363,0.9492753623188406
physiology,Campanella2024,all_datasets,13,0.8922101449275363,0.9692028985507247
physiology,Campanella2024,within_dataset,14,1.0,1.0
physiology,Campanella2024,other_datasets_only,14,0.7886904761904763,0.9126984126984128
physiology,Campanella2024,all_datasets,14,0.9791666666666667,0.998015873015873
physiology,Campanella2024,within_dataset,15,1.0,1.0
physiology,Campanella2024,other_datasets_only,15,0.8333333333333333,0.8908730158730158
physiology,Campanella2024,all_datasets,15,0.9315476190476191,0.996031746031746
physiology,Campanella2024,within_dataset,16,1.0,1.0
physiology,Campanella2024,other_datasets_only,16,0.7619047619047619,0.9206349206349207
physiology,Campanella2024,all_datasets,16,1.0,1.0
physiology,Campanella2024,within_dataset,17,1.0,1.0
physiology,Campanella2024,other_datasets_only,17,0.8478260869565217,0.9637681159420289
physiology,Campanella2024,all_datasets,17,0.9782608695652174,1.0
physiology,Campanella2024,within_dataset,18,1.0,1.0
physiology,Campanella2024,other_datasets_only,18,0.95,0.9895833333333334
physiology,Campanella2024,all_datasets,18,0.95,1.0
physiology,Campanella2024,within_dataset,19,1.0,1.0
physiology,Campanella2024,other_datasets_only,19,0.7857142857142857,0.9246031746031745
physiology,Campanella2024,all_datasets,19,1.0,1.0
physiology,PhysioNet,within_dataset,0,0.7865231259968102,0.8247208931419457
physiology,PhysioNet,other_datasets_only,0,0.7457735247208932,0.8657894736842106
physiology,PhysioNet,all_datasets,0,0.8090909090909091,0.8863636363636364
physiology,PhysioNet,within_dataset,1,0.70685618729097,0.8836120401337793
physiology,PhysioNet,other_datasets_only,1,0.7793756967670011,0.9007803790412486
physiology,PhysioNet,all_datasets,1,0.7952619843924191,0.9032329988851728
physiology,PhysioNet,within_dataset,2,0.7888508371385083,0.8284627092846271
physiology,PhysioNet,other_datasets_only,2,0.6636986301369863,0.7767123287671233
physiology,PhysioNet,all_datasets,2,0.7424657534246575,0.8076103500761034
physiology,PhysioNet,within_dataset,3,0.7675892589258926,0.8309330933093309
physiology,PhysioNet,other_datasets_only,3,0.6740549054905491,0.7430243024302429
physiology,PhysioNet,all_datasets,3,0.7415241524152416,0.7786528652865286
physiology,PhysioNet,within_dataset,4,0.800350603817686,0.9146214777301649
physiology,PhysioNet,other_datasets_only,4,0.6846838072977536,0.8296325152577587
physiology,PhysioNet,all_datasets,4,0.7448058693676146,0.8558628749513051
physiology,PhysioNet,within_dataset,5,0.8378052975576196,0.862125902992776
physiology,PhysioNet,other_datasets_only,5,0.7648778809769521,0.8930856553147575
physiology,PhysioNet,all_datasets,5,0.8187822497420021,0.9345029239766083
physiology,PhysioNet,within_dataset,6,0.7683266932270916,0.778386454183267
physiology,PhysioNet,other_datasets_only,6,0.7357569721115538,0.8351593625498007
physiology,PhysioNet,all_datasets,6,0.709113545816733,0.8436254980079682
physiology,PhysioNet,within_dataset,7,0.7043918918918919,0.7426801801801802
physiology,PhysioNet,other_datasets_only,7,0.7063626126126126,0.7655780780780781
physiology,PhysioNet,all_datasets,7,0.7373310810810811,0.7675487987987988
physiology,PhysioNet,within_dataset,8,0.7114583333333333,0.7677469135802469
physiology,PhysioNet,other_datasets_only,8,0.6659722222222222,0.7289351851851852
physiology,PhysioNet,all_datasets,8,0.6781250000000001,0.7313271604938272
physiology,PhysioNet,within_dataset,9,0.7246376811594203,0.8403623188405798
physiology,PhysioNet,other_datasets_only,9,0.6634057971014493,0.7408695652173913
physiology,PhysioNet,all_datasets,9,0.797463768115942,0.8381159420289855
physiology,PhysioNet,within_dataset,10,0.830272970310961,0.9267623469818489
physiology,PhysioNet,other_datasets_only,10,0.6809483607710708,0.8190516392289293
physiology,PhysioNet,all_datasets,10,0.7872871816518925,0.8761784156465456
physiology,PhysioNet,within_dataset,11,0.7391873716995824,0.8492248885113612
physiology,PhysioNet,other_datasets_only,11,0.6456784880016988,0.8268563743186805
physiology,PhysioNet,all_datasets,11,0.7199334607489205,0.8051957244991859
physiology,PhysioNet,within_dataset,12,0.8515787647467037,0.9452637057598889
physiology,PhysioNet,other_datasets_only,12,0.6893650242886884,0.8699687716863289
physiology,PhysioNet,all_datasets,12,0.7923317140874393,0.9175052047189451
physiology,PhysioNet,within_dataset,13,0.5805084745762712,0.7576271186440677
physiology,PhysioNet,other_datasets_only,13,0.6453389830508475,0.7314618644067796
physiology,PhysioNet,all_datasets,13,0.6906779661016949,0.7911016949152543
physiology,PhysioNet,within_dataset,14,0.816090113175315,0.883408071748879
physiology,PhysioNet,other_datasets_only,14,0.7366004697843263,0.8338671791586589
physiology,PhysioNet,all_datasets,14,0.814381806534273,0.8809523809523809
physiology,PhysioNet,within_dataset,15,0.699180466373775,0.8247718823927003
physiology,PhysioNet,other_datasets_only,15,0.6919989861439675,0.7355525515376815
physiology,PhysioNet,all_datasets,15,0.7642784724569112,0.7968063534978033
physiology,PhysioNet,within_dataset,16,0.7729143284698841,0.8226711560044894
physiology,PhysioNet,other_datasets_only,16,0.711372989150767,0.767022072577628
physiology,PhysioNet,all_datasets,16,0.760662177328844,0.8141601197156753
physiology,PhysioNet,within_dataset,17,0.6871928746928747,0.7657401719901721
physiology,PhysioNet,other_datasets_only,17,0.6821253071253071,0.7678132678132679
physiology,PhysioNet,all_datasets,17,0.7105343980343981,0.8217905405405405
physiology,PhysioNet,within_dataset,18,0.7060704607046071,0.835230352303523
physiology,PhysioNet,other_datasets_only,18,0.7281842818428184,0.8017344173441734
physiology,PhysioNet,all_datasets,18,0.6983197831978321,0.8500813008130081
physiology,PhysioNet,within_dataset,19,0.722481625594466,0.7914396887159534
physiology,PhysioNet,other_datasets_only,19,0.6868136619109382,0.8018158236057068
physiology,PhysioNet,all_datasets,19,0.7249027237354086,0.8167747514051016
physiology,Stress-Predict,within_dataset,0,0.7409992967530574,0.8387163170443046
physiology,Stress-Predict,other_datasets_only,0,0.6932128093857738,0.7940858647364539
physiology,Stress-Predict,all_datasets,0,0.7656987015660108,0.8412205622545067
physiology,Stress-Predict,within_dataset,1,0.6738367658276125,0.8045766590389016
physiology,Stress-Predict,other_datasets_only,1,0.6163234172387491,0.7275209763539283
physiology,Stress-Predict,all_datasets,1,0.707627765064836,0.8018459191456904
physiology,Stress-Predict,within_dataset,2,0.641074611662847,0.7208030939648586
physiology,Stress-Predict,other_datasets_only,2,0.563375350140056,0.6404857397504456
physiology,Stress-Predict,all_datasets,2,0.6502578304048892,0.7124952253628725
physiology,Stress-Predict,within_dataset,3,0.7022288755821691,0.7306054557551562
physiology,Stress-Predict,other_datasets_only,3,0.625748502994012,0.7068695941450431
physiology,Stress-Predict,all_datasets,3,0.7096972721224217,0.7582584830339322
physiology,Stress-Predict,within_dataset,4,0.7371829116280575,0.8421316756511744
physiology,Stress-Predict,other_datasets_only,4,0.7273566121120878,0.7628737474301072
physiology,Stress-Predict,all_datasets,4,0.7666618101759668,0.8440742719311025
physiology,Stress-Predict,within_dataset,5,0.7409853596818894,0.8271327870827812
physiology,Stress-Predict,other_datasets_only,5,0.636725810338595,0.7756958669719244
physiology,Stress-Predict,all_datasets,5,0.716276057356308,0.8252500301241115
physiology,Stress-Predict,within_dataset,6,0.693999521874253,0.7851870666985418
physiology,Stress-Predict,other_datasets_only,6,0.6474719101123596,0.7209090365766196
physiology,Stress-Predict,all_datasets,6,0.6715873774802774,0.7799127420511595
physiology,Stress-Predict,within_dataset,7,0.7801583312390048,0.8379528237532761
physiology,Stress-Predict,other_datasets_only,7,0.6358201989013751,0.7669550856281191
physiology,Stress-Predict,all_datasets,7,0.7702850680357591,0.8477542814059528
physiology,Stress-Predict,within_dataset,8,0.7395910322739592,0.8140805472225846
physiology,Stress-Predict,other_datasets_only,8,0.6030100140573598,0.6790284480384912
physiology,Stress-Predict,all_datasets,8,0.6909916960132167,0.7797342144544441
physiology,Stress-Predict,within_dataset,9,0.702175276784049,0.8209677692816331
physiology,Stress-Predict,other_datasets_only,9,0.6040419796205557,0.6896119089198216
physiology,Stress-Predict,all_datasets,9,0.7050066970719384,0.774588426781506
physiology,Stress-Predict,within_dataset,10,0.7315882874889086,0.8305629498176081
